policy,scenario,trial,cold_starts,predictive_cold_starts,reactive_cold_starts,warm_hits,wasted_prewarms,spawn_failures,gap_observations,pool_size,predicted_gap_s,predictor,predictive,sweep_pct,fixed_predicted_gap_s
serverless_predictive_fixed,cyclical,0,15,4,11,64,0,0,4,3,4.5,fixed,True,-50,4.5
serverless_predictive_fixed,cyclical,1,15,4,11,64,0,0,4,3,4.5,fixed,True,-50,4.5
serverless_predictive_fixed,cyclical,2,15,4,11,64,0,0,4,3,4.5,fixed,True,-50,4.5
serverless_predictive_fixed,cyclical,3,15,4,11,64,0,0,4,3,4.5,fixed,True,-50,4.5
serverless_predictive_fixed,cyclical,4,15,4,11,64,0,0,4,3,4.5,fixed,True,-50,4.5
serverless_predictive_fixed,cyclical,5,15,4,11,64,0,0,4,3,4.5,fixed,True,-50,4.5
serverless_predictive_fixed,cyclical,6,15,4,11,64,0,0,4,3,4.5,fixed,True,-50,4.5
serverless_predictive_fixed,cyclical,7,15,4,11,64,0,0,4,3,4.5,fixed,True,-50,4.5
serverless_predictive_fixed,cyclical,8,15,4,11,64,0,0,4,3,4.5,fixed,True,-50,4.5
serverless_predictive_fixed,cyclical,9,15,4,11,64,0,0,4,3,4.5,fixed,True,-50,4.5
serverless_predictive_fixed,cyclical,10,15,4,11,64,0,0,4,3,4.5,fixed,True,-50,4.5
serverless_predictive_fixed,cyclical,11,15,4,11,64,0,0,4,3,4.5,fixed,True,-50,4.5
serverless_predictive_fixed,cyclical,12,15,4,11,64,0,0,4,3,4.5,fixed,True,-50,4.5
serverless_predictive_fixed,cyclical,13,15,4,11,64,0,0,4,3,4.5,fixed,True,-50,4.5
serverless_predictive_fixed,cyclical,14,15,4,11,64,0,0,4,3,4.5,fixed,True,-50,4.5
serverless_predictive_fixed,cyclical,0,15,4,11,64,0,0,4,3,6.75,fixed,True,-25,6.75
serverless_predictive_fixed,cyclical,1,15,4,11,64,0,0,4,3,6.75,fixed,True,-25,6.75
serverless_predictive_fixed,cyclical,2,15,4,11,64,0,0,4,3,6.75,fixed,True,-25,6.75
serverless_predictive_fixed,cyclical,3,15,4,11,64,0,0,4,3,6.75,fixed,True,-25,6.75
serverless_predictive_fixed,cyclical,4,15,4,11,64,0,0,4,3,6.75,fixed,True,-25,6.75
serverless_predictive_fixed,cyclical,5,15,4,11,64,0,0,4,3,6.75,fixed,True,-25,6.75
serverless_predictive_fixed,cyclical,6,15,4,11,64,0,0,4,3,6.75,fixed,True,-25,6.75
serverless_predictive_fixed,cyclical,7,15,4,11,64,0,0,4,3,6.75,fixed,True,-25,6.75
serverless_predictive_fixed,cyclical,8,15,4,11,64,0,0,4,3,6.75,fixed,True,-25,6.75
serverless_predictive_fixed,cyclical,9,15,4,11,64,0,0,4,3,6.75,fixed,True,-25,6.75
serverless_predictive_fixed,cyclical,10,15,4,11,64,0,0,4,3,6.75,fixed,True,-25,6.75
serverless_predictive_fixed,cyclical,11,15,4,11,64,0,0,4,3,6.75,fixed,True,-25,6.75
serverless_predictive_fixed,cyclical,12,15,4,11,64,0,0,4,3,6.75,fixed,True,-25,6.75
serverless_predictive_fixed,cyclical,13,15,4,11,64,0,0,4,3,6.75,fixed,True,-25,6.75
serverless_predictive_fixed,cyclical,14,15,4,11,64,0,0,4,3,6.75,fixed,True,-25,6.75
serverless_predictive_fixed,cyclical,0,15,4,11,64,0,0,4,3,8.1,fixed,True,-10,8.1
serverless_predictive_fixed,cyclical,1,15,4,11,64,0,0,4,3,8.1,fixed,True,-10,8.1
serverless_predictive_fixed,cyclical,2,15,4,11,64,0,0,4,3,8.1,fixed,True,-10,8.1
serverless_predictive_fixed,cyclical,3,15,4,11,64,0,0,4,3,8.1,fixed,True,-10,8.1
serverless_predictive_fixed,cyclical,4,15,4,11,64,0,0,4,3,8.1,fixed,True,-10,8.1
serverless_predictive_fixed,cyclical,5,15,4,11,64,0,0,4,3,8.1,fixed,True,-10,8.1
serverless_predictive_fixed,cyclical,6,15,4,11,64,0,0,4,3,8.1,fixed,True,-10,8.1
serverless_predictive_fixed,cyclical,7,15,4,11,64,0,0,4,3,8.1,fixed,True,-10,8.1
serverless_predictive_fixed,cyclical,8,15,4,11,64,0,0,4,3,8.1,fixed,True,-10,8.1
serverless_predictive_fixed,cyclical,9,15,4,11,64,0,0,4,3,8.1,fixed,True,-10,8.1
serverless_predictive_fixed,cyclical,10,15,4,11,64,0,0,4,3,8.1,fixed,True,-10,8.1
serverless_predictive_fixed,cyclical,11,15,4,11,64,0,0,4,3,8.1,fixed,True,-10,8.1
serverless_predictive_fixed,cyclical,12,15,4,11,64,0,0,4,3,8.1,fixed,True,-10,8.1
serverless_predictive_fixed,cyclical,13,15,4,11,64,0,0,4,3,8.1,fixed,True,-10,8.1
serverless_predictive_fixed,cyclical,14,15,4,11,64,0,0,4,3,8.1,fixed,True,-10,8.1
serverless_predictive_fixed,cyclical,0,15,4,11,64,0,0,4,3,9.9,fixed,True,10,9.9
serverless_predictive_fixed,cyclical,1,15,2,13,62,0,0,4,3,9.9,fixed,True,10,9.9
serverless_predictive_fixed,cyclical,2,15,3,12,63,0,0,4,3,9.9,fixed,True,10,9.9
serverless_predictive_fixed,cyclical,3,15,3,12,63,0,0,4,3,9.9,fixed,True,10,9.9
