t,label,cpu_pct_sum,rss_mb_sum,n_procs
1788950203.4239504,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950203.6261234,serverless_predictive_fixed:cyclical:0,4.9,36.62,1
1788950203.8284118,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950204.0307188,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950204.2330492,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950204.435142,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950204.6373203,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950204.8402596,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950205.0424635,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950205.2446852,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950205.4468408,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950205.649027,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950205.8513916,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950206.0538683,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950206.2560105,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950206.458044,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950206.6602795,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950206.8624039,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950207.0646834,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950207.266796,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950207.4689329,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950207.6709654,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950207.873084,serverless_predictive_fixed:cyclical:0,4.9,36.62,1
1788950208.075288,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950208.2773206,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950208.4796298,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950208.6818085,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950208.8838854,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950209.0865495,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950209.288768,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950209.490971,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950209.693016,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950209.895078,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950210.0971715,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950210.2992637,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950210.5014515,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950210.703537,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950210.9055283,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950211.1080582,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950211.3104527,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950211.512657,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950211.714697,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950211.9167855,serverless_predictive_fixed:cyclical:0,4.9,36.62,1
1788950212.1186514,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950212.3205934,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950212.522461,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950212.7247722,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950212.9266973,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950213.1287644,serverless_predictive_fixed:cyclical:0,0.0,36.62,1
1788950213.3360488,serverless_predictive_fixed:cyclical:0,4.8,64.6,4
1788950213.5439973,serverless_predictive_fixed:cyclical:0,177.9,116.05,4
1788950213.7513092,serverless_predictive_fixed:cyclical:0,207.5,143.52,4
1788950213.9575863,serverless_predictive_fixed:cyclical:0,189.0,152.12,4
1788950214.1607132,serverless_predictive_fixed:cyclical:0,192.0,164.43,4
1788950214.3630388,serverless_predictive_fixed:cyclical:0,29.6,164.83,4
1788950214.5655022,serverless_predictive_fixed:cyclical:0,0.0,164.83,4
1788950214.7680118,serverless_predictive_fixed:cyclical:0,0.0,164.83,4
1788950214.9704497,serverless_predictive_fixed:cyclical:0,0.0,164.83,4
1788950215.17277,serverless_predictive_fixed:cyclical:0,0.0,164.83,4
1788950215.3748817,serverless_predictive_fixed:cyclical:0,0.0,164.83,4
1788950215.577473,serverless_predictive_fixed:cyclical:0,0.0,164.83,4
1788950215.7799795,serverless_predictive_fixed:cyclical:0,0.0,164.83,4
1788950215.9821765,serverless_predictive_fixed:cyclical:0,0.0,164.83,4
1788950216.1851938,serverless_predictive_fixed:cyclical:0,0.0,164.83,4
1788950216.3874273,serverless_predictive_fixed:cyclical:0,0.0,164.83,4
1788950216.5896401,serverless_predictive_fixed:cyclical:0,0.0,164.83,4
1788950216.792341,serverless_predictive_fixed:cyclical:0,4.9,164.83,4
1788950216.9945,serverless_predictive_fixed:cyclical:0,0.0,164.83,4
1788950217.196723,serverless_predictive_fixed:cyclical:0,0.0,164.83,4
1788950217.3989613,serverless_predictive_fixed:cyclical:0,0.0,164.83,4
1788950217.601164,serverless_predictive_fixed:cyclical:0,0.0,164.83,4
1788950217.8035667,serverless_predictive_fixed:cyclical:0,0.0,164.83,4
1788950218.0074415,serverless_predictive_fixed:cyclical:0,0.0,164.83,4
1788950218.2102184,serverless_predictive_fixed:cyclical:0,4.9,164.83,4
1788950218.4129908,serverless_predictive_fixed:cyclical:0,0.0,164.83,4
1788950218.6170363,serverless_predictive_fixed:cyclical:0,0.0,164.83,4
1788950218.819274,serverless_predictive_fixed:cyclical:0,0.0,164.83,4
1788950219.0217135,serverless_predictive_fixed:cyclical:0,4.9,164.83,4
1788950219.2252507,serverless_predictive_fixed:cyclical:0,0.0,164.84,4
1788950219.4281366,serverless_predictive_fixed:cyclical:0,0.0,164.84,4
1788950219.6317387,serverless_predictive_fixed:cyclical:0,0.0,164.84,4
1788950219.834127,serverless_predictive_fixed:cyclical:0,0.0,164.84,4
1788950220.0364091,serverless_predictive_fixed:cyclical:0,4.9,164.84,4
1788950220.2394125,serverless_predictive_fixed:cyclical:0,4.9,164.84,4
1788950220.4422946,serverless_predictive_fixed:cyclical:0,0.0,164.84,4
1788950220.645952,serverless_predictive_fixed:cyclical:0,4.9,149.44,4
1788950220.8496852,serverless_predictive_fixed:cyclical:0,103.1,117.23,3
1788950221.053478,serverless_predictive_fixed:cyclical:0,58.9,79.75,2
1788950221.2555742,serverless_predictive_fixed:cyclical:0,0.0,79.75,2
