policy,scenario,trial,cold_starts,predictive_cold_starts,reactive_cold_starts,warm_hits,wasted_prewarms,spawn_failures,gap_observations,pool_size,predicted_gap_s,predictor,predictive
container,low,0,,,,,,,,,,,
container,low,1,,,,,,,,,,,
container,low,2,,,,,,,,,,,
container,low,3,,,,,,,,,,,
container,low,4,,,,,,,,,,,
serverless_reactive,low,0,2,0,2,58,0,0,0,1,,ewma,False
serverless_reactive,low,1,2,0,2,58,0,0,0,1,,ewma,False
serverless_reactive,low,2,2,0,2,58,0,0,0,1,,ewma,False
serverless_reactive,low,3,2,0,2,58,0,0,0,1,,ewma,False
serverless_reactive,low,4,2,0,2,58,0,0,0,1,,ewma,False
serverless_predictive_ewma,low,0,2,0,2,58,0,0,0,1,,ewma,True
serverless_predictive_ewma,low,1,2,0,2,58,0,0,0,1,,ewma,True
serverless_predictive_ewma,low,2,2,0,2,58,0,0,0,1,,ewma,True
serverless_predictive_ewma,low,3,2,0,2,58,0,0,0,1,,ewma,True
serverless_predictive_ewma,low,4,2,0,2,58,0,0,0,1,,ewma,True
container,moderate,0,,,,,,,,,,,
container,moderate,1,,,,,,,,,,,
container,moderate,2,,,,,,,,,,,
container,moderate,3,,,,,,,,,,,
container,moderate,4,,,,,,,,,,,
serverless_reactive,moderate,0,2,0,2,234,0,0,0,1,,ewma,False
serverless_reactive,moderate,1,2,0,2,234,0,0,0,1,,ewma,False
serverless_reactive,moderate,2,2,0,2,234,0,0,0,1,,ewma,False
serverless_reactive,moderate,3,2,0,2,234,0,0,0,1,,ewma,False
serverless_reactive,moderate,4,2,0,2,234,0,0,0,1,,ewma,False
serverless_predictive_ewma,moderate,0,3,0,3,233,0,0,0,1,,ewma,True
serverless_predictive_ewma,moderate,1,3,0,3,233,0,0,0,1,,ewma,True
serverless_predictive_ewma,moderate,2,2,0,2,233,0,0,0,1,,ewma,True
serverless_predictive_ewma,moderate,3,2,0,2,233,0,0,0,1,,ewma,True
serverless_predictive_ewma,moderate,4,3,0,3,233,0,0,0,1,,ewma,True
container,cyclical,0,,,,,,,,,,,
container,cyclical,1,,,,,,,,,,,
container,cyclical,2,,,,,,,,,,,
container,cyclical,3,,,,,,,,,,,
container,cyclical,4,,,,,,,,,,,
container,cyclical,5,,,,,,,,,,,
container,cyclical,6,,,,,,,,,,,
container,cyclical,7,,,,,,,,,,,
container,cyclical,8,,,,,,,,,,,
container,cyclical,9,,,,,,,,,,,
container,cyclical,10,,,,,,,,,,,
container,cyclical,11,,,,,,,,,,,
container,cyclical,12,,,,,,,,,,,
container,cyclical,13,,,,,,,,,,,
container,cyclical,14,,,,,,,,,,,
serverless_reactive,cyclical,0,15,0,15,60,0,0,4,3,9.687021266937254,ewma,False
serverless_reactive,cyclical,1,15,0,15,60,0,0,4,3,9.160648921966553,ewma,False
serverless_reactive,cyclical,2,15,0,15,60,0,0,4,3,9.795405738830567,ewma,False
serverless_reactive,cyclical,3,15,0,15,60,0,0,4,3,9.459111726760863,ewma,False
serverless_reactive,cyclical,4,15,0,15,60,0,0,4,3,9.824708869934083,ewma,False
serverless_reactive,cyclical,5,15,0,15,60,0,0,4,3,9.366472434997558,ewma,False
serverless_reactive,cyclical,6,15,0,15,60,0,0,4,3,9.415332542419433,ewma,False
serverless_reactive,cyclical,7,15,0,15,60,0,0,4,3,9.449780458450318,ewma,False
serverless_reactive,cyclical,8,15,0,15,60,0,0,4,3,9.776921323776245,ewma,False
serverless_reactive,cyclical,9,15,0,15,60,0,0,4,3,9.546717947006226,ewma,False
serverless_reactive,cyclical,10,15,0,15,60,0,0,4,3,9.75773338317871,ewma,False
serverless_reactive,cyclical,11,15,0,15,60,0,0,4,3,10.066763652801514,ewma,False
serverless_reactive,cyclical,12,15,0,15,60,0,0,4,3,9.598470220565797,ewma,False
serverless_reactive,cyclical,13,15,0,15,60,0,0,4,3,9.649348258972168,ewma,False
serverless_reactive,cyclical,14,15,0,15,60,0,0,4,3,9.612945360183716,ewma,False
serverless_predictive_ewma,cyclical,0,15,3,12,63,0,0,4,3,9.597744037628175,ewma,True
serverless_predictive_ewma,cyclical,1,15,2,13,62,0,0,4,3,9.11256093788147,ewma,True
serverless_predictive_ewma,cyclical,2,15,3,12,63,0,0,4,3,9.697407869338988,ewma,True
serverless_predictive_ewma,cyclical,3,15,3,12,63,0,0,4,3,9.458328147888183,ewma,True
