policy,scenario,trial,cold_starts,predictive_cold_starts,reactive_cold_starts,warm_hits,wasted_prewarms,spawn_failures,gap_observations,pool_size,predicted_gap_s,predictor,predictive
container,cyclical,0,,,,,,,,,,,
container,cyclical,1,,,,,,,,,,,
container,cyclical,2,,,,,,,,,,,
container,cyclical,3,,,,,,,,,,,
container,cyclical,4,,,,,,,,,,,
container,cyclical,5,,,,,,,,,,,
container,cyclical,6,,,,,,,,,,,
container,cyclical,7,,,,,,,,,,,
container,cyclical,8,,,,,,,,,,,
container,cyclical,9,,,,,,,,,,,
container,cyclical,10,,,,,,,,,,,
container,cyclical,11,,,,,,,,,,,
container,cyclical,12,,,,,,,,,,,
container,cyclical,13,,,,,,,,,,,
container,cyclical,14,,,,,,,,,,,
serverless_reactive,cyclical,0,40,0,40,35,0,0,4,8,11.168024665832519,ewma,False
serverless_reactive,cyclical,1,40,0,40,35,0,0,4,8,10.44513999938965,ewma,False
serverless_reactive,cyclical,2,40,0,40,35,0,0,4,8,11.095309280395508,ewma,False
serverless_reactive,cyclical,3,40,0,40,35,0,0,4,8,10.720163555145263,ewma,False
serverless_reactive,cyclical,4,40,0,40,35,0,0,4,8,11.064196983337403,ewma,False
serverless_reactive,cyclical,5,40,0,40,35,0,0,4,8,10.716115356445314,ewma,False
serverless_reactive,cyclical,6,40,0,40,35,0,0,4,8,10.740709783554077,ewma,False
serverless_reactive,cyclical,7,40,0,40,35,0,0,4,8,10.691772968292234,ewma,False
serverless_reactive,cyclical,8,40,0,40,35,0,0,4,8,11.176472988128662,ewma,False
serverless_reactive,cyclical,9,40,0,40,35,0,0,4,8,10.850468193054198,ewma,False
serverless_reactive,cyclical,10,40,0,40,35,0,0,4,8,11.005508588790892,ewma,False
serverless_reactive,cyclical,11,40,0,40,35,0,0,4,8,11.439406921386718,ewma,False
serverless_reactive,cyclical,12,40,0,40,35,0,0,4,8,10.912155673980713,ewma,False
serverless_reactive,cyclical,13,40,0,40,35,0,0,4,8,10.84128177833557,ewma,False
serverless_reactive,cyclical,14,40,0,40,35,0,0,4,8,11.026283306121826,ewma,False
serverless_predictive_ewma,cyclical,0,40,3,37,38,0,0,4,8,10.73493556022644,ewma,True
serverless_predictive_ewma,cyclical,1,40,2,38,37,0,0,4,8,10.363581823348998,ewma,True
serverless_predictive_ewma,cyclical,2,40,3,37,38,0,0,4,8,10.941263139724732,ewma,True
serverless_predictive_ewma,cyclical,3,40,1,39,36,0,0,4,8,10.720385570526123,ewma,True
serverless_predictive_ewma,cyclical,4,40,3,37,38,0,0,4,8,11.007239862442017,ewma,True
serverless_predictive_ewma,cyclical,5,40,3,37,38,0,0,4,8,10.552989246368409,ewma,True
serverless_predictive_ewma,cyclical,6,40,1,39,36,0,0,4,8,10.704656185150146,ewma,True
serverless_predictive_ewma,cyclical,7,40,2,38,37,0,0,4,8,10.522105001449585,ewma,True
serverless_predictive_ewma,cyclical,8,40,3,37,38,0,0,4,8,10.849936840057374,ewma,True
serverless_predictive_ewma,cyclical,9,40,3,37,38,0,0,4,8,10.589386987686158,ewma,True
serverless_predictive_ewma,cyclical,10,40,2,38,37,0,0,4,8,10.945443904876708,ewma,True
serverless_predictive_ewma,cyclical,11,40,3,37,38,0,0,4,8,11.171642768859865,ewma,True
serverless_predictive_ewma,cyclical,12,40,1,39,36,0,0,4,8,10.753105148315429,ewma,True
serverless_predictive_ewma,cyclical,13,40,3,37,38,0,0,4,8,10.888926521301268,ewma,True
serverless_predictive_ewma,cyclical,14,40,3,37,38,0,0,4,8,10.912834537506104,ewma,True
serverless_predictive_lastgap,cyclical,0,40,3,37,38,0,0,4,8,11.570978879928589,lastgap,True
serverless_predictive_lastgap,cyclical,1,40,3,37,38,0,0,4,8,9.730944871902466,lastgap,True
serverless_predictive_lastgap,cyclical,2,40,3,37,38,0,0,4,8,11.220648527145386,lastgap,True
serverless_predictive_lastgap,cyclical,3,40,3,37,38,0,0,4,8,10.040955781936646,lastgap,True
serverless_predictive_lastgap,cyclical,4,40,3,37,38,0,0,4,8,10.84815239906311,lastgap,True
serverless_predictive_lastgap,cyclical,5,40,1,39,36,0,0,4,8,10.174149513244629,lastgap,True
serverless_predictive_lastgap,cyclical,6,40,2,38,37,0,0,4,8,10.006922006607056,lastgap,True
serverless_predictive_lastgap,cyclical,7,40,2,38,37,0,0,4,8,9.776583194732666,lastgap,True
serverless_predictive_lastgap,cyclical,8,40,3,37,38,0,0,4,8,10.689642429351807,lastgap,True
serverless_predictive_lastgap,cyclical,9,40,3,37,38,0,0,4,8,11.174866676330566,lastgap,True
serverless_predictive_lastgap,cyclical,10,40,2,38,37,0,0,4,8,11.082813024520874,lastgap,True
serverless_predictive_lastgap,cyclical,11,40,3,37,38,0,0,4,8,11.494853258132935,lastgap,True
serverless_predictive_lastgap,cyclical,12,40,1,39,36,0,0,4,8,10.03946566581726,lastgap,True
serverless_predictive_lastgap,cyclical,13,40,3,37,38,0,0,4,8,11.130650758743286,lastgap,True
serverless_predictive_lastgap,cyclical,14,40,2,38,37,0,0,4,8,11.296555995941162,lastgap,True
serverless_predictive_movavg,cyclical,0,40,3,37,38,0,0,4,8,10.761825025081635,movavg,True
serverless_predictive_movavg,cyclical,1,40,3,37,38,0,0,4,8,10.425420641899109,movavg,True
serverless_predictive_movavg,cyclical,2,40,3,37,38,0,0,4,8,10.871410429477692,movavg,True
