policy,scenario,trial,cold_starts,predictive_cold_starts,reactive_cold_starts,warm_hits,wasted_prewarms,spawn_failures,gap_observations,pool_size,predicted_gap_s,predictor,predictive,idle_timeout_s
serverless_reactive,cyclical,0,15,0,15,60,0,0,4,3,9.745933454513551,ewma,False,8.0
serverless_reactive,cyclical,1,12,0,12,63,0,0,4,3,9.169605224609375,ewma,False,8.0
serverless_reactive,cyclical,2,15,0,15,60,0,0,4,3,9.832666162490845,ewma,False,8.0
serverless_reactive,cyclical,3,15,0,15,60,0,0,4,3,9.563362527847291,ewma,False,8.0
serverless_reactive,cyclical,4,15,0,15,60,0,0,4,3,9.934525192260743,ewma,False,8.0
serverless_reactive,cyclical,5,15,0,15,60,0,0,4,3,9.386102317810058,ewma,False,8.0
serverless_reactive,cyclical,6,15,0,15,60,0,0,4,3,9.415452077865602,ewma,False,8.0
serverless_reactive,cyclical,7,12,0,12,63,0,0,4,3,9.415987977981569,ewma,False,8.0
serverless_reactive,cyclical,8,15,0,15,60,0,0,4,3,9.785550985336304,ewma,False,8.0
serverless_reactive,cyclical,9,12,0,12,63,0,0,4,3,9.553971691131592,ewma,False,8.0
serverless_reactive,cyclical,10,15,0,15,60,0,0,4,3,9.763685464859009,ewma,False,8.0
serverless_reactive,cyclical,11,14,0,14,61,0,0,4,3,10.087306188583373,ewma,False,8.0
serverless_reactive,cyclical,12,14,0,14,61,0,0,4,3,9.645638692855837,ewma,False,8.0
serverless_reactive,cyclical,13,15,0,15,60,0,0,4,3,9.894516550064086,ewma,False,8.0
serverless_reactive,cyclical,14,15,0,15,60,0,0,4,3,9.714564811706541,ewma,False,8.0
serverless_reactive,cyclical,0,3,0,3,72,0,0,4,3,9.228196109771728,ewma,False,10.0
serverless_reactive,cyclical,1,3,0,3,72,0,0,4,3,8.687685907363893,ewma,False,10.0
serverless_reactive,cyclical,2,3,0,3,72,0,0,4,3,9.365317001342774,ewma,False,10.0
serverless_reactive,cyclical,3,3,0,3,72,0,0,4,3,9.005333045959471,ewma,False,10.0
serverless_reactive,cyclical,4,3,0,3,72,0,0,4,3,9.375036985397339,ewma,False,10.0
serverless_reactive,cyclical,5,3,0,3,72,0,0,4,3,8.914104240417482,ewma,False,10.0
serverless_reactive,cyclical,6,3,0,3,72,0,0,4,3,9.147927606582641,ewma,False,10.0
serverless_reactive,cyclical,7,3,0,3,72,0,0,4,3,9.005715047836304,ewma,False,10.0
serverless_reactive,cyclical,8,3,0,3,72,0,0,4,3,9.315161489486695,ewma,False,10.0
serverless_reactive,cyclical,9,3,0,3,72,0,0,4,3,9.086009586334228,ewma,False,10.0
serverless_reactive,cyclical,10,3,0,3,72,0,0,4,3,9.256981943130494,ewma,False,10.0
serverless_reactive,cyclical,11,3,0,3,72,0,0,4,3,9.596954996109009,ewma,False,10.0
serverless_reactive,cyclical,12,3,0,3,72,0,0,4,3,9.137144947052002,ewma,False,10.0
serverless_reactive,cyclical,13,3,0,3,72,0,0,4,3,9.215097440719603,ewma,False,10.0
serverless_reactive,cyclical,14,3,0,3,72,0,0,4,3,9.150060201644898,ewma,False,10.0
serverless_reactive,cyclical,0,3,0,3,72,0,0,4,3,9.227553617477417,ewma,False,12.0
serverless_reactive,cyclical,1,3,0,3,72,0,0,4,3,8.69141972351074,ewma,False,12.0
serverless_reactive,cyclical,2,3,0,3,72,0,0,4,3,9.330725805282594,ewma,False,12.0
serverless_reactive,cyclical,3,3,0,3,72,0,0,4,3,8.996037452697754,ewma,False,12.0
serverless_reactive,cyclical,4,3,0,3,72,0,0,4,3,9.366849044799805,ewma,False,12.0
serverless_reactive,cyclical,5,3,0,3,72,0,0,4,3,8.902199081420898,ewma,False,12.0
serverless_reactive,cyclical,6,3,0,3,72,0,0,4,3,8.953767232894897,ewma,False,12.0
serverless_reactive,cyclical,7,3,0,3,72,0,0,4,3,9.008287906646729,ewma,False,12.0
serverless_reactive,cyclical,8,3,0,3,72,0,0,4,3,9.308003980636595,ewma,False,12.0
serverless_reactive,cyclical,9,3,0,3,72,0,0,4,3,9.07467660522461,ewma,False,12.0
serverless_reactive,cyclical,10,3,0,3,72,0,0,4,3,9.259964731216431,ewma,False,12.0
serverless_reactive,cyclical,11,3,0,3,72,0,0,4,3,9.582285711288453,ewma,False,12.0
serverless_reactive,cyclical,12,3,0,3,72,0,0,4,3,9.13580376625061,ewma,False,12.0
serverless_reactive,cyclical,13,3,0,3,72,0,0,4,3,9.199780778884888,ewma,False,12.0
serverless_reactive,cyclical,14,3,0,3,72,0,0,4,3,9.138201862335205,ewma,False,12.0
