t,label,cpu_pct_sum,rss_mb_sum,n_procs,idle_timeout_s
1788963105.6644747,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963105.8667567,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963106.068976,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963106.2712002,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963106.4730794,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963106.6758175,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963106.8777199,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963107.0796387,serverless_reactive:cyclical:0,5.0,36.57,1,8.0
1788963107.2815943,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963107.4833572,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963107.685206,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963107.887178,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963108.0888824,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963108.2905366,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963108.492734,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963108.6944818,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963108.8961134,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963109.0978518,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963109.2997127,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963109.5014572,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963109.7032466,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963109.9051926,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963110.1068556,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963110.3093429,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963110.5110636,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963110.712911,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963110.9147007,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963111.1164877,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963111.318367,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963111.5201254,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963111.7220566,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963111.9237309,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963112.1255755,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963112.3280945,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963112.5307233,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963112.7332985,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963112.9356763,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963113.1381521,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963113.3398006,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963113.5422564,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963113.7446547,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963113.946441,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963114.1484675,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963114.3510225,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963114.552822,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963114.7545037,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963114.9562554,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963115.1580055,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963115.359652,serverless_reactive:cyclical:0,0.0,36.57,1,8.0
1788963115.563072,serverless_reactive:cyclical:0,4.9,61.92,4,8.0
1788963115.7647529,serverless_reactive:cyclical:0,198.3,122.95,4,8.0
1788963115.9707556,serverless_reactive:cyclical:0,194.2,148.17,4,8.0
1788963116.1744027,serverless_reactive:cyclical:0,186.6,164.7,4,8.0
1788963116.377008,serverless_reactive:cyclical:0,9.8,164.85,4,8.0
1788963116.5790048,serverless_reactive:cyclical:0,0.0,164.85,4,8.0
1788963116.780999,serverless_reactive:cyclical:0,0.0,164.85,4,8.0
1788963116.9829905,serverless_reactive:cyclical:0,0.0,164.85,4,8.0
1788963117.186213,serverless_reactive:cyclical:0,0.0,164.85,4,8.0
1788963117.388383,serverless_reactive:cyclical:0,0.0,164.85,4,8.0
1788963117.5906484,serverless_reactive:cyclical:0,4.9,164.85,4,8.0
1788963117.7927184,serverless_reactive:cyclical:0,0.0,164.85,4,8.0
1788963117.9947336,serverless_reactive:cyclical:0,4.9,164.85,4,8.0
1788963118.1968489,serverless_reactive:cyclical:0,0.0,164.85,4,8.0
