policy,scenario,trial,seed,n_requests,n_ok,n_cold,idle_timeout_s
serverless_reactive,cyclical,0,1564772627,75,75,15,8.0
serverless_reactive,cyclical,1,3598439793,75,75,12,8.0
serverless_reactive,cyclical,2,1631917179,75,75,15,8.0
serverless_reactive,cyclical,3,842756676,75,75,15,8.0
serverless_reactive,cyclical,4,3813025259,75,75,15,8.0
serverless_reactive,cyclical,5,963277328,75,75,15,8.0
serverless_reactive,cyclical,6,1638003887,75,75,15,8.0
serverless_reactive,cyclical,7,256795029,75,75,12,8.0
serverless_reactive,cyclical,8,214685358,75,75,15,8.0
serverless_reactive,cyclical,9,4245082356,75,75,12,8.0
serverless_reactive,cyclical,10,2575515336,75,75,15,8.0
serverless_reactive,cyclical,11,2861245625,75,75,14,8.0
serverless_reactive,cyclical,12,1509614922,75,75,14,8.0
serverless_reactive,cyclical,13,2702567642,75,75,15,8.0
serverless_reactive,cyclical,14,3208509222,75,75,15,8.0
serverless_reactive,cyclical,0,1564772627,75,75,3,10.0
serverless_reactive,cyclical,1,3598439793,75,75,3,10.0
serverless_reactive,cyclical,2,1631917179,75,75,3,10.0
serverless_reactive,cyclical,3,842756676,75,75,3,10.0
serverless_reactive,cyclical,4,3813025259,75,75,3,10.0
serverless_reactive,cyclical,5,963277328,75,75,3,10.0
serverless_reactive,cyclical,6,1638003887,75,75,3,10.0
serverless_reactive,cyclical,7,256795029,75,75,3,10.0
serverless_reactive,cyclical,8,214685358,75,75,3,10.0
serverless_reactive,cyclical,9,4245082356,75,75,3,10.0
serverless_reactive,cyclical,10,2575515336,75,75,3,10.0
serverless_reactive,cyclical,11,2861245625,75,75,3,10.0
serverless_reactive,cyclical,12,1509614922,75,75,3,10.0
serverless_reactive,cyclical,13,2702567642,75,75,3,10.0
serverless_reactive,cyclical,14,3208509222,75,75,3,10.0
serverless_reactive,cyclical,0,1564772627,75,75,3,12.0
serverless_reactive,cyclical,1,3598439793,75,75,3,12.0
serverless_reactive,cyclical,2,1631917179,75,75,3,12.0
serverless_reactive,cyclical,3,842756676,75,75,3,12.0
serverless_reactive,cyclical,4,3813025259,75,75,3,12.0
serverless_reactive,cyclical,5,963277328,75,75,3,12.0
serverless_reactive,cyclical,6,1638003887,75,75,3,12.0
serverless_reactive,cyclical,7,256795029,75,75,3,12.0
serverless_reactive,cyclical,8,214685358,75,75,3,12.0
serverless_reactive,cyclical,9,4245082356,75,75,3,12.0
serverless_reactive,cyclical,10,2575515336,75,75,3,12.0
serverless_reactive,cyclical,11,2861245625,75,75,3,12.0
serverless_reactive,cyclical,12,1509614922,75,75,3,12.0
serverless_reactive,cyclical,13,2702567642,75,75,3,12.0
serverless_reactive,cyclical,14,3208509222,75,75,3,12.0
