t,label,cpu_pct_sum,rss_mb_sum,n_procs
1788951967.4479957,serverless_reactive:cyclical:0,0.0,36.59,1
1788951967.6500115,serverless_reactive:cyclical:0,0.0,36.59,1
1788951967.8521447,serverless_reactive:cyclical:0,0.0,36.59,1
1788951968.0540793,serverless_reactive:cyclical:0,0.0,36.59,1
1788951968.2566886,serverless_reactive:cyclical:0,0.0,36.59,1
1788951968.458652,serverless_reactive:cyclical:0,0.0,36.59,1
1788951968.6611087,serverless_reactive:cyclical:0,0.0,36.59,1
1788951968.8637955,serverless_reactive:cyclical:0,0.0,36.59,1
1788951969.0662155,serverless_reactive:cyclical:0,0.0,36.59,1
1788951969.2682436,serverless_reactive:cyclical:0,0.0,36.59,1
1788951969.4702363,serverless_reactive:cyclical:0,0.0,36.59,1
1788951969.6725385,serverless_reactive:cyclical:0,0.0,36.59,1
1788951969.874474,serverless_reactive:cyclical:0,0.0,36.59,1
1788951970.0764916,serverless_reactive:cyclical:0,0.0,36.59,1
1788951970.278414,serverless_reactive:cyclical:0,0.0,36.59,1
1788951970.4806147,serverless_reactive:cyclical:0,0.0,36.59,1
1788951970.6825871,serverless_reactive:cyclical:0,0.0,36.59,1
1788951970.8846262,serverless_reactive:cyclical:0,0.0,36.59,1
1788951971.0867977,serverless_reactive:cyclical:0,0.0,36.59,1
1788951971.2894218,serverless_reactive:cyclical:0,0.0,36.6,1
1788951971.4916155,serverless_reactive:cyclical:0,0.0,36.6,1
1788951971.6939836,serverless_reactive:cyclical:0,0.0,36.6,1
1788951971.8962831,serverless_reactive:cyclical:0,0.0,36.6,1
1788951972.0985503,serverless_reactive:cyclical:0,0.0,36.6,1
1788951972.3007252,serverless_reactive:cyclical:0,0.0,36.6,1
1788951972.5027907,serverless_reactive:cyclical:0,0.0,36.6,1
1788951972.704924,serverless_reactive:cyclical:0,0.0,36.6,1
1788951972.9071212,serverless_reactive:cyclical:0,0.0,36.6,1
1788951973.1091914,serverless_reactive:cyclical:0,0.0,36.6,1
1788951973.3113668,serverless_reactive:cyclical:0,0.0,36.6,1
1788951973.5134628,serverless_reactive:cyclical:0,0.0,36.6,1
1788951973.7156649,serverless_reactive:cyclical:0,0.0,36.6,1
1788951973.9177103,serverless_reactive:cyclical:0,0.0,36.6,1
1788951974.1199994,serverless_reactive:cyclical:0,0.0,36.6,1
1788951974.322248,serverless_reactive:cyclical:0,0.0,36.6,1
1788951974.524468,serverless_reactive:cyclical:0,0.0,36.6,1
1788951974.7264388,serverless_reactive:cyclical:0,0.0,36.6,1
1788951974.9284494,serverless_reactive:cyclical:0,0.0,36.6,1
1788951975.1308024,serverless_reactive:cyclical:0,0.0,36.6,1
1788951975.3328438,serverless_reactive:cyclical:0,0.0,36.6,1
1788951975.5348384,serverless_reactive:cyclical:0,0.0,36.6,1
1788951975.736861,serverless_reactive:cyclical:0,0.0,36.6,1
1788951975.938838,serverless_reactive:cyclical:0,0.0,36.6,1
1788951976.1408665,serverless_reactive:cyclical:0,0.0,36.6,1
1788951976.3428833,serverless_reactive:cyclical:0,0.0,36.6,1
1788951976.5448358,serverless_reactive:cyclical:0,0.0,36.6,1
1788951976.7468307,serverless_reactive:cyclical:0,0.0,36.6,1
1788951976.9488235,serverless_reactive:cyclical:0,0.0,36.6,1
1788951977.1511571,serverless_reactive:cyclical:0,0.0,36.6,1
1788951977.360418,serverless_reactive:cyclical:0,4.8,65.93,4
1788951977.5650637,serverless_reactive:cyclical:0,190.7,113.2,4
1788951977.771642,serverless_reactive:cyclical:0,200.3,138.91,4
1788951977.9741576,serverless_reactive:cyclical:0,196.0,154.41,4
1788951978.177514,serverless_reactive:cyclical:0,137.7,164.54,4
1788951978.3808162,serverless_reactive:cyclical:0,0.0,164.7,4
1788951978.5829983,serverless_reactive:cyclical:0,0.0,164.7,4
1788951978.785328,serverless_reactive:cyclical:0,4.9,164.7,4
1788951978.9877057,serverless_reactive:cyclical:0,4.9,164.7,4
1788951979.1901867,serverless_reactive:cyclical:0,4.9,164.7,4
1788951979.3925395,serverless_reactive:cyclical:0,0.0,164.7,4
1788951979.5948498,serverless_reactive:cyclical:0,0.0,164.7,4
1788951979.797565,serverless_reactive:cyclical:0,0.0,164.7,4
