policy,scenario,trial,seed,n_requests,n_ok,n_cold,idle_timeout_s
serverless_reactive,cyclical,0,1564772627,75,75,14,8.0
serverless_reactive,cyclical,1,3598439793,75,75,15,8.0
serverless_reactive,cyclical,2,1631917179,75,75,14,8.0
serverless_reactive,cyclical,3,842756676,75,75,15,8.0
serverless_reactive,cyclical,4,3813025259,75,75,15,8.0
serverless_reactive,cyclical,5,963277328,75,75,15,8.0
serverless_reactive,cyclical,0,1564772627,75,75,3,10.0
serverless_reactive,cyclical,1,3598439793,75,75,3,10.0
serverless_reactive,cyclical,2,1631917179,75,75,3,10.0
serverless_reactive,cyclical,3,842756676,75,75,3,10.0
serverless_reactive,cyclical,4,3813025259,75,75,3,10.0
serverless_reactive,cyclical,5,963277328,75,75,3,10.0
serverless_reactive,cyclical,0,1564772627,75,75,3,12.0
serverless_reactive,cyclical,1,3598439793,75,75,3,12.0
serverless_reactive,cyclical,2,1631917179,75,75,3,12.0
serverless_reactive,cyclical,3,842756676,75,75,3,12.0
serverless_reactive,cyclical,4,3813025259,75,75,3,12.0
serverless_reactive,cyclical,5,963277328,75,75,3,12.0
