policy,scenario,trial,cold_starts,predictive_cold_starts,reactive_cold_starts,warm_hits,wasted_prewarms,spawn_failures,gap_observations,pool_size,predicted_gap_s,predictor,predictive,startup_lead_s
serverless_predictive_ewma,cyclical,0,15,1,14,61,0,0,4,3,9.851293996810913,ewma,True,0.1
serverless_predictive_ewma,cyclical,1,15,0,15,60,0,0,4,3,9.161980850219726,ewma,True,0.1
serverless_predictive_ewma,cyclical,2,15,2,13,62,0,0,4,3,9.724983812332153,ewma,True,0.1
serverless_predictive_ewma,cyclical,3,15,1,14,61,0,0,4,3,9.620997295379638,ewma,True,0.1
serverless_predictive_ewma,cyclical,4,15,1,14,61,0,0,4,3,9.895153759002685,ewma,True,0.1
serverless_predictive_ewma,cyclical,5,15,1,14,61,0,0,4,3,9.306055669784547,ewma,True,0.1
serverless_predictive_lastgap,cyclical,0,15,2,13,62,0,0,4,3,10.420978784561157,lastgap,True,0.1
serverless_predictive_lastgap,cyclical,1,15,1,14,61,0,0,4,3,8.762827396392822,lastgap,True,0.1
serverless_predictive_lastgap,cyclical,2,15,1,14,61,0,0,4,3,9.854271411895752,lastgap,True,0.1
serverless_predictive_lastgap,cyclical,3,15,1,14,61,0,0,4,3,8.896146535873413,lastgap,True,0.1
serverless_predictive_lastgap,cyclical,4,15,2,13,62,0,0,4,3,9.640763521194458,lastgap,True,0.1
serverless_predictive_lastgap,cyclical,5,15,1,14,61,0,0,4,3,8.879229307174683,lastgap,True,0.1
serverless_predictive_movavg,cyclical,0,15,2,13,62,0,0,4,3,9.431744933128357,movavg,True,0.1
serverless_predictive_movavg,cyclical,1,15,0,15,60,0,0,4,3,9.176526367664337,movavg,True,0.1
serverless_predictive_movavg,cyclical,2,15,2,13,62,0,0,4,3,9.589122653007507,movavg,True,0.1
serverless_predictive_movavg,cyclical,3,15,1,14,61,0,0,4,3,9.537037909030914,movavg,True,0.1
serverless_predictive_movavg,cyclical,4,15,1,14,61,0,0,4,3,9.874509036540985,movavg,True,0.1
serverless_predictive_movavg,cyclical,5,15,1,14,61,0,0,4,3,9.312718093395233,movavg,True,0.1
serverless_predictive_fixed,cyclical,0,15,3,12,63,0,0,4,3,9.0,fixed,True,0.1
serverless_predictive_fixed,cyclical,1,15,2,13,62,0,0,4,3,9.0,fixed,True,0.1
serverless_predictive_fixed,cyclical,2,15,3,12,63,0,0,4,3,9.0,fixed,True,0.1
serverless_predictive_fixed,cyclical,3,15,2,13,62,0,0,4,3,9.0,fixed,True,0.1
serverless_predictive_fixed,cyclical,4,15,4,11,64,0,0,4,3,9.0,fixed,True,0.1
serverless_predictive_fixed,cyclical,5,15,2,13,62,0,0,4,3,9.0,fixed,True,0.1
serverless_predictive_ewma,cyclical,0,15,2,13,62,0,0,4,3,9.613873216629027,ewma,True,0.25
serverless_predictive_ewma,cyclical,1,15,0,15,60,0,0,4,3,9.173267345428467,ewma,True,0.25
serverless_predictive_ewma,cyclical,2,15,2,13,62,0,0,4,3,9.698458625793457,ewma,True,0.25
serverless_predictive_ewma,cyclical,3,15,1,14,61,0,0,4,3,9.438093490600586,ewma,True,0.25
serverless_predictive_ewma,cyclical,4,15,2,13,62,0,0,4,3,9.806990118026732,ewma,True,0.25
serverless_predictive_ewma,cyclical,5,15,1,14,61,0,0,4,3,9.28451801300049,ewma,True,0.25
serverless_predictive_lastgap,cyclical,0,15,2,13,62,0,0,4,3,10.41294264793396,lastgap,True,0.25
serverless_predictive_lastgap,cyclical,1,15,1,14,61,0,0,4,3,8.628062963485718,lastgap,True,0.25
serverless_predictive_lastgap,cyclical,2,15,1,14,61,0,0,4,3,9.87746524810791,lastgap,True,0.25
serverless_predictive_lastgap,cyclical,3,15,1,14,61,0,0,4,3,8.869959592819214,lastgap,True,0.25
serverless_predictive_lastgap,cyclical,4,15,2,13,62,0,0,4,3,9.641177892684937,lastgap,True,0.25
serverless_predictive_lastgap,cyclical,5,15,1,14,61,0,0,4,3,8.790601253509521,lastgap,True,0.25
serverless_predictive_movavg,cyclical,0,15,2,13,62,0,0,4,3,9.49548077583313,movavg,True,0.25
serverless_predictive_movavg,cyclical,1,15,0,15,60,0,0,4,3,9.216973602771759,movavg,True,0.25
serverless_predictive_movavg,cyclical,2,15,2,13,62,0,0,4,3,9.574333667755127,movavg,True,0.25
serverless_predictive_movavg,cyclical,3,15,1,14,61,0,0,4,3,9.48786598443985,movavg,True,0.25
serverless_predictive_movavg,cyclical,4,15,2,13,62,0,0,4,3,9.875412702560425,movavg,True,0.25
serverless_predictive_movavg,cyclical,5,15,1,14,61,0,0,4,3,9.344690144062042,movavg,True,0.25
serverless_predictive_fixed,cyclical,0,15,4,11,64,0,0,4,3,9.0,fixed,True,0.25
serverless_predictive_fixed,cyclical,1,15,3,12,63,0,0,4,3,9.0,fixed,True,0.25
