t,label,cpu_pct_sum,rss_mb_sum,n_procs,startup_lead_s
1788975445.0899935,serverless_predictive_ewma:cyclical:0,0.0,36.59,1,0.1
1788975445.2916512,serverless_predictive_ewma:cyclical:0,0.0,36.59,1,0.1
1788975445.496172,serverless_predictive_ewma:cyclical:0,0.0,36.59,1,0.1
1788975445.698249,serverless_predictive_ewma:cyclical:0,0.0,36.59,1,0.1
1788975445.9000857,serverless_predictive_ewma:cyclical:0,0.0,36.59,1,0.1
1788975446.1019125,serverless_predictive_ewma:cyclical:0,0.0,36.59,1,0.1
1788975446.303579,serverless_predictive_ewma:cyclical:0,0.0,36.59,1,0.1
1788975446.5054712,serverless_predictive_ewma:cyclical:0,0.0,36.59,1,0.1
1788975446.7077963,serverless_predictive_ewma:cyclical:0,0.0,36.59,1,0.1
1788975446.909441,serverless_predictive_ewma:cyclical:0,5.0,36.59,1,0.1
1788975447.1109335,serverless_predictive_ewma:cyclical:0,0.0,36.59,1,0.1
1788975447.3124762,serverless_predictive_ewma:cyclical:0,0.0,36.59,1,0.1
1788975447.514132,serverless_predictive_ewma:cyclical:0,0.0,36.59,1,0.1
1788975447.7157493,serverless_predictive_ewma:cyclical:0,0.0,36.59,1,0.1
1788975447.9175649,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975448.119175,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975448.320808,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975448.5223312,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975448.7240183,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975448.926377,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975449.1286106,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975449.3302994,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975449.5320485,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975449.7338083,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975449.9360301,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975450.1375701,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975450.3391514,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975450.5407474,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975450.7423859,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975450.943996,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975451.1455874,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975451.3472137,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975451.5487278,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975451.7504013,serverless_predictive_ewma:cyclical:0,5.0,36.6,1,0.1
1788975451.9519951,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975452.1537423,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975452.355255,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975452.5567415,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975452.7583306,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975452.9598107,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975453.1614857,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975453.3630655,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975453.564596,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975453.766279,serverless_predictive_ewma:cyclical:0,5.0,36.6,1,0.1
1788975453.9678617,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975454.1696427,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975454.3714855,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975454.5736964,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975454.7755942,serverless_predictive_ewma:cyclical:0,0.0,36.6,1,0.1
1788975454.978166,serverless_predictive_ewma:cyclical:0,4.9,57.74,4,0.1
1788975455.187804,serverless_predictive_ewma:cyclical:0,181.3,93.97,4,0.1
1788975455.3895895,serverless_predictive_ewma:cyclical:0,118.9,109.53,4,0.1
1788975455.5933468,serverless_predictive_ewma:cyclical:0,89.2,120.07,4,0.1
1788975455.7988327,serverless_predictive_ewma:cyclical:0,159.0,139.7,4,0.1
1788975456.0054455,serverless_predictive_ewma:cyclical:0,203.3,149.31,4,0.1
1788975456.207198,serverless_predictive_ewma:cyclical:0,168.6,161.18,4,0.1
1788975456.409933,serverless_predictive_ewma:cyclical:0,54.2,164.88,4,0.1
1788975456.611749,serverless_predictive_ewma:cyclical:0,0.0,164.88,4,0.1
1788975456.8137367,serverless_predictive_ewma:cyclical:0,0.0,164.88,4,0.1
1788975457.0155976,serverless_predictive_ewma:cyclical:0,0.0,164.88,4,0.1
1788975457.2178912,serverless_predictive_ewma:cyclical:0,0.0,164.88,4,0.1
1788975457.4218793,serverless_predictive_ewma:cyclical:0,0.0,164.88,4,0.1
1788975457.6236234,serverless_predictive_ewma:cyclical:0,0.0,164.88,4,0.1
1788975457.8255074,serverless_predictive_ewma:cyclical:0,10.0,164.88,4,0.1
1788975458.027338,serverless_predictive_ewma:cyclical:0,0.0,164.88,4,0.1
1788975458.2293463,serverless_predictive_ewma:cyclical:0,0.0,164.88,4,0.1
1788975458.4311564,serverless_predictive_ewma:cyclical:0,0.0,164.88,4,0.1
1788975458.6335728,serverless_predictive_ewma:cyclical:0,0.0,164.88,4,0.1
1788975458.835511,serverless_predictive_ewma:cyclical:0,0.0,164.88,4,0.1
1788975459.037673,serverless_predictive_ewma:cyclical:0,0.0,164.88,4,0.1
1788975459.2395606,serverless_predictive_ewma:cyclical:0,0.0,164.88,4,0.1
1788975459.4418352,serverless_predictive_ewma:cyclical:0,0.0,164.88,4,0.1
1788975459.643801,serverless_predictive_ewma:cyclical:0,0.0,164.88,4,0.1
1788975459.8466635,serverless_predictive_ewma:cyclical:0,0.0,164.88,4,0.1
1788975460.0485194,serverless_predictive_ewma:cyclical:0,0.0,164.88,4,0.1
1788975460.2505395,serverless_predictive_ewma:cyclical:0,0.0,164.88,4,0.1
1788975460.45235,serverless_predictive_ewma:cyclical:0,0.0,164.88,4,0.1
