policy,scenario,trial,seed,n_requests,n_ok,n_cold,startup_lead_s
serverless_predictive_ewma,cyclical,0,1564772627,75,75,14,0.1
serverless_predictive_ewma,cyclical,1,3598439793,75,75,15,0.1
serverless_predictive_ewma,cyclical,2,1631917179,75,75,13,0.1
serverless_predictive_ewma,cyclical,3,842756676,75,75,14,0.1
serverless_predictive_ewma,cyclical,4,3813025259,75,75,14,0.1
serverless_predictive_ewma,cyclical,5,963277328,75,75,14,0.1
serverless_predictive_lastgap,cyclical,0,1564772627,75,75,13,0.1
serverless_predictive_lastgap,cyclical,1,3598439793,75,75,14,0.1
serverless_predictive_lastgap,cyclical,2,1631917179,75,75,14,0.1
serverless_predictive_lastgap,cyclical,3,842756676,75,75,14,0.1
serverless_predictive_lastgap,cyclical,4,3813025259,75,75,13,0.1
serverless_predictive_lastgap,cyclical,5,963277328,75,75,14,0.1
serverless_predictive_movavg,cyclical,0,1564772627,75,75,13,0.1
serverless_predictive_movavg,cyclical,1,3598439793,75,75,15,0.1
serverless_predictive_movavg,cyclical,2,1631917179,75,75,13,0.1
serverless_predictive_movavg,cyclical,3,842756676,75,75,14,0.1
serverless_predictive_movavg,cyclical,4,3813025259,75,75,14,0.1
serverless_predictive_movavg,cyclical,5,963277328,75,75,14,0.1
serverless_predictive_fixed,cyclical,0,1564772627,75,75,12,0.1
serverless_predictive_fixed,cyclical,1,3598439793,75,75,13,0.1
serverless_predictive_fixed,cyclical,2,1631917179,75,75,12,0.1
serverless_predictive_fixed,cyclical,3,842756676,75,75,13,0.1
serverless_predictive_fixed,cyclical,4,3813025259,75,75,11,0.1
serverless_predictive_fixed,cyclical,5,963277328,75,75,13,0.1
serverless_predictive_ewma,cyclical,0,1564772627,75,75,13,0.25
serverless_predictive_ewma,cyclical,1,3598439793,75,75,15,0.25
serverless_predictive_ewma,cyclical,2,1631917179,75,75,13,0.25
serverless_predictive_ewma,cyclical,3,842756676,75,75,14,0.25
serverless_predictive_ewma,cyclical,4,3813025259,75,75,13,0.25
serverless_predictive_ewma,cyclical,5,963277328,75,75,14,0.25
serverless_predictive_lastgap,cyclical,0,1564772627,75,75,13,0.25
serverless_predictive_lastgap,cyclical,1,3598439793,75,75,14,0.25
serverless_predictive_lastgap,cyclical,2,1631917179,75,75,14,0.25
serverless_predictive_lastgap,cyclical,3,842756676,75,75,14,0.25
serverless_predictive_lastgap,cyclical,4,3813025259,75,75,13,0.25
serverless_predictive_lastgap,cyclical,5,963277328,75,75,14,0.25
serverless_predictive_movavg,cyclical,0,1564772627,75,75,13,0.25
serverless_predictive_movavg,cyclical,1,3598439793,75,75,15,0.25
serverless_predictive_movavg,cyclical,2,1631917179,75,75,13,0.25
serverless_predictive_movavg,cyclical,3,842756676,75,75,14,0.25
serverless_predictive_movavg,cyclical,4,3813025259,75,75,13,0.25
serverless_predictive_movavg,cyclical,5,963277328,75,75,14,0.25
serverless_predictive_fixed,cyclical,0,1564772627,75,75,11,0.25
serverless_predictive_fixed,cyclical,1,3598439793,75,75,12,0.25
serverless_predictive_fixed,cyclical,2,1631917179,75,75,12,0.25
serverless_predictive_fixed,cyclical,3,842756676,75,75,11,0.25
serverless_predictive_fixed,cyclical,4,3813025259,75,75,11,0.25
serverless_predictive_fixed,cyclical,5,963277328,75,75,12,0.25
serverless_predictive_ewma,cyclical,0,1564772627,75,75,12,0.5
serverless_predictive_ewma,cyclical,1,3598439793,75,75,15,0.5
serverless_predictive_ewma,cyclical,2,1631917179,75,75,12,0.5
serverless_predictive_ewma,cyclical,3,842756676,75,75,14,0.5
serverless_predictive_ewma,cyclical,4,3813025259,75,75,13,0.5
serverless_predictive_ewma,cyclical,5,963277328,75,75,14,0.5
serverless_predictive_lastgap,cyclical,0,1564772627,75,75,13,0.5
serverless_predictive_lastgap,cyclical,1,3598439793,75,75,13,0.5
serverless_predictive_lastgap,cyclical,2,1631917179,75,75,12,0.5
serverless_predictive_lastgap,cyclical,3,842756676,75,75,14,0.5
serverless_predictive_lastgap,cyclical,4,3813025259,75,75,13,0.5
serverless_predictive_lastgap,cyclical,5,963277328,75,75,14,0.5
serverless_predictive_movavg,cyclical,0,1564772627,75,75,12,0.5
serverless_predictive_movavg,cyclical,1,3598439793,75,75,13,0.5
serverless_predictive_movavg,cyclical,2,1631917179,75,75,12,0.5
serverless_predictive_movavg,cyclical,3,842756676,75,75,14,0.5
serverless_predictive_movavg,cyclical,4,3813025259,75,75,13,0.5
serverless_predictive_movavg,cyclical,5,963277328,75,75,14,0.5
serverless_predictive_fixed,cyclical,0,1564772627,75,75,11,0.5
serverless_predictive_fixed,cyclical,1,3598439793,75,75,11,0.5
serverless_predictive_fixed,cyclical,2,1631917179,75,75,11,0.5
serverless_predictive_fixed,cyclical,3,842756676,75,75,11,0.5
serverless_predictive_fixed,cyclical,4,3813025259,75,75,11,0.5
serverless_predictive_fixed,cyclical,5,963277328,75,75,11,0.5
serverless_predictive_ewma,cyclical,0,1564772627,75,75,12,1.5
serverless_predictive_ewma,cyclical,1,3598439793,75,75,12,1.5
serverless_predictive_ewma,cyclical,2,1631917179,75,75,12,1.5
serverless_predictive_ewma,cyclical,3,842756676,75,75,12,1.5
serverless_predictive_ewma,cyclical,4,3813025259,75,75,12,1.5
serverless_predictive_ewma,cyclical,5,963277328,75,75,12,1.5
serverless_predictive_lastgap,cyclical,0,1564772627,75,75,12,1.5
serverless_predictive_lastgap,cyclical,1,3598439793,75,75,12,1.5
serverless_predictive_lastgap,cyclical,2,1631917179,75,75,12,1.5
serverless_predictive_lastgap,cyclical,3,842756676,75,75,12,1.5
serverless_predictive_lastgap,cyclical,4,3813025259,75,75,12,1.5
serverless_predictive_lastgap,cyclical,5,963277328,75,75,12,1.5
serverless_predictive_movavg,cyclical,0,1564772627,75,75,12,1.5
serverless_predictive_movavg,cyclical,1,3598439793,75,75,12,1.5
serverless_predictive_movavg,cyclical,2,1631917179,75,75,12,1.5
serverless_predictive_movavg,cyclical,3,842756676,75,75,12,1.5
serverless_predictive_movavg,cyclical,4,3813025259,75,75,12,1.5
serverless_predictive_movavg,cyclical,5,963277328,75,75,12,1.5
serverless_predictive_fixed,cyclical,0,1564772627,75,75,11,1.5
serverless_predictive_fixed,cyclical,1,3598439793,75,75,11,1.5
serverless_predictive_fixed,cyclical,2,1631917179,75,75,11,1.5
serverless_predictive_fixed,cyclical,3,842756676,75,75,11,1.5
serverless_predictive_fixed,cyclical,4,3813025259,75,75,11,1.5
serverless_predictive_fixed,cyclical,5,963277328,75,75,11,1.5
