policy,scenario,trial,cold_starts,predictive_cold_starts,reactive_cold_starts,warm_hits,wasted_prewarms,spawn_failures,gap_observations,pool_size,predicted_gap_s,predictor,predictive,run_label
container,bimodal,0,,,,,,,,,,,,container
container,bimodal,1,,,,,,,,,,,,container
container,bimodal,2,,,,,,,,,,,,container
container,bimodal,3,,,,,,,,,,,,container
container,bimodal,4,,,,,,,,,,,,container
container,bimodal,5,,,,,,,,,,,,container
container,bimodal,6,,,,,,,,,,,,container
container,bimodal,7,,,,,,,,,,,,container
container,bimodal,8,,,,,,,,,,,,container
container,bimodal,9,,,,,,,,,,,,container
container,bimodal,10,,,,,,,,,,,,container
container,bimodal,11,,,,,,,,,,,,container
container,bimodal,12,,,,,,,,,,,,container
container,bimodal,13,,,,,,,,,,,,container
container,bimodal,14,,,,,,,,,,,,container
serverless_reactive,bimodal,0,6,0,6,69,0,0,4,3,6.093121839523315,ewma,False,serverless_reactive
serverless_reactive,bimodal,1,9,0,9,66,0,0,4,3,8.007990293502807,ewma,False,serverless_reactive
serverless_reactive,bimodal,2,15,0,15,60,0,0,4,3,14.036303962707517,ewma,False,serverless_reactive
serverless_reactive,bimodal,3,12,0,12,63,0,0,4,3,9.049416320800782,ewma,False,serverless_reactive
serverless_reactive,bimodal,4,9,0,9,66,0,0,4,3,8.174765911102295,ewma,False,serverless_reactive
serverless_reactive,bimodal,5,3,0,3,72,0,0,4,3,4.944484409332276,ewma,False,serverless_reactive
serverless_reactive,bimodal,6,6,0,6,69,0,0,4,3,6.117174583435059,ewma,False,serverless_reactive
serverless_reactive,bimodal,7,9,0,9,66,0,0,4,3,6.408999853134156,ewma,False,serverless_reactive
serverless_reactive,bimodal,8,9,0,9,66,0,0,4,3,11.197045169830321,ewma,False,serverless_reactive
serverless_reactive,bimodal,9,9,0,9,66,0,0,4,3,10.833583896636963,ewma,False,serverless_reactive
serverless_reactive,bimodal,10,6,0,6,69,0,0,4,3,5.216507761001587,ewma,False,serverless_reactive
serverless_reactive,bimodal,11,6,0,6,69,0,0,4,3,7.096083290100097,ewma,False,serverless_reactive
serverless_reactive,bimodal,12,9,0,9,66,0,0,4,3,10.11089492416382,ewma,False,serverless_reactive
serverless_reactive,bimodal,13,9,0,9,66,0,0,4,3,8.109644247055055,ewma,False,serverless_reactive
serverless_reactive,bimodal,14,6,0,6,69,0,0,4,3,6.069615074157714,ewma,False,serverless_reactive
serverless_reactive,bimodal,0,6,0,6,69,0,0,4,3,6.099746767044067,ewma,False,serverless_keepalive10
serverless_reactive,bimodal,1,9,0,9,66,0,0,4,3,8.006031496047974,ewma,False,serverless_keepalive10
serverless_reactive,bimodal,2,15,0,15,60,0,0,4,3,14.038399293899534,ewma,False,serverless_keepalive10
serverless_reactive,bimodal,3,9,0,9,66,0,0,4,3,8.949012693405152,ewma,False,serverless_keepalive10
serverless_reactive,bimodal,4,9,0,9,66,0,0,4,3,8.182625970840453,ewma,False,serverless_keepalive10
serverless_reactive,bimodal,5,3,0,3,72,0,0,4,3,4.938768262863159,ewma,False,serverless_keepalive10
serverless_reactive,bimodal,6,6,0,6,69,0,0,4,3,6.121494611740113,ewma,False,serverless_keepalive10
