t,label,cpu_pct_sum,rss_mb_sum,n_procs,run_label
1788969793.6534927,container:bimodal:0,0.0,163.93,4,container
1788969793.8552809,container:bimodal:0,0.0,163.93,4,container
1788969794.057021,container:bimodal:0,10.0,163.93,4,container
1788969794.2586792,container:bimodal:0,0.0,163.93,4,container
1788969794.4606547,container:bimodal:0,0.0,163.93,4,container
1788969794.6627555,container:bimodal:0,0.0,163.93,4,container
1788969794.8646204,container:bimodal:0,0.0,163.93,4,container
1788969795.0665128,container:bimodal:0,0.0,163.93,4,container
1788969795.2682462,container:bimodal:0,0.0,163.93,4,container
1788969795.470186,container:bimodal:0,0.0,163.93,4,container
1788969795.6745234,container:bimodal:0,0.0,163.93,4,container
1788969795.8763354,container:bimodal:0,0.0,163.93,4,container
1788969796.0783277,container:bimodal:0,0.0,163.93,4,container
1788969796.2800407,container:bimodal:0,0.0,163.93,4,container
1788969796.4817502,container:bimodal:0,5.0,163.93,4,container
1788969796.6835222,container:bimodal:0,0.0,163.93,4,container
1788969796.8855634,container:bimodal:0,0.0,163.93,4,container
1788969797.0872595,container:bimodal:0,0.0,163.93,4,container
1788969797.288935,container:bimodal:0,0.0,163.93,4,container
1788969797.4906378,container:bimodal:0,0.0,163.93,4,container
1788969797.6926177,container:bimodal:0,0.0,163.93,4,container
1788969797.894376,container:bimodal:0,0.0,163.93,4,container
1788969798.0964017,container:bimodal:0,19.7,164.37,4,container
1788969798.2981157,container:bimodal:0,0.0,164.37,4,container
1788969798.5000377,container:bimodal:0,0.0,164.37,4,container
1788969798.7019126,container:bimodal:0,0.0,164.37,4,container
1788969798.9035368,container:bimodal:0,0.0,164.37,4,container
1788969799.1054487,container:bimodal:0,0.0,164.37,4,container
1788969799.3070478,container:bimodal:0,0.0,164.37,4,container
1788969799.5086803,container:bimodal:0,0.0,164.37,4,container
1788969799.710414,container:bimodal:0,0.0,164.37,4,container
1788969799.9123049,container:bimodal:0,0.0,164.37,4,container
1788969800.1140327,container:bimodal:0,0.0,164.37,4,container
1788969800.3156776,container:bimodal:0,0.0,164.37,4,container
1788969800.5174642,container:bimodal:0,5.0,164.37,4,container
1788969800.7191422,container:bimodal:0,0.0,164.37,4,container
1788969800.9209776,container:bimodal:0,0.0,164.37,4,container
1788969801.1226783,container:bimodal:0,0.0,164.37,4,container
1788969801.3243203,container:bimodal:0,0.0,164.37,4,container
1788969801.5261824,container:bimodal:0,0.0,164.37,4,container
1788969801.7279592,container:bimodal:0,5.0,164.37,4,container
1788969801.9298978,container:bimodal:0,0.0,164.37,4,container
1788969802.1315448,container:bimodal:0,0.0,164.37,4,container
1788969802.333297,container:bimodal:0,5.0,164.37,4,container
1788969802.5349996,container:bimodal:0,0.0,164.37,4,container
1788969802.738321,container:bimodal:0,0.0,164.43,4,container
1788969802.9399981,container:bimodal:0,0.0,164.43,4,container
1788969803.141904,container:bimodal:0,0.0,164.43,4,container
1788969803.343857,container:bimodal:0,0.0,164.43,4,container
1788969803.5456507,container:bimodal:0,0.0,164.43,4,container
1788969803.7474992,container:bimodal:0,0.0,164.43,4,container
1788969803.9494836,container:bimodal:0,0.0,164.43,4,container
1788969804.1512299,container:bimodal:0,0.0,164.43,4,container
1788969804.3529716,container:bimodal:0,5.0,164.43,4,container
1788969804.5557253,container:bimodal:0,0.0,164.43,4,container
1788969804.75817,container:bimodal:0,0.0,164.43,4,container
1788969804.9599032,container:bimodal:0,0.0,164.43,4,container
1788969805.1621532,container:bimodal:0,4.9,164.43,4,container
1788969805.3638914,container:bimodal:0,0.0,164.43,4,container
1788969805.5658488,container:bimodal:0,5.0,164.43,4,container
1788969805.7675817,container:bimodal:0,0.0,164.43,4,container
1788969805.9693758,container:bimodal:0,0.0,164.43,4,container
1788969806.1711035,container:bimodal:0,0.0,164.43,4,container
1788969806.3728998,container:bimodal:0,0.0,164.43,4,container
1788969806.574737,container:bimodal:0,0.0,164.43,4,container
1788969806.7766542,container:bimodal:0,0.0,164.43,4,container
1788969806.9787092,container:bimodal:0,0.0,164.43,4,container
1788969807.180532,container:bimodal:0,0.0,164.43,4,container
1788969807.3825595,container:bimodal:0,0.0,164.43,4,container
1788969807.5846474,container:bimodal:0,4.9,164.44,4,container
1788969807.7865994,container:bimodal:0,0.0,164.44,4,container
1788969807.9883704,container:bimodal:0,0.0,164.44,4,container
1788969808.190409,container:bimodal:0,0.0,164.44,4,container
1788969808.3923564,container:bimodal:0,0.0,164.44,4,container
1788969808.5948584,container:bimodal:0,0.0,164.44,4,container
1788969808.7967987,container:bimodal:0,0.0,164.44,4,container
1788969808.9994824,container:bimodal:0,0.0,164.44,4,container
1788969809.2015386,container:bimodal:0,0.0,164.44,4,container
1788969809.4036157,container:bimodal:0,0.0,164.44,4,container
1788969809.6056886,container:bimodal:0,0.0,164.44,4,container
1788969809.8075957,container:bimodal:0,10.0,164.44,4,container
1788969810.0097091,container:bimodal:0,4.9,164.44,4,container
1788969810.2115555,container:bimodal:0,0.0,164.44,4,container
1788969810.4133425,container:bimodal:0,0.0,164.44,4,container
1788969810.614991,container:bimodal:0,0.0,164.44,4,container
1788969810.8166747,container:bimodal:0,0.0,164.44,4,container
1788969811.01836,container:bimodal:0,0.0,164.44,4,container
1788969811.220079,container:bimodal:0,0.0,164.44,4,container
1788969811.4219027,container:bimodal:0,0.0,164.44,4,container
1788969811.6238,container:bimodal:0,0.0,164.44,4,container
1788969811.8257403,container:bimodal:0,0.0,164.44,4,container
1788969812.0273943,container:bimodal:0,0.0,164.44,4,container
1788969812.2292097,container:bimodal:0,0.0,164.44,4,container
1788969812.430918,container:bimodal:0,0.0,164.44,4,container
1788969812.632633,container:bimodal:0,0.0,164.44,4,container
1788969812.8348475,container:bimodal:0,0.0,164.44,4,container
1788969813.0366783,container:bimodal:0,0.0,164.44,4,container
1788969813.2384148,container:bimodal:0,0.0,164.44,4,container
1788969813.4400377,container:bimodal:0,0.0,164.44,4,container
1788969813.6418352,container:bimodal:0,0.0,164.44,4,container
1788969813.84351,container:bimodal:0,0.0,164.44,4,container
1788969814.0453997,container:bimodal:0,0.0,164.44,4,container
1788969814.2471797,container:bimodal:0,0.0,164.44,4,container
1788969814.4490786,container:bimodal:0,5.0,164.44,4,container
1788969814.650869,container:bimodal:0,0.0,164.44,4,container
1788969814.852662,container:bimodal:0,5.0,164.44,4,container
1788969815.0544972,container:bimodal:0,0.0,164.44,4,container
1788969815.2561634,container:bimodal:0,5.0,164.44,4,container
1788969815.4581547,container:bimodal:0,0.0,164.44,4,container
1788969815.6599047,container:bimodal:0,0.0,164.44,4,container
1788969815.8617785,container:bimodal:0,0.0,164.44,4,container
1788969816.064189,container:bimodal:0,0.0,164.44,4,container
1788969816.2660992,container:bimodal:0,0.0,164.44,4,container
1788969816.467806,container:bimodal:0,0.0,164.44,4,container
1788969816.669626,container:bimodal:0,0.0,164.44,4,container
1788969816.8712804,container:bimodal:0,0.0,164.44,4,container
1788969817.0729578,container:bimodal:0,0.0,164.44,4,container
1788969817.274816,container:bimodal:0,0.0,164.44,4,container
1788969817.4764926,container:bimodal:0,0.0,164.44,4,container
1788969817.6788983,container:bimodal:0,0.0,164.44,4,container
1788969817.880659,container:bimodal:0,0.0,164.44,4,container
1788969818.0828063,container:bimodal:0,9.8,164.48,4,container
1788969818.2847407,container:bimodal:0,5.0,164.48,4,container
1788969818.4867005,container:bimodal:0,5.0,164.48,4,container
1788969818.6883237,container:bimodal:0,0.0,164.48,4,container
1788969818.890117,container:bimodal:0,0.0,164.48,4,container
1788969819.0917783,container:bimodal:0,0.0,164.48,4,container
1788969819.2936692,container:bimodal:0,0.0,164.48,4,container
1788969819.4954066,container:bimodal:0,0.0,164.48,4,container
1788969819.6972413,container:bimodal:0,0.0,164.48,4,container
1788969819.8989735,container:bimodal:0,0.0,164.48,4,container
1788969820.10092,container:bimodal:0,0.0,164.48,4,container
1788969820.302634,container:bimodal:0,0.0,164.48,4,container
1788969820.5042922,container:bimodal:0,0.0,164.48,4,container
1788969820.7060592,container:bimodal:0,0.0,164.48,4,container
1788969820.9077508,container:bimodal:0,0.0,164.48,4,container
1788969821.110023,container:bimodal:0,0.0,164.48,4,container
1788969821.3117,container:bimodal:0,0.0,164.48,4,container
1788969821.5135808,container:bimodal:0,0.0,164.48,4,container
1788969821.71532,container:bimodal:0,0.0,164.48,4,container
1788969821.9170225,container:bimodal:0,0.0,164.48,4,container
1788969822.1187556,container:bimodal:0,0.0,164.48,4,container
1788969822.320406,container:bimodal:0,0.0,164.48,4,container
1788969822.5221403,container:bimodal:0,20.0,164.5,4,container
1788969822.7238328,container:bimodal:0,0.0,164.5,4,container
1788969822.925752,container:bimodal:0,0.0,164.5,4,container
1788969823.1275237,container:bimodal:0,0.0,164.5,4,container
1788969823.3292959,container:bimodal:0,0.0,164.5,4,container
1788969823.531005,container:bimodal:0,0.0,164.5,4,container
1788969823.7326512,container:bimodal:0,0.0,164.5,4,container
1788969823.934496,container:bimodal:0,0.0,164.5,4,container
1788969824.136141,container:bimodal:0,0.0,164.5,4,container
1788969824.3379276,container:bimodal:0,0.0,164.5,4,container
1788969824.5405266,container:bimodal:0,0.0,164.5,4,container
1788969824.7423983,container:bimodal:0,0.0,164.5,4,container
1788969824.9444005,container:bimodal:0,0.0,164.5,4,container
1788969825.146481,container:bimodal:0,0.0,164.5,4,container
1788969825.3482342,container:bimodal:0,0.0,164.5,4,container
1788969825.5500414,container:bimodal:0,0.0,164.5,4,container
1788969825.7517343,container:bimodal:0,0.0,164.5,4,container
1788969825.9537616,container:bimodal:0,0.0,164.5,4,container
1788969826.155613,container:bimodal:0,0.0,164.5,4,container
1788969827.622516,container:bimodal:1,0.0,163.91,4,container
1788969827.8246973,container:bimodal:1,0.0,163.91,4,container
1788969828.0269094,container:bimodal:1,0.0,163.91,4,container
1788969828.2286675,container:bimodal:1,0.0,163.91,4,container
1788969828.4303625,container:bimodal:1,0.0,163.91,4,container
1788969828.632294,container:bimodal:1,0.0,163.91,4,container
1788969828.8346238,container:bimodal:1,4.9,163.91,4,container
1788969829.036918,container:bimodal:1,0.0,163.91,4,container
1788969829.238688,container:bimodal:1,0.0,163.91,4,container
1788969829.4407532,container:bimodal:1,0.0,163.91,4,container
1788969829.6428251,container:bimodal:1,4.9,163.91,4,container
1788969829.8446,container:bimodal:1,0.0,163.91,4,container
1788969830.0464926,container:bimodal:1,0.0,163.91,4,container
1788969830.2481673,container:bimodal:1,0.0,163.91,4,container
1788969830.4508204,container:bimodal:1,0.0,163.91,4,container
1788969830.6526184,container:bimodal:1,0.0,163.91,4,container
1788969830.8544545,container:bimodal:1,0.0,163.91,4,container
1788969831.0562947,container:bimodal:1,0.0,163.91,4,container
1788969831.2581253,container:bimodal:1,0.0,163.91,4,container
1788969831.4598684,container:bimodal:1,0.0,163.91,4,container
1788969831.6617439,container:bimodal:1,0.0,163.91,4,container
1788969831.8634813,container:bimodal:1,0.0,163.91,4,container
1788969832.0653305,container:bimodal:1,0.0,163.91,4,container
1788969832.267666,container:bimodal:1,0.0,163.91,4,container
1788969832.470142,container:bimodal:1,0.0,163.91,4,container
1788969832.6719906,container:bimodal:1,0.0,163.91,4,container
1788969832.873969,container:bimodal:1,0.0,163.91,4,container
1788969833.0769963,container:bimodal:1,0.0,163.91,4,container
1788969833.278904,container:bimodal:1,5.0,163.91,4,container
1788969833.4808686,container:bimodal:1,0.0,163.91,4,container
1788969833.6828194,container:bimodal:1,5.0,163.91,4,container
1788969833.8850079,container:bimodal:1,0.0,163.91,4,container
1788969834.086925,container:bimodal:1,0.0,163.91,4,container
1788969834.2888036,container:bimodal:1,0.0,163.91,4,container
1788969834.4907808,container:bimodal:1,0.0,163.91,4,container
1788969834.6926181,container:bimodal:1,5.0,163.91,4,container
1788969834.8945236,container:bimodal:1,5.0,163.91,4,container
1788969835.096455,container:bimodal:1,0.0,163.91,4,container
1788969835.2991636,container:bimodal:1,0.0,163.91,4,container
1788969835.5012856,container:bimodal:1,0.0,163.91,4,container
1788969835.7031834,container:bimodal:1,0.0,163.91,4,container
1788969835.905077,container:bimodal:1,0.0,163.91,4,container
1788969836.106967,container:bimodal:1,0.0,163.91,4,container
1788969836.3089077,container:bimodal:1,0.0,163.91,4,container
1788969836.5107317,container:bimodal:1,0.0,163.91,4,container
1788969836.7126381,container:bimodal:1,0.0,163.91,4,container
1788969836.914692,container:bimodal:1,0.0,163.91,4,container
1788969837.1168032,container:bimodal:1,0.0,163.91,4,container
1788969837.3187082,container:bimodal:1,0.0,163.91,4,container
1788969837.5206242,container:bimodal:1,0.0,163.91,4,container
1788969837.7226694,container:bimodal:1,0.0,163.91,4,container
1788969837.9245913,container:bimodal:1,0.0,163.91,4,container
1788969838.126526,container:bimodal:1,0.0,163.91,4,container
1788969838.3287346,container:bimodal:1,4.9,163.91,4,container
1788969838.5306797,container:bimodal:1,0.0,163.91,4,container
1788969838.7326825,container:bimodal:1,0.0,163.91,4,container
1788969838.934615,container:bimodal:1,0.0,163.91,4,container
1788969839.136553,container:bimodal:1,5.0,163.91,4,container
1788969839.338592,container:bimodal:1,0.0,163.91,4,container
1788969839.5405385,container:bimodal:1,5.0,163.91,4,container
1788969839.742567,container:bimodal:1,0.0,163.91,4,container
1788969839.9444337,container:bimodal:1,0.0,163.91,4,container
1788969840.1468298,container:bimodal:1,0.0,163.91,4,container
1788969840.3488793,container:bimodal:1,0.0,163.91,4,container
1788969840.55071,container:bimodal:1,0.0,163.91,4,container
1788969840.7525227,container:bimodal:1,0.0,163.91,4,container
1788969840.9547355,container:bimodal:1,0.0,163.91,4,container
1788969841.1566179,container:bimodal:1,0.0,163.91,4,container
1788969841.3586342,container:bimodal:1,0.0,163.91,4,container
1788969841.561336,container:bimodal:1,0.0,163.91,4,container
1788969841.7631388,container:bimodal:1,0.0,163.91,4,container
1788969841.9654968,container:bimodal:1,19.6,164.31,4,container
1788969842.1673918,container:bimodal:1,0.0,164.31,4,container
1788969842.3693175,container:bimodal:1,0.0,164.31,4,container
1788969842.5712702,container:bimodal:1,0.0,164.31,4,container
1788969842.7730517,container:bimodal:1,0.0,164.31,4,container
1788969842.9748752,container:bimodal:1,0.0,164.31,4,container
1788969843.1769297,container:bimodal:1,0.0,164.31,4,container
1788969843.378884,container:bimodal:1,0.0,164.31,4,container
1788969843.5808148,container:bimodal:1,0.0,164.31,4,container
1788969843.7833443,container:bimodal:1,0.0,164.31,4,container
1788969843.9854305,container:bimodal:1,0.0,164.31,4,container
1788969844.187386,container:bimodal:1,0.0,164.31,4,container
1788969844.389274,container:bimodal:1,0.0,164.31,4,container
1788969844.59133,container:bimodal:1,0.0,164.31,4,container
1788969844.79327,container:bimodal:1,0.0,164.31,4,container
1788969844.995058,container:bimodal:1,0.0,164.31,4,container
1788969845.19689,container:bimodal:1,0.0,164.31,4,container
1788969845.3988385,container:bimodal:1,0.0,164.31,4,container
1788969845.6007318,container:bimodal:1,0.0,164.31,4,container
1788969845.8026693,container:bimodal:1,0.0,164.31,4,container
1788969846.0045562,container:bimodal:1,0.0,164.31,4,container
1788969846.2065923,container:bimodal:1,0.0,164.31,4,container
1788969846.4084785,container:bimodal:1,0.0,164.31,4,container
1788969846.6105056,container:bimodal:1,5.0,164.31,4,container
1788969846.8124595,container:bimodal:1,10.0,164.31,4,container
1788969847.0144079,container:bimodal:1,0.0,164.31,4,container
1788969847.2162142,container:bimodal:1,0.0,164.31,4,container
1788969847.41823,container:bimodal:1,0.0,164.31,4,container
1788969847.621319,container:bimodal:1,0.0,164.31,4,container
