policy,scenario,trial,seed,n_requests,n_ok,n_cold,run_label
container,bimodal,0,3124196139,75,75,0,container
container,bimodal,1,70863820,75,75,0,container
container,bimodal,2,648489032,75,75,0,container
container,bimodal,3,935813934,75,75,0,container
container,bimodal,4,1355708746,75,75,0,container
container,bimodal,5,648439813,75,75,0,container
container,bimodal,6,915453088,75,75,0,container
container,bimodal,7,1253379999,75,75,0,container
container,bimodal,8,2567584669,75,75,0,container
container,bimodal,9,2392559071,75,75,0,container
container,bimodal,10,3002655295,75,75,0,container
container,bimodal,11,1996690401,75,75,0,container
container,bimodal,12,3580312827,75,75,0,container
container,bimodal,13,3418361201,75,75,0,container
container,bimodal,14,1313658406,75,75,0,container
serverless_reactive,bimodal,0,3124196139,75,75,6,serverless_reactive
serverless_reactive,bimodal,1,70863820,75,75,9,serverless_reactive
serverless_reactive,bimodal,2,648489032,75,75,15,serverless_reactive
serverless_reactive,bimodal,3,935813934,75,75,12,serverless_reactive
serverless_reactive,bimodal,4,1355708746,75,75,9,serverless_reactive
serverless_reactive,bimodal,5,648439813,75,75,3,serverless_reactive
serverless_reactive,bimodal,6,915453088,75,75,6,serverless_reactive
serverless_reactive,bimodal,7,1253379999,75,75,9,serverless_reactive
serverless_reactive,bimodal,8,2567584669,75,75,9,serverless_reactive
serverless_reactive,bimodal,9,2392559071,75,75,9,serverless_reactive
serverless_reactive,bimodal,10,3002655295,75,75,6,serverless_reactive
serverless_reactive,bimodal,11,1996690401,75,75,6,serverless_reactive
serverless_reactive,bimodal,12,3580312827,75,75,9,serverless_reactive
serverless_reactive,bimodal,13,3418361201,75,75,9,serverless_reactive
serverless_reactive,bimodal,14,1313658406,75,75,6,serverless_reactive
serverless_reactive,bimodal,0,3124196139,75,75,6,serverless_keepalive10
serverless_reactive,bimodal,1,70863820,75,75,9,serverless_keepalive10
serverless_reactive,bimodal,2,648489032,75,75,15,serverless_keepalive10
serverless_reactive,bimodal,3,935813934,75,75,9,serverless_keepalive10
serverless_reactive,bimodal,4,1355708746,75,75,9,serverless_keepalive10
serverless_reactive,bimodal,5,648439813,75,75,3,serverless_keepalive10
serverless_reactive,bimodal,6,915453088,75,75,6,serverless_keepalive10
serverless_reactive,bimodal,7,1253379999,75,75,9,serverless_keepalive10
serverless_reactive,bimodal,8,2567584669,75,75,9,serverless_keepalive10
serverless_reactive,bimodal,9,2392559071,75,75,9,serverless_keepalive10
serverless_reactive,bimodal,10,3002655295,75,75,6,serverless_keepalive10
serverless_reactive,bimodal,11,1996690401,75,75,6,serverless_keepalive10
serverless_reactive,bimodal,12,3580312827,75,75,9,serverless_keepalive10
serverless_reactive,bimodal,13,3418361201,75,75,9,serverless_keepalive10
serverless_reactive,bimodal,14,1313658406,75,75,6,serverless_keepalive10
serverless_predictive_ewma,bimodal,0,3124196139,75,75,5,serverless_predictive_ewma
serverless_predictive_ewma,bimodal,1,70863820,75,75,8,serverless_predictive_ewma
serverless_predictive_ewma,bimodal,2,648489032,75,75,13,serverless_predictive_ewma
serverless_predictive_ewma,bimodal,3,935813934,75,75,10,serverless_predictive_ewma
serverless_predictive_ewma,bimodal,4,1355708746,75,75,8,serverless_predictive_ewma
serverless_predictive_ewma,bimodal,5,648439813,75,75,3,serverless_predictive_ewma
serverless_predictive_ewma,bimodal,6,915453088,75,75,6,serverless_predictive_ewma
serverless_predictive_ewma,bimodal,7,1253379999,75,75,7,serverless_predictive_ewma
serverless_predictive_ewma,bimodal,8,2567584669,75,75,7,serverless_predictive_ewma
serverless_predictive_ewma,bimodal,9,2392559071,75,75,7,serverless_predictive_ewma
serverless_predictive_ewma,bimodal,10,3002655295,75,75,5,serverless_predictive_ewma
serverless_predictive_ewma,bimodal,11,1996690401,75,75,5,serverless_predictive_ewma
serverless_predictive_ewma,bimodal,12,3580312827,75,75,8,serverless_predictive_ewma
serverless_predictive_ewma,bimodal,13,3418361201,75,75,7,serverless_predictive_ewma
serverless_predictive_ewma,bimodal,14,1313658406,75,75,6,serverless_predictive_ewma
serverless_predictive_lastgap,bimodal,0,3124196139,75,75,5,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,1,70863820,75,75,8,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,2,648489032,75,75,13,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,3,935813934,75,75,10,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,4,1355708746,75,75,8,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,5,648439813,75,75,3,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,6,915453088,75,75,6,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,7,1253379999,75,75,7,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,8,2567584669,75,75,7,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,9,2392559071,75,75,7,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,10,3002655295,75,75,5,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,11,1996690401,75,75,5,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,12,3580312827,75,75,8,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,13,3418361201,75,75,7,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,14,1313658406,75,75,6,serverless_predictive_lastgap
serverless_predictive_movavg,bimodal,0,3124196139,75,75,5,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,1,70863820,75,75,8,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,2,648489032,75,75,13,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,3,935813934,75,75,10,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,4,1355708746,75,75,8,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,5,648439813,75,75,3,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,6,915453088,75,75,6,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,7,1253379999,75,75,7,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,8,2567584669,75,75,8,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,9,2392559071,75,75,7,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,10,3002655295,75,75,5,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,11,1996690401,75,75,5,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,12,3580312827,75,75,8,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,13,3418361201,75,75,7,serverless_predictive_movavg
