t,request_id,cycle_id,latency_ms,queue_ms,cold_ms,service_ms,status,cold,ok,err
1788432959.5210683,1,-1,3.532794999955513,0.0,0.0,2.647,200,0,True,
1788432959.7215178,2,-1,4.891463999911139,0.0,0.0,2.624,200,0,True,
1788432959.9119778,3,-1,3.9458720000311587,0.0,0.0,2.712,200,0,True,
1788432960.0942822,4,-1,3.2543119998535985,0.0,0.0,1.88,200,0,True,
1788432960.2703853,5,-1,3.0608970000685076,0.0,0.0,1.748,200,0,True,
1788432960.4395573,6,-1,3.1101979998311435,0.0,0.0,1.931,200,0,True,
1788432960.603298,7,-1,3.583194000157164,0.0,0.0,2.142,200,0,True,
1788432960.760569,8,-1,3.1533210001271073,0.0,0.0,1.958,200,0,True,
1788432960.9140205,9,-1,3.0043070000829175,0.0,0.0,1.825,200,0,True,
1788432961.0630352,10,-1,2.8886400000374124,0.0,0.0,1.636,200,0,True,
1788432961.2089987,11,-1,2.878887999941071,0.0,0.0,1.737,200,0,True,
1788432961.349793,12,-1,2.7548669997941033,0.0,0.0,1.682,200,0,True,
1788432961.4882147,13,-1,2.9466999999385735,0.0,0.0,1.734,200,0,True,
1788432961.6229978,14,-1,2.81260600013411,0.0,0.0,1.616,200,0,True,
1788432961.7545476,15,-1,2.827704999845082,0.0,0.0,1.627,200,0,True,
1788432961.8838553,16,-1,2.825077999887071,0.0,0.0,1.716,200,0,True,
1788432962.0110192,17,-1,2.930987000127061,0.0,0.0,1.7,200,0,True,
1788432962.135298,18,-1,2.7287329999126086,0.0,0.0,1.65,200,0,True,
1788432962.258736,19,-1,3.339120999953593,0.0,0.0,2.075,200,0,True,
1788432962.3781488,20,-1,3.6577379999016557,0.0,0.0,2.34,200,0,True,
1788432962.4954183,21,-1,3.7057739998545003,0.0,0.0,2.346,200,0,True,
1788432962.610755,22,-1,3.5743100002036954,0.0,0.0,2.292,200,0,True,
1788432962.7246723,23,-1,3.4469969998554006,0.0,0.0,2.15,200,0,True,
1788432962.8387842,24,-1,4.210177999993903,0.0,0.0,2.766,200,0,True,
1788432962.949269,25,-1,3.8884119999238465,0.0,0.0,2.364,200,0,True,
1788432963.0580888,26,-1,3.636818999893876,0.0,0.0,2.308,200,0,True,
1788432963.1661127,27,-1,3.5460170001897495,0.0,0.0,2.376,200,0,True,
1788432963.2716007,28,-1,3.0437729999448493,0.0,0.0,1.883,200,0,True,
1788432963.3760252,29,-1,3.254115000117963,0.0,0.0,1.973,200,0,True,
1788432963.4790769,30,-1,3.5275459999866143,0.0,0.0,2.112,200,0,True,
1788432963.5797584,31,-1,3.0490760000247974,0.0,0.0,1.892,200,0,True,
1788432963.6802182,32,-1,3.0264479999004834,0.0,0.0,1.752,200,0,True,
1788432963.7786229,33,-1,2.5413200000912184,0.0,0.0,1.507,200,0,True,
1788432963.876808,34,-1,2.7446439999039285,0.0,0.0,1.603,200,0,True,
1788432963.9727738,35,-1,2.5879319998693973,0.0,0.0,1.595,200,0,True,
1788432964.0691803,36,-1,3.6305030000676197,0.0,0.0,2.322,200,0,True,
1788432964.1629846,37,-1,2.6357869999174,0.0,0.0,1.529,200,0,True,
1788432964.2571568,38,-1,3.1662270000651915,0.0,0.0,1.963,200,0,True,
1788432964.349351,39,-1,2.770539999801258,0.0,0.0,1.638,200,0,True,
1788432964.4411027,40,-1,2.73040599995511,0.0,0.0,1.635,200,0,True,
1788432964.5321977,41,-1,2.7136359999531123,0.0,0.0,1.573,200,0,True,
1788432964.6226935,42,-1,2.559620999818435,0.0,0.0,1.419,200,0,True,
1788432964.7120135,43,-1,2.8240809999715566,0.0,0.0,1.651,200,0,True,
1788432964.8000886,44,-1,2.9287320001003536,0.0,0.0,1.61,200,0,True,
1788432964.8870757,45,-1,2.546006000102352,0.0,0.0,1.505,200,0,True,
1788432964.9735806,46,-1,3.1145939999532857,0.0,0.0,1.91,200,0,True,
1788432965.0583541,47,-1,2.7480539999942266,0.0,0.0,1.521,200,0,True,
1788432965.1435504,48,-1,2.7817670002150408,0.0,0.0,1.51,200,0,True,
1788432965.2271926,49,-1,2.657736000173827,0.0,0.0,1.519,200,0,True,
1788432965.3103452,50,-1,2.698190000046452,0.0,0.0,1.496,200,0,True,
1788432965.3932056,51,-1,3.4679539999160625,0.0,0.0,2.391,200,0,True,
1788432965.4748461,52,-1,3.190264000068055,0.0,0.0,1.95,200,0,True,
1788432965.5567234,53,-1,3.3781859999635344,0.0,0.0,2.115,200,0,True,
1788432965.637253,54,-1,3.1354169998394354,0.0,0.0,1.889,200,0,True,
1788432965.717147,55,-1,3.3285350000369363,0.0,0.0,1.868,200,0,True,
1788432965.7960727,56,-1,2.546035000023039,0.0,0.0,1.471,200,0,True,
1788432965.8748004,57,-1,2.9610059998503857,0.0,0.0,1.627,200,0,True,
1788432965.9534755,58,-1,3.250661000038235,0.0,0.0,1.887,200,0,True,
1788432966.0302343,59,-1,2.7882669999144127,0.0,0.0,1.655,200,0,True,
1788432966.108041,60,-1,3.3484570001292013,0.0,0.0,2.018,200,0,True,
1788432966.184065,61,-1,2.675672000123086,0.0,0.0,1.553,200,0,True,
1788432966.2601528,62,-1,2.6275640000221756,0.0,0.0,1.473,200,0,True,
1788432966.3369772,63,-1,3.3951569998862396,0.0,0.0,2.005,200,0,True,
1788432966.4108968,64,-1,2.9739210001480387,0.0,0.0,1.773,200,0,True,
1788432966.4862366,65,-1,2.8810630001316895,0.0,0.0,1.658,200,0,True,
1788432966.5614388,66,-1,2.8103060001285485,0.0,0.0,1.656,200,0,True,
1788432966.6349173,67,-1,2.553765999891766,0.0,0.0,1.485,200,0,True,
1788432966.7078874,68,-1,2.555800999971325,0.0,0.0,1.493,200,0,True,
1788432966.7800806,69,-1,2.766537000070457,0.0,0.0,1.502,200,0,True,
1788432966.852039,70,-1,2.7283960000659135,0.0,0.0,1.546,200,0,True,
1788432966.9232414,71,-1,2.74842599992553,0.0,0.0,1.622,200,0,True,
1788432966.9943626,72,-1,2.7726389998861123,0.0,0.0,1.588,200,0,True,
1788432967.065021,73,-1,2.7562949999264674,0.0,0.0,1.575,200,0,True,
1788432967.1360629,74,-1,2.632758999880025,0.0,0.0,1.512,200,0,True,
1788432967.2069442,75,-1,2.4698830000033922,0.0,0.0,1.392,200,0,True,
1788432967.2764332,76,-1,2.620183999852088,0.0,0.0,1.5,200,0,True,
1788432967.3458104,77,-1,2.9368749999321153,0.0,0.0,1.761,200,0,True,
1788432967.439244,78,-1,3.038871000171639,0.0,0.0,1.789,200,0,True,
1788432967.5054986,79,-1,2.882257999999638,0.0,0.0,1.684,200,0,True,
1788432967.5727246,80,-1,2.802445000043008,0.0,0.0,1.641,200,0,True,
1788432967.6412327,81,-1,2.778503999934401,0.0,0.0,1.716,200,0,True,
1788432967.7082078,82,-1,2.621576999899844,0.0,0.0,1.518,200,0,True,
1788432967.7743342,83,-1,2.7713670001503488,0.0,0.0,1.606,200,0,True,
1788432967.8409677,84,-1,3.2348899999306013,0.0,0.0,2.07,200,0,True,
1788432967.9061346,85,-1,2.7564659999370633,0.0,0.0,1.598,200,0,True,
1788432967.9715197,86,-1,2.900390999911906,0.0,0.0,1.663,200,0,True,
1788432968.0366743,87,-1,2.7362450000509853,0.0,0.0,1.542,200,0,True,
1788432968.1010115,88,-1,2.611390000083702,0.0,0.0,1.542,200,0,True,
