t,request_id,cycle_id,latency_ms,queue_ms,cold_ms,service_ms,status,cold,ok,err
1788441368.5846329,1,0,651.1404939999466,0.0,645.359,1.704,200,1,True,
1788441368.4858654,2,0,552.0078949998606,0.0,542.562,1.969,200,1,True,
1788441368.6723003,3,0,738.1150379999326,0.0,723.348,1.982,200,1,True,
1788441368.5035715,4,0,569.2021229999682,550.361,0.0,4.962,200,0,True,
1788441368.5158937,5,0,581.4145370000006,566.081,0.0,1.985,200,0,True,
1788441368.5378551,6,0,603.2078289999845,582.096,0.0,1.565,200,0,True,
1788441368.551228,7,0,616.4753589998782,598.104,0.0,5.32,200,0,True,
1788441368.5632644,8,0,628.4137210000154,613.765,0.0,1.733,200,0,True,
1788441368.5790367,9,0,643.8234529998681,629.555,0.0,1.681,200,0,True,
1788441368.5979357,10,0,662.5841919999402,645.332,0.0,2.2,200,0,True,
1788441368.5978868,11,0,662.4394210000446,645.345,0.0,1.652,200,0,True,
1788441368.6103017,12,0,674.6618870001839,660.752,0.0,1.846,200,0,True,
1788441368.6115105,13,0,675.6616029999805,660.77,0.0,2.862,200,0,True,
1788441368.6274,14,0,691.4254949999759,676.278,0.0,3.573,200,0,True,
1788441368.6270974,15,0,690.9786720000284,676.29,0.0,2.696,200,0,True,
1788441377.5918546,16,1,614.8400590000165,0.0,606.086,5.465,200,1,True,
1788441377.7231312,17,1,745.828088000053,0.0,738.062,3.67,200,1,True,
1788441377.6547415,18,1,677.36122600013,0.0,669.448,2.396,200,1,True,
1788441377.5993083,19,1,621.8613139999434,602.09,0.0,4.973,200,0,True,
1788441377.6161497,20,1,638.5953879998851,622.498,0.0,1.833,200,0,True,
1788441377.631882,21,1,654.1810720000285,638.214,0.0,1.72,200,0,True,
1788441377.6503186,22,1,672.5461470000482,655.63,0.0,2.869,200,0,True,
1788441377.6700037,23,1,692.1302719999858,671.418,0.0,3.182,200,0,True,
1788441377.66988,24,1,691.9387620000634,671.463,0.0,2.285,200,0,True,
1788441377.682362,25,1,704.3610650000574,687.595,0.0,3.095,200,0,True,
1788441377.681094,26,1,703.0043800000385,687.599,0.0,1.436,200,0,True,
1788441377.696461,27,1,718.3117150000271,702.868,0.0,1.781,200,0,True,
1788441377.6977234,28,1,719.5182179998483,702.873,0.0,2.861,200,0,True,
1788441377.716573,29,1,738.1521999998313,721.718,0.0,2.712,200,0,True,
1788441377.71686,30,1,738.3350869999958,721.721,0.0,2.984,200,0,True,
1788441387.3628068,31,2,8.651606000057654,0.0,0.0,4.491,200,0,True,
1788441387.826566,32,2,472.00028099996416,0.0,464.921,2.663,200,1,True,
1788441387.3678098,33,2,13.113320999991629,0.0,0.0,3.172,200,0,True,
1788441387.847317,34,2,492.52977900005135,0.0,481.637,2.01,200,1,True,
1788441387.3876944,35,2,32.827578000024005,15.84,0.0,6.698,200,0,True,
1788441387.3985648,36,2,43.62089100004596,32.087,0.0,1.892,200,0,True,
1788441387.415808,37,2,60.77941800003828,47.682,0.0,1.71,200,0,True,
1788441387.4347131,38,2,79.57742500002496,64.532,0.0,5.507,200,0,True,
1788441387.4505525,39,2,95.3293580000718,80.258,0.0,5.329,200,0,True,
1788441387.466497,40,2,111.19580600006884,95.991,0.0,5.505,200,0,True,
1788441387.4826336,41,2,127.23821999998108,111.909,0.0,5.734,200,0,True,
1788441387.4979584,42,2,142.4416669999573,128.202,0.0,1.632,200,0,True,
1788441387.5145605,43,2,158.96154099982596,144.907,0.0,4.662,200,0,True,
