t,request_id,cycle_id,latency_ms,queue_ms,cold_ms,service_ms,status,cold,ok,err
1788432881.3963504,1,-1,364.94481100021403,0.0,362.09,1.773,200,1,True,
1788432881.6247375,2,-1,393.6163509999915,0.0,388.74,1.529,200,1,True,
1788432881.4344156,3,-1,2.767109999922468,0.0,0.0,1.553,200,0,True,
1788432881.6343324,4,-1,2.3248520001288853,0.0,0.0,1.353,200,0,True,
1788432881.835846,5,-1,2.604232000066986,0.0,0.0,1.568,200,0,True,
1788432882.0365458,6,-1,2.648021999902994,0.0,0.0,1.495,200,0,True,
1788432882.237382,7,-1,2.8780469999674096,0.0,0.0,1.59,200,0,True,
1788432882.4382691,8,-1,2.9376249999586435,0.0,0.0,1.76,200,0,True,
1788432882.6392887,9,-1,2.8608370000711147,0.0,0.0,1.633,200,0,True,
1788432882.8404222,10,-1,3.0588360000365356,0.0,0.0,1.646,200,0,True,
1788432883.041338,11,-1,2.716941000016959,0.0,0.0,1.52,200,0,True,
1788432883.2420933,12,-1,2.70151400013674,0.0,0.0,1.564,200,0,True,
1788432883.4427881,13,-1,2.7546270000584627,0.0,0.0,1.508,200,0,True,
1788432883.6434777,14,-1,2.739274999839836,0.0,0.0,1.531,200,0,True,
1788432883.8444936,15,-1,2.667395999878863,0.0,0.0,1.474,200,0,True,
1788432884.0452473,16,-1,2.781899999945381,0.0,0.0,1.578,200,0,True,
1788432884.2459788,17,-1,2.6689399999213492,0.0,0.0,1.573,200,0,True,
1788432884.4468071,18,-1,2.604205999887199,0.0,0.0,1.44,200,0,True,
1788432884.6479127,19,-1,3.1210140000439424,0.0,0.0,1.965,200,0,True,
1788432884.8488007,20,-1,2.776983000103428,0.0,0.0,1.572,200,0,True,
1788432885.0496304,21,-1,2.7340960000401537,0.0,0.0,1.644,200,0,True,
1788432885.2513835,22,-1,2.7158940001754672,0.0,0.0,1.575,200,0,True,
1788432885.4536464,23,-1,2.8655649998654553,0.0,0.0,1.677,200,0,True,
1788432885.6554384,24,-1,2.70448900005249,0.0,0.0,1.432,200,0,True,
1788432885.8580012,25,-1,2.825492000056329,0.0,0.0,1.592,200,0,True,
1788432886.0600107,26,-1,2.836767999951917,0.0,0.0,1.572,200,0,True,
1788432886.261679,27,-1,2.6130339999781427,0.0,0.0,1.541,200,0,True,
1788432886.4634974,28,-1,2.550088999896616,0.0,0.0,1.478,200,0,True,
1788432886.6651351,29,-1,2.6196639998943283,0.0,0.0,1.538,200,0,True,
1788432886.8661685,30,-1,2.858286999980919,0.0,0.0,1.689,200,0,True,
1788432887.0677943,31,-1,2.438846000131889,0.0,0.0,1.494,200,0,True,
1788432887.268525,32,-1,2.6405840001189063,0.0,0.0,1.521,200,0,True,
1788432887.469508,33,-1,2.810938000038732,0.0,0.0,1.483,200,0,True,
1788432887.670267,34,-1,2.565435000178695,0.0,0.0,1.435,200,0,True,
1788432887.870949,35,-1,2.7918999999201333,0.0,0.0,1.624,200,0,True,
1788432888.07147,36,-1,2.683065999917744,0.0,0.0,1.586,200,0,True,
1788432888.2723885,37,-1,2.90431799999169,0.0,0.0,1.56,200,0,True,
1788432888.4731033,38,-1,2.6467919999504375,0.0,0.0,1.635,200,0,True,
1788432888.6737409,39,-1,2.5858100000277773,0.0,0.0,1.563,200,0,True,
1788432888.874455,40,-1,2.72479199998088,0.0,0.0,1.562,200,0,True,
1788432889.0749726,41,-1,2.476346000094054,0.0,0.0,1.371,200,0,True,
1788432889.2772,42,-1,3.2156279999071558,0.0,0.0,1.758,200,0,True,
1788432889.4778633,43,-1,2.6495029999296094,0.0,0.0,1.594,200,0,True,
1788432889.6785383,44,-1,2.617908000047464,0.0,0.0,1.511,200,0,True,
1788432889.8790867,45,-1,2.5370969999585213,0.0,0.0,1.393,200,0,True,
1788432890.0801203,46,-1,2.8797889999623294,0.0,0.0,1.716,200,0,True,
1788432890.281651,47,-1,3.4845069999391853,0.0,0.0,2.058,200,0,True,
1788432890.482794,48,-1,3.160563999927035,0.0,0.0,1.811,200,0,True,
1788432890.6827707,49,-1,2.60420399990835,0.0,0.0,1.473,200,0,True,
1788432890.8833163,50,-1,2.638678000039363,0.0,0.0,1.491,200,0,True,
1788432891.0839412,51,-1,2.5967700000819605,0.0,0.0,1.387,200,0,True,
1788432891.285095,52,-1,3.127597999991849,0.0,0.0,1.789,200,0,True,
1788432891.485642,53,-1,2.4601459999757935,0.0,0.0,1.497,200,0,True,
1788432891.6864543,54,-1,2.739688000019669,0.0,0.0,1.499,200,0,True,
1788432891.8870926,55,-1,2.5361589998738054,0.0,0.0,1.395,200,0,True,
1788432892.0881393,56,-1,2.6929950001886027,0.0,0.0,1.444,200,0,True,
1788432892.2890623,57,-1,2.8012049999688315,0.0,0.0,1.615,200,0,True,
1788432892.4908345,58,-1,2.7590869999585266,0.0,0.0,1.56,200,0,True,
1788432892.6926086,59,-1,2.678527000171016,0.0,0.0,1.499,200,0,True,
1788432892.8943222,60,-1,2.7028770000470104,0.0,0.0,1.508,200,0,True,
