t,request_id,cycle_id,latency_ms,queue_ms,cold_ms,service_ms,status,cold,ok,err
1788442103.4016857,1,0,634.1657439998016,0.0,627.612,2.125,200,1,True,
1788442103.5268033,2,0,758.9648399998623,0.0,746.092,1.928,200,1,True,
1788442103.3819208,3,0,613.6661579998872,0.0,593.52,5.906,200,1,True,
1788442103.3996685,4,0,631.1648430000787,606.169,0.0,5.752,200,0,True,
1788442103.4115064,5,0,642.8586530000757,622.693,0.0,1.957,200,0,True,
1788442103.4133139,6,0,644.550997999886,622.744,0.0,3.524,200,0,True,
1788442103.4294224,7,0,660.5483779999304,638.811,0.0,3.919,200,0,True,
1788442103.427797,8,0,658.8159220000307,638.824,0.0,1.606,200,0,True,
1788442103.444214,9,0,674.7421629997916,654.225,0.0,3.058,200,0,True,
1788442103.4442625,10,0,674.5884769998156,654.238,0.0,2.978,200,0,True,
1788442103.4602346,11,0,690.3983150000386,670.384,0.0,2.923,200,0,True,
1788442103.4602854,12,0,690.3069230002075,670.363,0.0,2.908,200,0,True,
1788442103.475861,13,0,705.6867159999456,685.882,0.0,3.053,200,0,True,
1788442103.4759123,14,0,705.5898600001456,685.901,0.0,2.968,200,0,True,
1788442103.4908152,15,0,720.3330130000722,702.115,0.0,1.839,200,0,True,
1788442112.473957,16,1,643.1929260002107,0.0,636.005,1.97,200,1,True,
1788442112.5757496,17,1,744.6574999999029,0.0,738.134,1.965,200,1,True,
1788442112.536769,18,1,705.5681860001641,0.0,696.654,2.204,200,1,True,
1788442112.4945605,19,1,663.2950390003316,642.286,0.0,8.616,200,0,True,
1788442112.5030603,20,1,671.7318600003637,658.16,0.0,1.788,200,0,True,
1788442112.5205455,21,1,689.1444779998892,675.275,0.0,2.205,200,0,True,
1788442112.5378842,22,1,706.4041570001791,691.536,0.0,3.092,200,0,True,
1788442112.5540512,23,1,722.5033660001827,707.283,0.0,3.868,200,0,True,
1788442112.5538976,24,1,722.2902590001468,707.297,0.0,3.118,200,0,True,
1788442112.567592,25,1,735.9021100000973,722.656,0.0,1.805,200,0,True,
1788442112.5689468,26,1,737.1918690000712,722.679,0.0,2.986,200,0,True,
1788442112.5845077,27,1,752.697917000205,738.153,0.0,2.687,200,0,True,
