t,request_id,cycle_id,latency_ms,queue_ms,cold_ms,service_ms,status,cold,ok,err
1788433918.205735,1,0,655.0135180000325,0.0,647.152,1.878,200,1,True,
1788433918.1437368,2,0,592.6455399999213,0.0,577.699,2.551,200,1,True,
1788433918.2058227,3,0,654.3652959999235,0.0,638.311,2.897,200,1,True,
1788433918.1646051,4,0,612.8987580000285,579.887,0.0,3.219,200,0,True,
1788433918.1769912,5,0,625.0450399998044,595.889,0.0,3.6,200,0,True,
1788433918.1930006,6,0,640.8489590003228,611.47,0.0,4.045,200,0,True,
1788433918.2075148,7,0,655.1470239996888,627.684,0.0,2.294,200,0,True,
1788433918.2075589,8,0,654.961774000185,627.674,0.0,2.305,200,0,True,
1788433918.2228928,9,0,669.7485100003178,644.479,0.0,1.083,200,0,True,
1788433918.223575,10,0,670.2716319996398,644.484,0.0,1.718,200,0,True,
1788433918.2238061,11,0,670.3721310000219,644.486,0.0,1.853,200,0,True,
1788433918.2395792,12,0,685.9887539999363,660.979,0.0,1.268,200,0,True,
1788433918.2401676,13,0,686.3663980002457,660.983,0.0,1.744,200,0,True,
1788433918.240657,14,0,686.6872880000301,660.977,0.0,2.216,200,0,True,
1788433918.2570024,15,0,702.8563730000315,677.851,0.0,1.66,200,0,True,
1788433928.1861029,16,1,545.9955890000856,0.0,539.418,3.467,200,1,True,
1788433928.3258345,17,1,685.3309950001858,0.0,679.343,1.558,200,1,True,
1788433928.1799474,18,1,539.2729330001202,0.0,532.66,1.512,200,1,True,
1788433928.1846771,19,1,543.9260260000083,528.728,0.0,1.809,200,0,True,
1788433928.2005577,20,1,559.7296670002834,544.812,0.0,2.552,200,0,True,
1788433928.1992688,21,1,558.3423979996951,544.829,0.0,1.118,200,0,True,
1788433928.2182403,22,1,577.2463469998002,561.887,0.0,2.903,200,0,True,
1788433928.2181487,23,1,577.0937029997185,561.889,0.0,2.608,200,0,True,
1788433928.236459,24,1,595.3456600000209,577.385,0.0,2.388,200,0,True,
1788433928.2325153,25,1,591.3431199996921,577.382,0.0,1.749,200,0,True,
1788433928.2492437,26,1,608.0026519998682,593.672,0.0,2.401,200,0,True,
1788433928.2481217,27,1,606.8191149997801,593.678,0.0,1.08,200,0,True,
1788433928.2646801,28,1,623.3186710001064,608.931,0.0,2.52,200,0,True,
1788433928.264773,29,1,623.1867240003339,608.921,0.0,2.527,200,0,True,
1788433928.2808633,30,1,639.1844149998178,625.838,0.0,1.35,200,0,True,
1788433937.1526089,31,2,547.7391589997751,0.0,536.562,5.869,200,1,True,
1788433937.17304,32,2,567.9096980002214,0.0,558.469,5.796,200,1,True,
1788433937.2508492,33,2,645.6437669999104,0.0,639.256,1.523,200,1,True,
1788433937.164929,34,2,559.6598310003174,546.159,0.0,1.357,200,0,True,
1788433937.182075,35,2,576.7462379999415,562.573,0.0,1.607,200,0,True,
1788433937.1821804,36,2,576.7947360000107,562.582,0.0,2.273,200,0,True,
1788433937.198568,37,2,593.1245169999784,578.08,0.0,3.014,200,0,True,
1788433937.1986527,38,2,593.1117529999028,578.097,0.0,2.945,200,0,True,
1788433937.2135136,39,2,607.8920560003098,593.324,0.0,2.608,200,0,True,
1788433937.2135718,40,2,607.8712849998738,593.334,0.0,2.833,200,0,True,
1788433937.229285,41,2,623.5260899998138,609.403,0.0,2.447,200,0,True,
1788433937.229627,42,2,623.8124999999854,609.413,0.0,3.031,200,0,True,
1788433937.2450838,43,2,639.2120249997788,625.122,0.0,2.991,200,0,True,
1788433937.2447798,44,2,638.7451779996809,625.134,0.0,2.124,200,0,True,
1788433937.2594347,45,2,653.3454489999713,641.108,0.0,1.34,200,0,True,
1788433946.158989,46,3,552.576537999812,0.0,548.406,1.409,200,1,True,
1788433946.2441506,47,3,637.3415859998204,0.0,631.356,1.714,200,1,True,
1788433946.2234993,48,3,616.5660159999788,0.0,610.188,1.507,200,1,True,
1788433946.1732516,49,3,566.2396490001811,549.843,0.0,5.848,200,0,True,
1788433946.1849196,50,3,577.8296260000388,566.171,0.0,1.579,200,0,True,
1788433946.2005296,51,3,593.3668299999226,581.921,0.0,1.378,200,0,True,
1788433946.217127,52,3,609.8946590000196,597.724,0.0,2.191,200,0,True,
1788433946.2321832,53,3,624.8810299998695,613.79,0.0,1.399,200,0,True,
1788433946.2320957,54,3,624.682565999592,613.799,0.0,1.052,200,0,True,
1788433946.2486424,55,3,641.1648539997259,629.384,0.0,1.392,200,0,True,
1788433946.248756,56,3,641.2185809999755,629.393,0.0,2.192,200,0,True,
1788433946.2486906,57,3,641.0850659999596,629.394,0.0,1.348,200,0,True,
1788433946.2638538,58,3,656.175168000118,645.16,0.0,1.597,200,0,True,
1788433946.2647908,59,3,656.9231949997629,645.169,0.0,2.285,200,0,True,
1788433946.2650583,60,3,657.1222990000933,645.176,0.0,2.611,200,0,True,
1788433954.9886239,61,4,544.3706099999872,0.0,537.047,1.561,200,1,True,
1788433955.1290772,62,4,684.4756219998089,0.0,678.771,1.48,200,1,True,
1788433955.0261166,63,4,581.4319829996748,0.0,574.447,2.254,200,1,True,
1788433955.0019634,64,4,557.2037590000036,542.723,0.0,1.722,200,0,True,
1788433955.018682,65,4,573.8219790000585,559.275,0.0,2.173,200,0,True,
1788433955.0330768,66,4,588.1003260001307,574.468,0.0,1.501,200,0,True,
1788433955.0340302,67,4,588.9695979999487,574.491,0.0,2.374,200,0,True,
1788433955.0501282,68,4,604.993051999827,589.948,0.0,3.13,200,0,True,
1788433955.0500352,69,4,604.8060719999739,589.982,0.0,2.843,200,0,True,
1788433955.065449,70,4,620.1520989998244,606.014,0.0,2.345,200,0,True,
1788433955.0658283,71,4,620.470467999894,606.025,0.0,2.672,200,0,True,
1788433955.0844898,72,4,639.0720009999313,621.18,0.0,2.557,200,0,True,
1788433955.0802774,73,4,634.8020770001312,621.192,0.0,1.898,200,0,True,
1788433955.0958269,74,4,650.1886440000817,636.507,0.0,2.137,200,0,True,
1788433955.0960631,75,4,650.364098999944,636.512,0.0,2.483,200,0,True,
