t,request_id,cycle_id,latency_ms,queue_ms,cold_ms,service_ms,status,cold,ok,err
1788446486.2735088,1,0,1978.225752999606,0.0,1968.743,4.776,200,1,True,
1788446486.215796,2,0,1920.162012000219,0.0,1885.244,15.883,200,1,True,
1788446486.2932806,3,0,1997.1946309997293,0.0,1979.505,2.343,200,1,True,
1788446486.260863,4,0,1964.435156000036,0.0,1938.947,6.413,200,1,True,
1788446486.2914863,5,0,1994.8193709997213,0.0,1960.712,7.431,200,1,True,
1788446486.2906477,6,0,1993.8208270004907,0.0,1952.764,6.64,200,1,True,
1788446486.273578,7,0,1976.6370349998397,0.0,1933.495,8.299,200,1,True,
1788446486.2909703,8,0,1993.9276730001438,0.0,1942.912,5.931,200,1,True,
1788446486.2159157,9,0,1918.2632150004792,1846.325,0.0,9.041,200,0,True,
1788446486.250693,10,0,1952.8843919997598,1869.41,0.0,21.763,200,0,True,
1788446486.265096,11,0,1967.1723199999178,1891.697,0.0,12.793,200,0,True,
1788446486.269186,12,0,1971.1641320000126,1907.645,0.0,2.058,200,0,True,
1788446486.2733943,13,0,1975.27545200046,1907.665,0.0,5.96,200,0,True,
1788446486.290878,14,0,1992.6082490001136,1924.521,0.0,6.519,200,0,True,
1788446486.2908225,15,0,1992.4458929999673,1924.536,0.0,6.301,200,0,True,
1788446496.5157902,16,1,1918.1923020005343,0.0,1909.014,3.459,200,1,True,
1788446496.5548487,17,1,1956.8733980004254,0.0,1947.755,4.152,200,1,True,
1788446496.538513,18,1,1940.449271000034,0.0,1932.844,2.12,200,1,True,
1788446496.515893,19,1,1917.6956869996502,0.0,1899.426,5.524,200,1,True,
1788446496.5549333,20,1,1956.665093999618,0.0,1938.425,4.106,200,1,True,
1788446496.5362613,21,1,1937.9244309993737,0.0,1915.659,4.615,200,1,True,
1788446496.5178497,22,1,1919.4464879992665,0.0,1891.639,6.066,200,1,True,
1788446496.5678449,23,1,1969.3755620000957,0.0,1934.877,2.066,200,1,True,
1788446496.5299108,24,1,1931.3791240001592,1881.639,0.0,1.877,200,0,True,
1788446496.531544,25,1,1932.9514380006003,1882.911,0.0,4.461,200,0,True,
1788446496.5314953,26,1,1932.8425329995298,1882.96,0.0,4.184,200,0,True,
1788446496.5527651,27,1,1954.0514690006603,1898.005,0.0,10.184,200,0,True,
1788446496.5548987,28,1,1956.125300000167,1898.031,0.0,13.742,200,0,True,
1788446496.5528245,29,1,1953.8300519998302,1898.055,0.0,11.412,200,0,True,
1788446496.5528579,30,1,1953.8049120001233,1898.057,0.0,11.428,200,0,True,
1788446506.2542067,31,2,67.6047759998255,0.0,0.0,16.262,200,0,True,
1788446507.6664002,32,2,1479.4209749998117,0.0,1472.024,3.927,200,1,True,
1788446507.7971797,33,2,1610.010229999716,0.0,1602.206,2.788,200,1,True,
1788446507.777575,34,2,1590.286367999397,0.0,1582.233,2.355,200,1,True,
1788446507.7545958,35,2,1567.2062769999684,0.0,1553.95,2.105,200,1,True,
1788446507.6997335,36,2,1512.233114999617,0.0,1483.625,8.079,200,1,True,
1788446507.7950969,37,2,1607.5083450004968,0.0,1577.931,2.233,200,1,True,
1788446507.7777138,38,2,1590.0345910004035,0.0,1560.575,1.702,200,1,True,
1788446506.27214,39,2,84.37210400006734,39.543,0.0,1.758,200,0,True,
1788446506.2979696,40,2,110.1150790000247,59.542,0.0,5.291,200,0,True,
1788446506.3379889,41,2,150.03640399936558,85.298,0.0,18.351,200,0,True,
1788446506.3419385,42,2,153.85718800007453,103.983,0.0,5.376,200,0,True,
1788446506.369899,43,2,181.69998200028203,121.041,0.0,14.53,200,0,True,
1788446506.383032,44,2,194.57119700018666,139.443,0.0,12.808,200,0,True,
1788446506.3978946,45,2,209.34512900021218,159.125,0.0,5.172,200,0,True,
1788446517.5353804,46,3,58.102504999624216,0.0,0.0,19.665,200,0,True,
1788446519.094048,47,3,1616.458737999892,0.0,1597.949,6.301,200,1,True,
1788446519.1859715,48,3,1708.204700999886,0.0,1698.463,3.402,200,1,True,
1788446519.221834,49,3,1743.9922160001515,0.0,1736.388,2.072,200,1,True,
1788446519.2217238,50,3,1743.8156289999824,0.0,1728.607,2.111,200,1,True,
1788446519.1784017,51,3,1700.3978610000559,0.0,1664.958,14.484,200,1,True,
1788446519.158817,52,3,1680.74653199983,0.0,1639.915,11.814,200,1,True,
1788446519.2076397,53,3,1729.496086000836,0.0,1693.966,5.887,200,1,True,
1788446517.5534728,54,3,75.26758899984998,35.835,0.0,2.185,200,0,True,
1788446517.5704556,55,3,92.18922299987753,51.512,0.0,3.329,200,0,True,
1788446517.5911207,56,3,112.79256699981488,70.747,0.0,4.826,200,0,True,
1788446517.6114728,57,3,133.08718000007502,86.115,0.0,8.791,200,0,True,
1788446517.6323571,58,3,153.9136139999755,111.591,0.0,4.377,200,0,True,
1788446517.6521003,59,3,173.48064700036048,130.717,0.0,4.137,200,0,True,
1788446517.6703563,60,3,191.68111699946166,151.308,0.0,3.474,200,0,True,
1788446528.9724064,61,4,40.159839999432734,0.0,0.0,6.872,200,0,True,
1788446530.5025527,62,4,1570.0462300001163,0.0,1553.067,13.82,200,1,True,
1788446530.5389373,63,4,1606.3279840000178,0.0,1598.491,3.557,200,1,True,
1788446530.5512328,64,4,1618.5536679995494,0.0,1611.984,1.644,200,1,True,
1788446530.5340304,65,4,1601.2883760004115,0.0,1581.87,5.316,200,1,True,
1788446530.5024574,66,4,1569.6517030000905,0.0,1538.21,16.662,200,1,True,
1788446530.5371437,67,4,1604.2350329998953,0.0,1583.899,4.41,200,1,True,
1788446530.5026157,68,4,1569.6112979994723,0.0,1530.645,13.285,200,1,True,
1788446528.986275,69,4,53.207728000415955,18.892,0.0,8.049,200,0,True,
1788446529.0049753,70,4,71.84871099980228,38.845,0.0,5.277,200,0,True,
1788446529.035968,71,4,102.78018200006045,59.097,0.0,15.826,200,0,True,
1788446529.038116,72,4,104.8629870001605,76.28,0.0,2.485,200,0,True,
1788446529.0701368,73,4,136.82711899946298,93.213,0.0,14.839,200,0,True,
1788446529.0784087,74,4,144.90503199976956,109.512,0.0,9.529,200,0,True,
1788446529.0983052,75,4,164.73881500041898,130.809,0.0,6.577,200,0,True,
