t,request_id,cycle_id,latency_ms,queue_ms,cold_ms,service_ms,status,cold,ok,err
1788447479.2519188,1,0,1905.3828830001294,0.0,1889.395,10.165,200,1,True,
1788447479.2178624,2,0,1871.0383249999722,0.0,1849.977,7.491,200,1,True,
1788447479.1939185,3,0,1846.6534830004093,0.0,1820.264,13.699,200,1,True,
1788447479.2671547,4,0,1919.5788510005514,0.0,1897.79,5.198,200,1,True,
1788447479.2540014,5,0,1906.2143439996362,0.0,1877.503,3.446,200,1,True,
1788447479.2841973,6,0,1936.0664589994485,0.0,1910.243,1.626,200,1,True,
1788447479.267345,7,0,1918.986134000079,0.0,1885.493,2.937,200,1,True,
1788447479.2236261,8,0,1875.0796719996288,0.0,1823.412,9.073,200,1,True,
1788447479.213764,9,0,1864.6401120004157,1806.738,0.0,1.643,200,0,True,
1788447479.2379014,10,0,1888.5199630003626,1822.917,0.0,12.026,200,0,True,
1788447479.237956,11,0,1888.353289999941,1822.953,0.0,12.219,200,0,True,
1788447479.2482417,12,0,1898.3075470005133,1842.713,0.0,6.229,200,0,True,
1788447479.24815,13,0,1897.9310629993051,1842.71,0.0,5.865,200,0,True,
1788447479.249798,14,0,1899.3117390000407,1842.716,0.0,6.076,200,0,True,
1788447479.2642171,15,0,1913.4641379996538,1858.279,0.0,5.011,200,0,True,
1788447489.474327,16,1,1900.7441250005286,0.0,1891.08,6.409,200,1,True,
1788447489.4108024,17,1,1836.9064529997559,0.0,1822.116,5.182,200,1,True,
1788447489.5520825,18,1,1978.1100869995498,0.0,1958.344,2.422,200,1,True,
1788447489.5160332,19,1,1941.934193000634,0.0,1917.615,6.165,200,1,True,
1788447489.3659306,20,1,1791.7643289993066,0.0,1764.704,5.166,200,1,True,
1788447489.4467847,21,1,1872.556199000428,0.0,1838.008,2.142,200,1,True,
1788447489.3963237,22,1,1822.0372320001843,0.0,1778.94,9.858,200,1,True,
1788447489.551218,23,1,1976.871611000206,0.0,1934.487,2.063,200,1,True,
1788447489.395782,24,1,1821.354890999828,1768.451,0.0,5.629,200,0,True,
1788447489.4097106,25,1,1835.2276380001058,1788.82,0.0,3.585,200,0,True,
1788447489.4102855,26,1,1835.7453140006328,1788.858,0.0,4.245,200,0,True,
1788447489.4306521,27,1,1856.0551310001756,1804.862,0.0,8.561,200,0,True,
1788447489.4307034,28,1,1856.0515109993503,1804.877,0.0,8.436,200,0,True,
1788447489.4307342,29,1,1855.8928970005582,1804.881,0.0,8.393,200,0,True,
1788447489.4407582,30,1,1865.8587419995456,1820.208,0.0,3.433,200,0,True,
1788447499.2980034,31,2,54.86968799959868,0.0,0.0,11.871,200,0,True,
1788447500.8737543,32,2,1630.266577999464,0.0,1615.933,4.501,200,1,True,
1788447501.0386517,33,2,1795.0475440002265,0.0,1784.894,5.342,200,1,True,
1788447500.987604,34,2,1743.9272279998477,0.0,1735.51,2.952,200,1,True,
1788447501.0380485,35,2,1794.3054139996093,0.0,1779.253,2.46,200,1,True,
1788447500.9796603,36,2,1735.852846999478,0.0,1703.67,13.207,200,1,True,
1788447500.897281,37,2,1653.4119389998523,0.0,1624.346,2.065,200,1,True,
1788447500.9738877,38,2,1729.9137649997647,0.0,1697.495,4.656,200,1,True,
1788447499.310449,39,2,66.40203000006295,19.961,0.0,11.719,200,0,True,
1788447499.3306189,40,2,86.477726999874,36.176,0.0,15.35,200,0,True,
1788447499.3342633,41,2,90.03748499981157,51.804,0.0,3.714,200,0,True,
1788447499.3519037,42,2,107.59812500054977,67.584,0.0,4.224,200,0,True,
1788447499.3906534,43,2,146.25663900005748,91.517,0.0,16.121,200,0,True,
1788447499.3907144,44,2,146.08498699999473,107.927,0.0,3.7,200,0,True,
1788447499.4300086,45,2,185.32202400001552,131.488,0.0,16.243,200,0,True,
1788447511.2163444,46,3,1859.6188890005578,0.0,1835.981,18.146,200,1,True,
1788447511.2833343,47,3,1926.2751080004819,0.0,1916.804,5.087,200,1,True,
1788447511.302139,48,3,1944.9830430003203,0.0,1934.537,4.946,200,1,True,
1788447511.3030932,49,3,1945.8421379995343,0.0,1929.977,2.453,200,1,True,
1788447511.2340102,50,3,1876.6433609998785,0.0,1851.211,2.901,200,1,True,
1788447511.2486331,51,3,1891.1553150001055,0.0,1860.929,9.002,200,1,True,
1788447511.2737389,52,3,1916.1609900002077,0.0,1891.252,2.294,200,1,True,
1788447511.299789,53,3,1942.04504299978,0.0,1903.078,1.676,200,1,True,
1788447511.2163985,54,3,1858.5588859996278,1814.332,0.0,1.606,200,0,True,
1788447511.23407,55,3,1876.1088569999629,1830.876,0.0,1.739,200,0,True,
1788447511.238356,56,3,1880.3037519992358,1830.935,0.0,7.955,200,0,True,
1788447511.251394,57,3,1893.2686389998707,1847.936,0.0,4.299,200,0,True,
1788447511.251661,58,3,1893.4691260001273,1847.887,0.0,4.537,200,0,True,
1788447511.2716298,59,3,1913.1384060001437,1864.151,0.0,6.955,200,0,True,
1788447511.266335,60,3,1907.763289000286,1864.149,0.0,2.746,200,0,True,
1788447520.7499888,61,4,57.52055099947029,0.0,0.0,19.623,200,0,True,
1788447522.441859,62,4,1748.9859649995196,0.0,1742.123,2.634,200,1,True,
1788447522.3801832,63,4,1687.1768230003,0.0,1668.662,11.905,200,1,True,
1788447522.386541,64,4,1693.4636960004354,0.0,1667.972,19.933,200,1,True,
1788447522.3864386,65,4,1693.2956390000982,0.0,1663.744,16.188,200,1,True,
1788447522.4480693,66,4,1754.8611629999868,0.0,1734.609,6.193,200,1,True,
1788447522.4609811,67,4,1767.694446999485,0.0,1748.165,1.867,200,1,True,
1788447522.4623888,68,4,1769.0318000004481,0.0,1741.878,1.69,200,1,True,
1788447520.7700775,69,4,76.65683200048079,39.564,0.0,1.889,200,0,True,
1788447520.8022852,70,4,108.80714300037653,59.598,0.0,7.324,200,0,True,
1788447520.8118372,71,4,118.29705299987836,79.089,0.0,5.808,200,0,True,
1788447520.8379753,72,4,144.3751369997699,103.511,0.0,4.059,200,0,True,
1788447520.861992,73,4,168.23921400009567,119.451,0.0,12.138,200,0,True,
1788447520.8739762,74,4,179.9591139997574,135.073,0.0,8.524,200,0,True,
1788447520.887736,75,4,193.64934399982303,155.48,0.0,5.442,200,0,True,
