t,request_id,cycle_id,latency_ms,queue_ms,cold_ms,service_ms,status,cold,ok,err
1788447810.0075967,1,0,1938.3760209993852,0.0,1931.852,2.062,200,1,True,
1788447809.8904855,2,0,1820.9586670000135,0.0,1802.217,11.853,200,1,True,
1788447809.9683254,3,0,1898.3703559997593,0.0,1879.413,6.011,200,1,True,
1788447810.011682,4,0,1941.4755719999448,0.0,1925.332,2.739,200,1,True,
1788447809.8958125,5,0,1825.4814379997697,0.0,1795.616,7.256,200,1,True,
1788447809.8957524,6,0,1825.3055160002987,0.0,1792.048,6.763,200,1,True,
1788447810.0276577,7,0,1957.105524000326,0.0,1925.328,3.633,200,1,True,
1788447810.0263696,8,0,1955.6994510003278,0.0,1917.397,1.812,200,1,True,
1788447809.9099998,9,0,1838.873618999969,1776.627,0.0,11.83,200,0,True,
1788447809.910145,10,0,1838.7497680005254,1777.774,0.0,11.957,200,0,True,
1788447809.9101045,11,0,1838.497073000326,1777.862,0.0,11.778,200,0,True,
1788447809.9259589,12,0,1854.122792000453,1794.233,0.0,11.203,200,0,True,
1788447809.9156663,13,0,1843.6289150004086,1794.252,0.0,4.314,200,0,True,
1788447809.926045,14,0,1853.858688999935,1794.211,0.0,10.834,200,0,True,
1788447809.9309928,15,0,1858.6177770002905,1809.312,0.0,4.795,200,0,True,
1788447821.2703834,16,1,2047.4411889999828,0.0,2035.359,6.733,200,1,True,
1788447821.3168514,17,1,2093.5552379996807,0.0,2086.578,2.272,200,1,True,
1788447821.3094866,18,1,2086.102750000464,0.0,2073.426,3.825,200,1,True,
1788447821.2879167,19,1,2064.4651200000226,0.0,2040.042,8.837,200,1,True,
1788447821.2663863,20,1,2042.8679160004322,0.0,2021.971,3.165,200,1,True,
1788447821.34269,21,1,2119.104571999742,0.0,2092.878,2.655,200,1,True,
1788447821.2877889,22,1,2064.1413550001744,0.0,2027.54,4.532,200,1,True,
1788447821.3317184,23,1,2108.0077690003236,0.0,2074.338,1.801,200,1,True,
1788447821.270324,24,1,2046.5521340001942,2001.756,0.0,2.73,200,0,True,
1788447821.287848,25,1,2063.9990270001363,2019.464,0.0,4.492,200,0,True,
1788447821.287884,26,1,2063.976024999647,2019.526,0.0,4.487,200,0,True,
1788447821.3095598,27,1,2085.5434280001646,2040.516,0.0,5.47,200,0,True,
1788447821.3095913,28,1,2085.4938510001375,2040.591,0.0,5.542,200,0,True,
1788447821.3094275,29,1,2084.888280999621,2040.591,0.0,3.126,200,0,True,
1788447821.3095255,30,1,2084.908520000681,2040.596,0.0,4.292,200,0,True,
1788447831.2234836,31,2,1649.4776110012026,0.0,1633.995,11.705,200,1,True,
1788447831.223431,32,2,1649.1535199984355,0.0,1629.727,11.855,200,1,True,
1788447831.2866013,33,2,1712.2306000001117,0.0,1695.047,5.076,200,1,True,
1788447831.2864397,34,2,1712.0009970003593,0.0,1689.632,2.206,200,1,True,
1788447831.2640238,35,2,1689.5184620007058,0.0,1659.978,5.75,200,1,True,
1788447831.287122,36,2,1712.5429330008046,0.0,1684.929,3.37,200,1,True,
1788447831.2861955,37,2,1711.5507840007922,0.0,1667.025,4.207,200,1,True,
1788447830.7660086,38,2,1191.3016010003048,1122.178,0.0,13.018,200,0,True,
1788447830.7779503,39,2,1203.1806869999855,1139.375,0.0,12.145,200,0,True,
1788447830.7939997,40,2,1219.1631120003876,1155.247,0.0,12.251,200,0,True,
1788447830.8059356,41,2,1231.0030520002329,1170.965,0.0,8.805,200,0,True,
1788447830.825938,42,2,1250.9325120008725,1186.599,0.0,12.978,200,0,True,
1788447830.837922,43,2,1262.8381030008313,1207.409,0.0,4.111,200,0,True,
1788447830.8619223,44,2,1286.6395590008324,1227.835,0.0,7.697,200,0,True,
1788447830.873088,45,2,1297.7333489998273,1247.377,0.0,2.934,200,0,True,
1788447840.4379778,46,3,54.669938999722945,0.0,0.0,12.003,200,0,True,
1788447841.9984353,47,3,1614.7909929986781,0.0,1605.452,4.825,200,1,True,
1788447842.038345,48,3,1654.5434780000505,0.0,1642.903,6.332,200,1,True,
1788447842.0746942,49,3,1690.7057099997473,0.0,1683.168,1.709,200,1,True,
1788447842.0725882,50,3,1688.4754249986145,0.0,1676.052,1.617,200,1,True,
1788447842.0003278,51,3,1616.1451379994105,0.0,1590.338,7.155,200,1,True,
1788447842.0127497,52,3,1628.465175999736,0.0,1599.472,2.445,200,1,True,
1788447842.0936813,53,3,1709.3204039992997,0.0,1680.282,1.809,200,1,True,
1788447840.4459827,54,3,61.560992000522674,15.557,0.0,8.168,200,0,True,
1788447840.4700117,55,3,85.51396700022451,38.229,0.0,9.418,200,0,True,
1788447840.4939597,56,3,109.36521999974502,55.534,0.0,8.094,200,0,True,
1788447840.5035343,57,3,118.8547709989507,79.998,0.0,4.833,200,0,True,
1788447840.5175238,58,3,132.77531099993212,96.939,0.0,1.788,200,0,True,
1788447840.541955,59,3,156.89820700026758,113.147,0.0,6.899,200,0,True,
1788447840.5659533,60,3,180.79985300028056,128.211,0.0,15.239,200,0,True,
1788447852.0739293,61,4,1612.2355170009541,0.0,1597.773,8.932,200,1,True,
1788447852.1358483,62,4,1673.866970000745,0.0,1659.964,5.303,200,1,True,
1788447852.122363,63,4,1660.2982910007995,0.0,1634.689,8.759,200,1,True,
1788447852.1564386,64,4,1694.3099729996902,0.0,1667.623,2.232,200,1,True,
1788447852.130713,65,4,1668.5229949998757,0.0,1633.925,8.824,200,1,True,
1788447852.174646,66,4,1712.3890810016746,0.0,1683.647,1.487,200,1,True,
1788447852.155695,67,4,1693.3773009986908,0.0,1663.162,2.28,200,1,True,
1788447851.3419058,68,4,879.525062000539,818.493,0.0,10.06,200,0,True,
1788447851.3553436,69,4,892.9032989999541,839.461,0.0,9.133,200,0,True,
1788447851.371845,70,4,909.3489160004538,863.466,0.0,1.612,200,0,True,
1788447851.405913,71,4,943.3573490005074,883.459,0.0,8.09,200,0,True,
1788447851.411645,72,4,949.034663999555,903.476,0.0,1.423,200,0,True,
1788447851.4419193,73,4,979.2547159995593,919.411,0.0,10.924,200,0,True,
1788447851.4472735,74,4,984.3897350001498,935.441,0.0,5.1,200,0,True,
1788447851.4699063,75,4,1006.9586150002579,950.706,0.0,8.847,200,0,True,
