t,request_id,cycle_id,latency_ms,queue_ms,cold_ms,service_ms,status,cold,ok,err
1788445488.1104653,1,0,2122.0356930007256,0.0,2097.704,19.616,200,1,True,
1788445488.0539615,2,0,2065.2237419999437,0.0,2045.159,7.562,200,1,True,
1788445488.06276,3,0,2073.6521230001017,0.0,2060.643,4.979,200,1,True,
1788445488.1669888,4,0,2177.637435000179,0.0,2157.028,6.941,200,1,True,
1788445488.164054,5,0,2174.553994999769,0.0,2149.033,3.575,200,1,True,
1788445488.1774282,6,0,2187.7015919999394,0.0,2158.99,3.079,200,1,True,
1788445488.197346,7,0,2207.457870000326,0.0,2172.24,2.097,200,1,True,
1788445488.0693636,8,0,2079.350598000019,0.0,2035.036,2.69,200,1,True,
1788445488.0628192,9,0,2072.3264789994573,2012.683,0.0,4.956,200,0,True,
1788445488.0810537,10,0,2090.4075709995595,2029.168,0.0,6.743,200,0,True,
1788445488.0809474,11,0,2090.1866309995967,2029.327,0.0,6.152,200,0,True,
1788445488.0810134,12,0,2090.1245160002873,2029.34,0.0,6.278,200,0,True,
1788445488.1013386,13,0,2110.3301510001984,2047.032,0.0,8.011,200,0,True,
1788445488.101183,14,0,2109.9659699993936,2047.123,0.0,7.632,200,0,True,
1788445488.1012926,15,0,2109.864130999995,2047.101,0.0,7.714,200,0,True,
1788445499.6375923,16,1,2060.026793000361,0.0,2053.812,2.205,200,1,True,
1788445499.6239443,17,1,2046.025118000216,0.0,2034.993,5.877,200,1,True,
1788445499.4889433,18,1,1910.9320719999232,0.0,1886.292,16.735,200,1,True,
1788445499.4897976,19,1,1911.719015000017,0.0,1889.793,8.646,200,1,True,
1788445499.5249295,20,1,1946.7858230000274,0.0,1911.655,13.028,200,1,True,
1788445499.590065,21,1,2011.8155990003288,0.0,1979.455,2.999,200,1,True,
1788445499.6420603,22,1,2063.7385519994496,0.0,2028.494,2.454,200,1,True,
1788445499.6394787,23,1,2061.0956710006576,0.0,2021.642,5.299,200,1,True,
1788445499.511547,24,1,1933.0885029994533,1868.819,0.0,13.021,200,0,True,
1788445499.5114884,25,1,1932.9360249994352,1870.274,0.0,12.311,200,0,True,
1788445499.5200112,26,1,1941.394909000337,1886.241,0.0,5.081,200,0,True,
1788445499.5200713,27,1,1941.3958479999565,1886.264,0.0,5.079,200,0,True,
1788445499.538735,28,1,1959.9839709999287,1902.306,0.0,9.543,200,0,True,
1788445499.5390038,29,1,1959.9698829997578,1902.328,0.0,9.717,200,0,True,
1788445499.535773,30,1,1956.6740740001478,1902.329,0.0,4.679,200,0,True,
1788445510.4719055,31,2,1977.348487999734,0.0,1959.491,14.253,200,1,True,
1788445510.4867554,32,2,1991.8998499997542,0.0,1978.383,8.527,200,1,True,
1788445510.5010788,33,2,2006.1467239993362,0.0,1998.087,1.783,200,1,True,
1788445510.4352076,34,2,1940.2088970000477,0.0,1899.238,15.972,200,1,True,
1788445510.523345,35,2,2028.2817370007251,0.0,2008.541,2.016,200,1,True,
1788445510.4489698,36,2,1953.7931489994662,0.0,1927.579,5.195,200,1,True,
1788445510.450866,37,2,1955.6122080002751,0.0,1912.976,14.837,200,1,True,
1788445510.4863706,38,2,1991.0427060003713,0.0,1948.355,2.847,200,1,True,
1788445510.4362035,39,2,1940.8083849994,1883.41,0.0,7.738,200,0,True,
1788445510.4490688,40,2,1953.6106440000367,1900.281,0.0,5.187,200,0,True,
1788445510.4660597,41,2,1970.5410349997692,1915.757,0.0,6.367,200,0,True,
1788445510.4661016,42,2,1970.5233599997882,1915.777,0.0,6.372,200,0,True,
1788445510.4659789,43,2,1970.3417840000839,1915.784,0.0,2.394,200,0,True,
1788445510.4804504,44,2,1984.6569100000124,1934.959,0.0,1.722,200,0,True,
1788445510.48631,45,2,1990.4622330004713,1934.964,0.0,3.138,200,0,True,
1788445521.5242805,46,3,1975.569256000199,0.0,1964.435,7.592,200,1,True,
1788445521.4539611,47,3,1904.8721200006185,0.0,1886.268,10.543,200,1,True,
1788445521.579685,48,3,2030.4767749994426,0.0,2021.735,2.435,200,1,True,
1788445521.4940355,49,3,1944.7484900001655,0.0,1921.262,7.026,200,1,True,
1788445521.5447636,50,3,1995.3739279999354,0.0,1971.909,1.959,200,1,True,
1788445521.5804422,51,3,2030.9459800000695,0.0,1997.905,3.638,200,1,True,
1788445521.4939766,52,3,1944.4069350001882,0.0,1904.515,6.686,200,1,True,
1788445521.4815915,53,3,1931.881606999923,0.0,1885.479,5.595,200,1,True,
1788445521.4584184,54,3,1908.639055999629,1854.468,0.0,7.571,200,0,True,
1788445521.481531,55,3,1931.6873380003017,1877.369,0.0,5.062,200,0,True,
1788445521.4965236,56,3,1946.620239999902,1897.364,0.0,4.399,200,0,True,
1788445521.496435,57,3,1946.4706349999688,1897.386,0.0,4.017,200,0,True,
1788445521.4941196,58,3,1944.0987179996227,1897.389,0.0,1.292,200,0,True,
