t,request_id,cycle_id,latency_ms,queue_ms,cold_ms,service_ms,status,cold,ok,err
1788951876.379508,1,0,698.4717670002283,0.0,690.476,2.398,200,1,True,
1788951876.4630113,2,0,781.6520040000796,0.0,771.004,2.73,200,1,True,
1788951876.4653454,3,0,783.5950670000784,0.0,772.674,2.096,200,1,True,
1788951876.3974538,4,0,715.4098709997925,695.141,0.0,5.518,200,0,True,
1788951876.4096386,5,0,727.4089640000057,711.633,0.0,1.813,200,0,True,
1788951876.4294639,6,0,747.0937260000028,728.299,0.0,4.925,200,0,True,
1788951876.4426832,7,0,760.1826380000603,744.505,0.0,1.917,200,0,True,
1788951876.4628763,8,0,780.2442890001657,759.791,0.0,6.766,200,0,True,
1788951876.4737854,9,0,790.611004999846,775.589,0.0,2.006,200,0,True,
1788951876.4745045,10,0,791.0861519999344,775.626,0.0,2.574,200,0,True,
1788951876.4749012,11,0,791.3167100000464,775.631,0.0,2.925,200,0,True,
1788951876.4915113,12,0,807.7317380002569,791.664,0.0,3.582,200,0,True,
1788951876.4914482,13,0,807.4595289999706,791.683,0.0,2.884,200,0,True,
1788951876.4905078,14,0,806.3177500002894,791.685,0.0,1.94,200,0,True,
1788951876.506419,15,0,822.0547370001441,807.727,0.0,2.495,200,0,True,
1788951886.3801255,16,1,754.6421990000454,0.0,748.142,2.271,200,1,True,
1788951886.3148522,17,1,689.0439419998984,0.0,681.438,2.191,200,1,True,
1788951886.4873526,18,1,861.4531949997399,0.0,851.976,2.435,200,1,True,
1788951886.3326519,19,1,706.6609100002097,689.191,0.0,2.438,200,0,True,
1788951886.3532345,20,1,727.1694309997656,707.634,0.0,5.153,200,0,True,
1788951886.3708105,21,1,744.6763579996514,723.691,0.0,2.637,200,0,True,
1788951886.3822982,22,1,756.0240679999879,739.513,0.0,2.475,200,0,True,
1788951886.381856,23,1,755.5093720002333,739.524,0.0,1.85,200,0,True,
1788951886.3995697,24,1,773.1447450000815,755.581,0.0,2.09,200,0,True,
1788951886.4001703,25,1,773.6593419999735,755.587,0.0,3.949,200,0,True,
1788951886.4158597,26,1,789.2782469998565,771.308,0.0,4.148,200,0,True,
1788951886.4162288,27,1,789.5806350002204,771.332,0.0,4.352,200,0,True,
1788951886.4302838,28,1,803.5680299999512,786.554,0.0,3.164,200,0,True,
1788951886.4303348,29,1,803.2331429999431,786.4,0.0,3.064,200,0,True,
1788951886.4442158,30,1,816.8673349996425,801.743,0.0,1.72,200,0,True,
1788951897.191593,31,2,803.9015190001919,0.0,796.466,3.674,200,1,True,
1788951897.142939,32,2,754.9589860000196,0.0,747.444,2.344,200,1,True,
1788951897.1801515,33,2,792.0781930001795,0.0,781.714,2.004,200,1,True,
1788951897.1595817,34,2,771.433445999719,758.232,0.0,3.345,200,0,True,
1788951897.1740677,35,2,785.8473609999237,774.828,0.0,1.84,200,0,True,
1788951897.1915257,36,2,803.2377640001869,790.201,0.0,2.877,200,0,True,
1788951897.1916313,37,2,803.2794209998428,790.213,0.0,3.013,200,0,True,
1788951897.205915,38,2,817.4139509997076,805.428,0.0,3.292,200,0,True,
1788951897.2052336,39,2,816.6602619999139,805.469,0.0,2.329,200,0,True,
1788951897.2048433,40,2,816.2024610001026,805.474,0.0,1.683,200,0,True,
1788951897.2204385,41,2,831.7164149998462,821.137,0.0,1.908,200,0,True,
1788951897.222483,42,2,833.6949640001876,821.671,0.0,3.617,200,0,True,
1788951897.2223742,43,2,833.5190329999023,821.544,0.0,3.231,200,0,True,
1788951897.2372427,44,2,848.1819100002213,837.553,0.0,2.136,200,0,True,
1788951897.237644,45,2,848.518575000071,837.57,0.0,2.356,200,0,True,
1788951906.9601374,46,3,688.4329419999631,0.0,676.878,7.706,200,1,True,
1788951907.046509,47,3,774.4359989997065,0.0,762.907,6.601,200,1,True,
1788951907.105954,48,3,833.7565689998883,0.0,822.856,2.468,200,1,True,
1788951906.9651425,49,3,692.8667489996769,678.072,0.0,5.186,200,0,True,
1788951906.9795885,50,3,707.2408829999404,694.35,0.0,1.983,200,0,True,
1788951906.9932456,51,3,720.8296710000468,710.154,0.0,1.793,200,0,True,
1788951907.013308,52,3,740.823072999774,726.735,0.0,4.933,200,0,True,
1788951907.0276792,53,3,755.1302639999449,742.431,0.0,2.289,200,0,True,
1788951907.042441,54,3,769.825394000236,758.297,0.0,2.104,200,0,True,
1788951907.0590973,55,3,786.3558750000266,773.87,0.0,3.469,200,0,True,
1788951907.0593605,56,3,786.5366559999529,773.881,0.0,3.497,200,0,True,
1788951907.0774426,57,3,804.5513400002164,789.373,0.0,3.105,200,0,True,
1788951907.0775492,58,3,804.5954090002851,789.361,0.0,5.126,200,0,True,
1788951907.0927322,59,3,819.575284000166,806.249,0.0,2.785,200,0,True,
1788951907.0936713,60,3,820.4513440000483,806.278,0.0,5.266,200,0,True,
1788951916.8239932,61,4,711.8039779998071,0.0,702.916,5.214,200,1,True,
1788951916.9435225,62,4,831.0399199999665,0.0,824.624,1.866,200,1,True,
1788951916.8241036,63,4,711.5246749999642,0.0,697.027,9.33,200,1,True,
1788951916.8270552,64,4,714.3878839997342,702.862,0.0,1.615,200,0,True,
1788951916.827155,65,4,714.4159179997587,703.355,0.0,2.536,200,0,True,
1788951916.8440294,66,4,731.2215699998887,719.338,0.0,3.455,200,0,True,
1788951916.844084,67,4,731.2125379999088,719.071,0.0,3.372,200,0,True,
1788951916.8603997,68,4,747.3831410002276,734.955,0.0,4.285,200,0,True,
1788951916.8599913,69,4,746.8887099998938,734.965,0.0,2.928,200,0,True,
1788951916.8766289,70,4,763.4594209998795,750.684,0.0,4.59,200,0,True,
1788951916.876575,71,4,763.3394520003094,750.699,0.0,3.314,200,0,True,
1788951916.892069,72,4,778.7703340000007,766.678,0.0,4.216,200,0,True,
1788951916.8914013,73,4,778.0374279996067,766.696,0.0,2.864,200,0,True,
1788951916.9069202,74,4,793.3340130002762,782.109,0.0,2.141,200,0,True,
1788951916.9078085,75,4,794.1464200002883,782.127,0.0,3.817,200,0,True,
