t,request_id,cycle_id,latency_ms,queue_ms,cold_ms,service_ms,status,cold,ok,err
1788969445.4941072,1,0,652.5094100006754,0.0,646.124,2.51,200,1,True,
1788969445.4774277,2,0,635.534101000303,0.0,625.126,1.724,200,1,True,
1788969445.5329661,3,0,690.7282370002576,0.0,677.147,1.604,200,1,True,
1788969445.4898689,4,0,647.4590640000315,629.797,0.0,3.742,200,0,True,
1788969445.5019915,5,0,659.4670200001929,645.406,0.0,1.465,200,0,True,
1788969445.503344,6,0,660.7128679997913,645.428,0.0,2.649,200,0,True,
1788969445.5199163,7,0,677.1619769997415,662.259,0.0,1.614,200,0,True,
1788969445.5200965,8,0,677.2082809993663,662.278,0.0,2.562,200,0,True,
1788969445.5351021,9,0,691.8157180007256,678.034,0.0,1.473,200,0,True,
1788969445.5351508,10,0,691.6743640003915,678.045,0.0,1.629,200,0,True,
1788969445.5352654,11,0,691.6454720003458,678.045,0.0,2.015,200,0,True,
1788969445.5513668,12,0,707.6080430006186,694.527,0.0,1.707,200,0,True,
1788969445.5526335,13,0,708.6976900000082,694.585,0.0,2.84,200,0,True,
1788969445.5512223,14,0,707.1704540003338,694.587,0.0,1.288,200,0,True,
1788969445.566297,15,0,722.0904599998903,709.961,0.0,1.281,200,0,True,
1788969454.4376948,16,1,567.2481419996984,0.0,562.43,1.439,200,1,True,
1788969454.5229125,17,1,652.1365569997215,0.0,645.206,1.719,200,1,True,
1788969454.3992994,18,1,528.4224469996843,0.0,520.48,1.988,200,1,True,
1788969454.4065564,19,1,535.5938960001367,515.53,0.0,4.871,200,0,True,
1788969454.4185696,20,1,547.531493999486,531.161,0.0,1.49,200,0,True,
1788969454.4343853,21,1,563.2160330005718,547.127,0.0,1.371,200,0,True,
1788969454.4502432,22,1,578.9968010003577,562.4,0.0,1.253,200,0,True,
1788969454.450336,23,1,579.0024690004429,562.404,0.0,2.045,200,0,True,
1788969454.4667795,24,1,595.3728000004048,578.514,0.0,1.359,200,0,True,
1788969454.4670212,25,1,595.5391440002131,578.519,0.0,2.342,200,0,True,
1788969454.4817228,26,1,610.1696010000524,593.864,0.0,1.271,200,0,True,
1788969454.4820137,27,1,610.3930740000578,593.869,0.0,2.298,200,0,True,
