t,request_id,cycle_id,latency_ms,queue_ms,cold_ms,service_ms,status,cold,ok,err
1788966132.3314521,1,0,718.7218409999332,0.0,711.755,2.854,200,1,True,
1788966132.349411,2,0,736.3947980002195,0.0,727.614,1.698,200,1,True,
1788966132.26853,3,0,655.0795439998183,0.0,640.315,1.735,200,1,True,
1788966132.2742035,4,0,660.5482299996766,645.249,0.0,1.25,200,0,True,
1788966132.293952,5,0,680.1604899997074,661.094,0.0,5.607,200,0,True,
1788966132.3059766,6,0,692.0463439996638,676.846,0.0,1.902,200,0,True,
1788966132.323699,7,0,709.6451869997509,692.627,0.0,1.778,200,0,True,
1788966132.337888,8,0,723.7268630001381,708.616,0.0,1.837,200,0,True,
1788966132.3379352,9,0,723.2969669998965,708.629,0.0,1.896,200,0,True,
1788966132.353442,10,0,738.5891970002376,723.807,0.0,1.608,200,0,True,
1788966132.3535593,11,0,738.5549420000643,723.835,0.0,2.556,200,0,True,
1788966132.3534884,12,0,738.3689900002537,723.833,0.0,2.234,200,0,True,
1788966132.3715956,13,0,756.3796800000091,740.963,0.0,3.315,200,0,True,
1788966132.3716853,14,0,756.3638370002082,740.981,0.0,3.288,200,0,True,
1788966132.371747,15,0,756.2503849999302,740.984,0.0,3.353,200,0,True,
1788966141.8113515,16,1,9.565321000081894,0.0,0.0,4.109,200,0,True,
1788966142.2019694,17,1,399.92034800025067,0.0,395.376,1.603,200,1,True,
1788966142.2244112,18,1,422.2828750002918,0.0,415.988,1.899,200,1,True,
1788966141.825673,19,1,23.48096599962446,15.557,0.0,2.919,200,0,True,
1788966141.8428204,20,1,40.56554999988293,30.842,0.0,4.704,200,0,True,
1788966141.855433,21,1,53.06264000000738,46.866,0.0,1.283,200,0,True,
1788966141.8754282,22,1,72.95023899996522,66.387,0.0,1.335,200,0,True,
1788966141.891105,23,1,88.53198799988604,82.526,0.0,1.306,200,0,True,
1788966141.9133878,24,1,110.72744300008708,98.02,0.0,4.506,200,0,True,
1788966141.9220414,25,1,119.2817730002389,113.494,0.0,1.314,200,0,True,
1788966141.937858,26,1,135.03760499997952,129.175,0.0,1.45,200,0,True,
1788966141.9529998,27,1,150.12163400024292,144.504,0.0,1.258,200,0,True,
1788966141.968529,28,1,165.57770500003244,160.012,0.0,1.259,200,0,True,
1788966141.9840553,29,1,180.67593599971588,175.568,0.0,1.277,200,0,True,
1788966142.0000112,30,1,196.56375499971546,191.561,0.0,1.252,200,0,True,
1788966150.7683551,31,2,22.364843000104884,0.0,0.0,2.224,200,0,True,
1788966151.1617599,32,2,415.43284099998345,0.0,400.246,2.015,200,1,True,
1788966151.1825771,33,2,436.15298199983954,0.0,419.959,1.462,200,1,True,
1788966150.7894206,34,2,42.927486000280624,16.805,0.0,3.065,200,0,True,
1788966150.80179,35,2,55.232537999927445,32.156,0.0,3.576,200,0,True,
1788966150.8177624,36,2,71.13987599996108,47.925,0.0,3.766,200,0,True,
1788966150.8337715,37,2,87.08808800020051,63.913,0.0,3.779,200,0,True,
