t,request_id,cycle_id,latency_ms,queue_ms,cold_ms,service_ms,status,cold,ok,err
1788952556.615433,1,0,761.0029439997561,0.0,752.917,2.515,200,1,True,
1788952556.6745734,2,0,819.8112690001835,0.0,806.886,2.807,200,1,True,
1788952556.633263,3,0,778.0860829998346,0.0,764.263,2.628,200,1,True,
1788952556.6304853,4,0,774.9967049999213,749.982,0.0,1.884,200,0,True,
1788952556.648747,5,0,793.0915880001521,767.466,0.0,4.353,200,0,True,
1788952556.6488173,6,0,792.9264199997306,767.502,0.0,4.172,200,0,True,
1788952556.664065,7,0,808.0161609996139,783.575,0.0,4.024,200,0,True,
1788952556.6639352,8,0,807.4791929998355,783.58,0.0,3.298,200,0,True,
1788952556.6797435,9,0,823.1287930002509,799.368,0.0,3.881,200,0,True,
1788952556.678745,10,0,821.9090640000104,799.38,0.0,1.344,200,0,True,
1788952556.6799312,11,0,822.9254130001209,799.379,0.0,3.842,200,0,True,
1788952556.6941779,12,0,837.0018939999682,814.901,0.0,2.042,200,0,True,
1788952556.6942308,13,0,836.9229329996415,814.913,0.0,2.208,200,0,True,
1788952556.6947386,14,0,837.3090719996981,814.909,0.0,2.887,200,0,True,
1788952556.7091017,15,0,851.5498010001465,830.567,0.0,1.935,200,0,True,
1788952565.0454447,16,1,8.126781000100891,0.0,0.0,3.437,200,0,True,
1788952565.0455675,17,1,7.9485330002171395,0.0,0.0,4.235,200,0,True,
1788952565.0454988,18,1,7.787513000039326,0.0,0.0,3.297,200,0,True,
1788952565.0588715,19,1,21.071391999612388,16.082,0.0,1.838,200,0,True,
1788952565.0601137,20,1,22.23950200004765,16.092,0.0,2.917,200,0,True,
1788952565.0608697,21,1,22.921346000202902,16.091,0.0,3.473,200,0,True,
1788952565.0751472,22,1,37.09748000028412,31.417,0.0,1.952,200,0,True,
1788952565.0752614,23,1,37.112612999862904,31.434,0.0,2.046,200,0,True,
1788952565.0753555,24,1,37.137984999844775,31.435,0.0,2.462,200,0,True,
1788952565.090631,25,1,52.34018500004822,46.703,0.0,2.026,200,0,True,
1788952565.090685,26,1,52.32662499975049,46.714,0.0,2.328,200,0,True,
1788952565.0907633,27,1,52.33752799995273,46.714,0.0,2.541,200,0,True,
1788952565.106336,28,1,67.84549500025605,62.158,0.0,2.036,200,0,True,
