t,request_id,cycle_id,latency_ms,queue_ms,cold_ms,service_ms,status,cold,ok,err
1788963904.4269974,1,0,530.1199759999236,0.0,520.448,6.119,200,1,True,
1788963904.5483353,2,0,651.1095660000592,0.0,643.9,1.471,200,1,True,
1788963904.4456418,3,0,548.0996579999555,0.0,537.665,1.791,200,1,True,
1788963904.4440007,4,0,546.2984179998784,533.58,0.0,3.02,200,0,True,
1788963904.4579272,5,0,560.1123460000963,549.247,0.0,1.729,200,0,True,
1788963904.4599738,6,0,562.0283590001236,549.274,0.0,3.525,200,0,True,
1788963904.4743962,7,0,576.3401500000782,564.718,0.0,2.891,200,0,True,
1788963904.4739878,8,0,575.7792200001859,564.726,0.0,1.235,200,0,True,
1788963904.4899588,9,0,591.3288770000236,580.592,0.0,2.554,200,0,True,
1788963904.49054,10,0,591.7839329999879,580.609,0.0,3.007,200,0,True,
1788963904.5060403,11,0,607.1844770001462,596.677,0.0,2.433,200,0,True,
1788963904.506389,12,0,607.4383350000971,596.688,0.0,2.822,200,0,True,
1788963904.5219898,13,0,622.9378120001456,612.059,0.0,2.763,200,0,True,
1788963904.5219493,14,0,622.750318000044,612.023,0.0,2.086,200,0,True,
1788963904.5356572,15,0,636.3490520000141,627.395,0.0,1.437,200,0,True,
1788963913.9373662,16,1,6.858111999918037,0.0,0.0,3.078,200,0,True,
1788963913.937411,17,1,6.634291999944253,0.0,0.0,2.815,200,0,True,
1788963913.9379163,18,1,7.0649950000643,0.0,0.0,3.013,200,0,True,
1788963913.9520714,19,1,21.1440489999859,15.741,0.0,1.88,200,0,True,
1788963913.9521246,20,1,21.080930999914926,15.756,0.0,1.918,200,0,True,
1788963913.9528246,21,1,21.711563999815553,15.757,0.0,2.825,200,0,True,
1788963913.9685647,22,1,37.37897299993165,31.452,0.0,2.056,200,0,True,
1788963913.9686162,23,1,37.34606299985899,31.512,0.0,2.071,200,0,True,
1788963913.9687028,24,1,37.3450590000175,31.516,0.0,2.676,200,0,True,
1788963913.9840384,25,1,52.61861299982229,47.173,0.0,1.965,200,0,True,
1788963913.9841027,26,1,52.62462099994991,47.19,0.0,1.936,200,0,True,
1788963913.9841745,27,1,52.62143400000241,47.19,0.0,2.476,200,0,True,
1788963913.9992313,28,1,67.62012399985906,62.599,0.0,1.93,200,0,True,
1788963913.9992838,29,1,67.33828500000527,62.618,0.0,1.862,200,0,True,
1788963913.9993458,30,1,67.24780700005795,62.621,0.0,2.4,200,0,True,
1788963922.28537,31,2,6.7929609999737295,0.0,0.0,3.232,200,0,True,
1788963922.2854166,32,2,6.57276200013257,0.0,0.0,2.942,200,0,True,
1788963922.2859528,33,2,6.920345000025918,0.0,0.0,2.913,200,0,True,
1788963922.2991657,34,2,19.986701000107132,15.575,0.0,1.655,200,0,True,
1788963922.300029,35,2,20.781827000064368,15.583,0.0,2.407,200,0,True,
1788963922.2998495,36,2,20.543096999972477,15.584,0.0,2.039,200,0,True,
1788963922.317671,37,2,38.307564999968235,32.826,0.0,1.721,200,0,True,
1788963922.3177333,38,2,38.31150000019079,32.84,0.0,1.691,200,0,True,
1788963922.3178308,39,2,38.35064200006855,32.842,0.0,2.628,200,0,True,
1788963922.33257,40,2,53.03529500019977,48.334,0.0,2.14,200,0,True,
1788963922.3338306,41,2,54.22438699997656,48.351,0.0,3.361,200,0,True,
1788963922.3335605,42,2,53.899153999964255,48.355,0.0,2.591,200,0,True,
1788963922.3483315,43,2,68.60768300020936,63.757,0.0,2.748,200,0,True,
1788963922.3478484,44,2,67.92934300005982,63.779,0.0,2.095,200,0,True,
1788963922.347489,45,2,67.50454200005152,63.778,0.0,1.476,200,0,True,
1788963930.701901,46,3,8.245089999945776,0.0,0.0,3.394,200,0,True,
1788963930.7018473,47,3,7.649551999975301,0.0,0.0,2.693,200,0,True,
1788963930.7019713,48,3,7.5750429998606705,0.0,0.0,3.031,200,0,True,
1788963930.7162185,49,3,21.68238200010819,15.627,0.0,1.86,200,0,True,
1788963930.7162776,50,3,21.66006200013726,15.634,0.0,2.079,200,0,True,
1788963930.7163556,51,3,21.669814000006227,15.629,0.0,2.338,200,0,True,
1788963930.7313077,52,3,36.55950099982874,30.928,0.0,2.667,200,0,True,
1788963930.7309537,53,3,36.091620999968654,30.941,0.0,1.864,200,0,True,
1788963930.7316656,54,3,36.69744600006197,30.94,0.0,2.588,200,0,True,
1788963930.7470465,55,3,51.98687600000085,46.327,0.0,2.528,200,0,True,
1788963930.7470958,56,3,51.96992199989836,46.386,0.0,2.435,200,0,True,
1788963930.747126,57,3,51.92713500014179,46.385,0.0,2.512,200,0,True,
1788963930.7642353,58,3,68.97400000002563,63.533,0.0,2.857,200,0,True,
1788963930.7641695,59,3,68.71902499983662,63.547,0.0,1.714,200,0,True,
1788963930.7641177,60,3,68.5651589999452,63.546,0.0,1.353,200,0,True,
1788963938.951033,61,4,8.042543999863483,0.0,0.0,3.955,200,0,True,
1788963938.9504569,62,4,7.072629000049346,0.0,0.0,2.661,200,0,True,
1788963938.9505105,63,4,6.96726099999978,0.0,0.0,2.16,200,0,True,
1788963938.9655364,64,4,21.874962000083542,15.428,0.0,1.915,200,0,True,
1788963938.9654872,65,4,21.609180000041306,15.433,0.0,1.52,200,0,True,
1788963938.9655998,66,4,21.585969999932786,15.434,0.0,2.793,200,0,True,
1788963938.9807107,67,4,36.590329999853566,30.899,0.0,1.579,200,0,True,
1788963938.9807858,68,4,36.57205200011049,30.912,0.0,1.932,200,0,True,
1788963938.9808428,69,4,36.52858300006301,30.914,0.0,2.118,200,0,True,
1788963938.9971926,70,4,52.79142199992748,46.644,0.0,1.949,200,0,True,
1788963938.9970357,71,4,52.54860100012593,46.657,0.0,1.367,200,0,True,
