t,request_id,cycle_id,latency_ms,queue_ms,cold_ms,service_ms,status,cold,ok,err
1788443761.4987872,1,0,776.3777520003714,0.0,767.491,4.447,200,1,True,
1788443761.455502,2,0,732.7504180002506,0.0,722.791,3.05,200,1,True,
1788443761.4234312,3,0,700.2019429992288,0.0,675.882,11.706,200,1,True,
1788443761.4306939,4,0,707.2041520004859,691.722,0.0,2.597,200,0,True,
1788443761.447483,5,0,723.8563780001641,707.56,0.0,4.085,200,0,True,
1788443761.4633336,6,0,739.6015710000938,723.659,0.0,4.123,200,0,True,
1788443761.4624875,7,0,738.2536269997217,723.678,0.0,2.888,200,0,True,
1788443761.4806569,8,0,756.2167920004867,739.286,0.0,5.634,200,0,True,
1788443761.479773,9,0,755.200483000408,739.331,0.0,3.843,200,0,True,
1788443761.4973874,10,0,772.7111740005057,755.528,0.0,2.654,200,0,True,
1788443761.497483,11,0,772.6700700004585,755.545,0.0,5.639,200,0,True,
1788443761.5105236,12,0,785.392408000007,771.058,0.0,2.313,200,0,True,
1788443761.510812,13,0,785.5043190002107,771.087,0.0,3.839,200,0,True,
1788443761.5106306,14,0,785.1810029997068,771.093,0.0,3.34,200,0,True,
1788443761.5252647,15,0,799.6642919997612,786.774,0.0,2.668,200,0,True,
1788443771.484128,16,1,629.8732900004325,0.0,625.438,1.471,200,1,True,
1788443771.4794874,17,1,624.9446409992743,0.0,619.44,1.427,200,1,True,
1788443771.5221334,18,1,667.511951999586,0.0,661.138,1.559,200,1,True,
1788443771.4914417,19,1,636.7452530002993,622.768,0.0,1.65,200,0,True,
1788443771.491398,20,1,636.6372429993135,622.824,0.0,1.233,200,0,True,
1788443771.5077696,21,1,652.8858149995358,639.372,0.0,1.468,200,0,True,
1788443771.5081582,22,1,653.1947240000591,639.392,0.0,1.796,200,0,True,
1788443771.5241756,23,1,669.1521080001621,655.666,0.0,1.455,200,0,True,
1788443771.5242286,24,1,669.1316890000962,655.701,0.0,1.491,200,0,True,
1788443771.524691,25,1,669.5353069999328,655.703,0.0,2.027,200,0,True,
1788443771.540973,26,1,685.757287999877,672.384,0.0,1.621,200,0,True,
1788443771.5418005,27,1,686.4688550003848,672.403,0.0,2.03,200,0,True,
1788443771.5418463,28,1,686.4467429995784,672.404,0.0,2.151,200,0,True,
1788443771.5578077,29,1,702.1945299993604,689.266,0.0,1.639,200,0,True,
1788443771.557685,30,1,702.0163619999948,689.28,0.0,1.254,200,0,True,
1788443782.0787668,31,2,630.7692419995874,0.0,624.905,2.811,200,1,True,
1788443782.1410623,32,2,692.8105320002942,0.0,686.833,1.599,200,1,True,
1788443781.9779332,33,2,529.6065779994024,0.0,516.194,2.464,200,1,True,
1788443781.990274,34,2,541.8834150004841,529.225,0.0,5.785,200,0,True,
1788443782.0063298,35,2,557.880445999217,545.775,0.0,5.534,200,0,True,
1788443782.0224297,36,2,573.8901479999186,561.553,0.0,5.903,200,0,True,
1788443782.0341616,37,2,585.5429639996146,576.782,0.0,1.98,200,0,True,
1788443782.0503871,38,2,601.700621999953,593.627,0.0,1.766,200,0,True,
1788443782.0669453,39,2,618.1619660001161,610.467,0.0,1.483,200,0,True,
1788443782.084875,40,2,636.0244110001076,626.157,0.0,3.673,200,0,True,
1788443782.0849843,41,2,636.0731110007691,626.197,0.0,3.679,200,0,True,
1788443782.0994875,42,2,650.4878750001808,641.849,0.0,2.497,200,0,True,
1788443782.0995755,43,2,650.5173369996555,641.864,0.0,2.47,200,0,True,
1788443782.1177409,44,2,668.3575930001098,658.962,0.0,3.203,200,0,True,
1788443782.1178439,45,2,668.4036719998403,658.982,0.0,3.218,200,0,True,
1788443791.6060007,46,3,713.6228769995796,0.0,702.563,2.585,200,1,True,
1788443791.6102176,47,3,717.4832640002933,0.0,708.342,3.194,200,1,True,
1788443791.6653194,48,3,772.4682389998634,0.0,759.206,1.936,200,1,True,
1788443791.6189876,49,3,726.0654950005119,709.844,0.0,4.406,200,0,True,
1788443791.6185656,50,3,725.5457609999212,710.531,0.0,3.57,200,0,True,
1788443791.63482,51,3,741.7160809991401,726.47,0.0,4.145,200,0,True,
1788443791.6347048,52,3,741.5342750000491,726.498,0.0,3.605,200,0,True,
1788443791.6504092,53,3,757.1784430001571,743.294,0.0,2.891,200,0,True,
1788443791.6509888,54,3,757.6954429996476,743.294,0.0,3.378,200,0,True,
1788443791.6654491,55,3,772.0931670000937,758.478,0.0,2.804,200,0,True,
1788443791.665379,56,3,771.9635789999302,758.484,0.0,1.688,200,0,True,
1788443791.6868298,57,3,793.348989000151,775.654,0.0,7.148,200,0,True,
1788443791.6871722,58,3,793.6287370002901,775.679,0.0,7.228,200,0,True,
1788443791.6864407,59,3,792.5185820004117,775.678,0.0,6.148,200,0,True,
1788443791.6977503,60,3,803.7364829997387,791.708,0.0,1.831,200,0,True,
1788443801.3331363,61,4,694.7052229998008,0.0,686.364,4.712,200,1,True,
1788443801.394079,62,4,755.2990269996371,0.0,748.537,1.694,200,1,True,
1788443801.270025,63,4,631.1413840003297,0.0,622.31,2.26,200,1,True,
1788443801.2863677,64,4,647.3304429991913,629.656,0.0,5.406,200,0,True,
1788443801.2986875,65,4,659.5339490004335,646.085,0.0,1.773,200,0,True,
1788443801.3149936,66,4,675.7533979998698,662.216,0.0,1.881,200,0,True,
1788443801.3330328,67,4,693.7144869998519,677.866,0.0,3.998,200,0,True,
1788443801.349863,68,4,710.4673999992883,694.032,0.0,4.138,200,0,True,
1788443801.3490493,69,4,709.5732749994568,694.051,0.0,3.313,200,0,True,
1788443801.364264,70,4,724.7238899999502,710.159,0.0,3.226,200,0,True,
