t,request_id,cycle_id,latency_ms,queue_ms,cold_ms,service_ms,status,cold,ok,err
1788974588.1682267,1,0,602.1655439999449,0.0,595.669,2.118,200,1,True,
1788974587.9463427,2,0,379.8518650000915,0.0,370.827,2.533,200,1,True,
1788974588.1889243,3,0,622.0617909984867,0.0,609.215,1.501,200,1,True,
1788974587.9512517,4,0,384.16706300085934,371.028,0.0,1.145,200,0,True,
1788974587.967143,5,0,399.8547899991536,386.574,0.0,1.635,200,0,True,
1788974587.9864006,6,0,418.9428070003487,401.769,0.0,5.199,200,0,True,
1788974587.9981265,7,0,430.3721720007161,417.869,0.0,1.415,200,0,True,
1788974588.01777,8,0,449.8772880015167,433.383,0.0,5.502,200,0,True,
1788974588.030088,9,0,462.0539089992235,449.27,0.0,1.961,200,0,True,
1788974588.0455449,10,0,477.3887859992101,465.581,0.0,1.207,200,0,True,
1788974588.061404,11,0,493.0724569985614,481.409,0.0,1.111,200,0,True,
1788974588.0817306,12,0,513.2468749998225,497.508,0.0,5.417,200,0,True,
1788974588.0934136,13,0,524.7943970007327,513.382,0.0,1.153,200,0,True,
1788974588.1123486,14,0,543.5792610005592,528.785,0.0,4.739,200,0,True,
1788974588.1244524,15,0,555.5451319996791,544.413,0.0,1.24,200,0,True,
1788974596.8549695,16,1,474.9247629988531,0.0,464.77,6.588,200,1,True,
1788974596.9778242,17,1,597.4251950010512,0.0,590.852,2.089,200,1,True,
1788974597.0398352,18,1,659.3526289998408,0.0,650.513,1.627,200,1,True,
1788974596.861326,19,1,480.7764529996348,466.028,0.0,1.141,200,0,True,
1788974596.8765676,20,1,495.95700100144313,481.624,0.0,1.064,200,0,True,
1788974596.8923604,21,1,511.69538499925693,497.383,0.0,1.069,200,0,True,
1788974596.908424,22,1,527.7050500008045,513.301,0.0,1.235,200,0,True,
1788974596.9241486,23,1,543.3743409994349,529.105,0.0,1.133,200,0,True,
1788974596.9429903,24,1,562.1645449991775,547.695,0.0,1.348,200,0,True,
1788974596.9584022,25,1,577.5261480011977,563.072,0.0,1.348,200,0,True,
1788974596.9746327,26,1,593.7076659993181,579.142,0.0,1.541,200,0,True,
1788974596.9895747,27,1,608.5960389991669,594.479,0.0,1.225,200,0,True,
1788974596.991198,28,1,610.1699390001158,594.487,0.0,2.688,200,0,True,
1788974597.0059457,29,1,624.6030679994874,609.977,0.0,2.109,200,0,True,
1788974597.0065222,30,1,625.1110330013034,609.982,0.0,2.592,200,0,True,
1788974607.011431,31,2,10.578837000139174,0.0,0.0,3.947,200,0,True,
1788974607.4122388,32,2,410.987737999676,0.0,405.308,2.061,200,1,True,
1788974607.4544034,33,2,453.05987499887124,0.0,446.493,1.573,200,1,True,
1788974607.0294003,34,2,27.98901000096521,15.183,0.0,4.035,200,0,True,
1788974607.0441067,35,2,42.631388001609594,35.04,0.0,1.574,200,0,True,
1788974607.0590436,36,2,57.50958399949013,50.079,0.0,1.385,200,0,True,
1788974607.07903,37,2,77.43783399928361,65.85,0.0,5.54,200,0,True,
1788974607.0909226,38,2,89.27308100101072,81.858,0.0,1.503,200,0,True,
1788974607.1115985,39,2,109.88778299906699,102.204,0.0,1.835,200,0,True,
1788974607.129726,40,2,127.96232199980295,119.04,0.0,3.174,200,0,True,
1788974607.1467493,41,2,144.92735600106244,134.408,0.0,4.741,200,0,True,
1788974607.161719,42,2,159.84326499892632,150.233,0.0,4.006,200,0,True,
1788974607.174725,43,2,172.7946939990943,165.717,0.0,1.47,200,0,True,
1788974607.1912098,44,2,188.26996499956294,182.121,0.0,1.483,200,0,True,
1788974607.2111783,45,2,208.05906699933985,202.136,0.0,1.508,200,0,True,
1788974616.0925205,46,3,569.6201329992618,0.0,563.979,2.561,200,1,True,
1788974616.1723225,47,3,649.1543000011006,0.0,643.546,1.864,200,1,True,
1788974616.1542525,48,3,631.010483000864,0.0,624.662,1.616,200,1,True,
1788974616.1014094,49,3,578.0907169992133,562.192,0.0,1.524,200,0,True,
1788974616.1192188,50,3,595.8293709991267,578.241,0.0,6.512,200,0,True,
1788974616.1300995,51,3,606.6427229998226,594.228,0.0,1.513,200,0,True,
1788974616.1469123,52,3,623.3983879992593,610.755,0.0,1.751,200,0,True,
1788974616.1625652,53,3,638.9865019991703,625.989,0.0,1.321,200,0,True,
