t,request_id,cycle_id,latency_ms,queue_ms,cold_ms,service_ms,status,cold,ok,err
1788979338.834421,1,0,601.1678270006087,0.0,592.338,5.0,200,1,True,
1788979338.77106,2,0,537.5233250015299,0.0,529.493,1.881,200,1,True,
1788979338.9173875,3,0,683.5249819996534,0.0,669.232,1.683,200,1,True,
1788979338.786103,4,0,552.0544169994537,537.083,0.0,1.49,200,0,True,
1788979338.8081224,5,0,573.8937470014207,554.561,0.0,5.212,200,0,True,
1788979338.8188279,6,0,584.4441410008585,570.275,0.0,1.528,200,0,True,
1788979338.8338969,7,0,599.3668880000769,585.522,0.0,1.343,200,0,True,
1788979338.8510387,8,0,616.3086980013759,601.379,0.0,2.514,200,0,True,
1788979338.8511465,9,0,616.2865980004426,601.386,0.0,2.524,200,0,True,
1788979338.869585,10,0,634.2334179971658,618.426,0.0,4.166,200,0,True,
1788979338.868982,11,0,633.4905470030208,618.499,0.0,3.072,200,0,True,
1788979338.8846226,12,0,649.0258909980184,634.17,0.0,3.542,200,0,True,
1788979338.884148,13,0,648.4537169999385,634.181,0.0,2.598,200,0,True,
1788979338.8992572,14,0,663.4669450031652,649.711,0.0,1.518,200,0,True,
1788979338.899725,15,0,663.8370809996559,649.72,0.0,2.945,200,0,True,
1788979348.0192606,16,1,561.0608569986653,0.0,551.334,6.53,200,1,True,
1788979348.1602187,17,1,701.7255610007851,0.0,695.721,1.455,200,1,True,
1788979348.0366664,18,1,578.0861380007991,0.0,570.871,2.023,200,1,True,
1788979348.0340612,19,1,575.4134080016229,561.953,0.0,1.384,200,0,True,
1788979348.049817,20,1,591.1086369997065,577.984,0.0,1.566,200,0,True,
1788979348.0513275,21,1,592.558222997468,578.006,0.0,2.939,200,0,True,
1788979348.0666301,22,1,607.8002380018006,593.658,0.0,2.782,200,0,True,
1788979348.0652983,23,1,606.4093620007043,593.669,0.0,1.163,200,0,True,
1788979348.0821834,24,1,623.2334910018835,609.345,0.0,2.602,200,0,True,
1788979348.0822763,25,1,623.2230269997672,609.356,0.0,2.729,200,0,True,
1788979348.0975094,26,1,638.3910100012145,624.972,0.0,2.395,200,0,True,
1788979348.096427,27,1,637.2468090012262,624.982,0.0,1.069,200,0,True,
1788979348.114915,28,1,655.6761949977954,641.675,0.0,3.06,200,0,True,
1788979348.1172533,29,1,657.6684430001478,641.682,0.0,3.204,200,0,True,
1788979348.128749,30,1,669.1011520015309,657.333,0.0,1.136,200,0,True,
1788979356.475453,31,2,9.868889002973447,0.0,0.0,4.97,200,0,True,
1788979356.864156,32,2,398.32304200172075,0.0,394.133,1.559,200,1,True,
