t,request_id,cycle_id,latency_ms,queue_ms,cold_ms,service_ms,status,cold,ok,err
1788974022.232606,1,0,632.7864189988759,0.0,623.711,3.656,200,1,True,
1788974022.185028,2,0,584.6810410002945,0.0,576.333,1.686,200,1,True,
1788974022.1294732,3,0,528.9130630008003,0.0,517.435,1.7,200,1,True,
1788974022.1306558,4,0,529.9647749998257,512.937,0.0,3.561,200,0,True,
1788974022.1497848,5,0,548.9820759994473,529.278,0.0,6.486,200,0,True,
1788974022.1600692,6,0,559.1585099991789,544.74,0.0,1.323,200,0,True,
1788974022.1757607,7,0,574.747374999788,560.421,0.0,1.381,200,0,True,
1788974022.191548,8,0,590.3467349999119,576.429,0.0,1.152,200,0,True,
1788974022.1927266,9,0,591.3165809997736,576.438,0.0,2.22,200,0,True,
1788974022.208323,10,0,606.5123719999974,591.737,0.0,2.63,200,0,True,
1788974022.2072072,11,0,605.2703679997649,591.746,0.0,1.26,200,0,True,
1788974022.2288842,12,0,626.8152760003431,609.144,0.0,2.221,200,0,True,
1788974022.2288299,13,0,626.6336879998562,609.153,0.0,1.399,200,0,True,
1788974022.2403233,14,0,637.9538620003586,625.186,0.0,1.21,200,0,True,
1788974022.240861,15,0,638.3040159998927,625.194,0.0,1.642,200,0,True,
1788974032.3253615,16,1,10.817196000061813,0.0,0.0,2.167,200,0,True,
1788974032.754053,17,1,439.21152700022503,0.0,434.195,1.597,200,1,True,
1788974032.7550263,18,1,440.1019750002888,0.0,433.35,1.99,200,1,True,
1788974032.345376,19,1,30.367235000085202,16.742,0.0,4.62,200,0,True,
1788974032.3587828,20,1,43.70898399974976,32.887,0.0,5.462,200,0,True,
1788974032.3707757,21,1,55.599534998691524,48.651,0.0,1.653,200,0,True,
1788974032.3874028,22,1,72.1544839998387,64.873,0.0,1.965,200,0,True,
1788974032.4054923,23,1,90.1840219994483,80.421,0.0,1.943,200,0,True,
1788974032.422173,24,1,106.80606399910175,96.479,0.0,4.791,200,0,True,
1788974032.4342942,25,1,118.8587529995857,112.351,0.0,1.507,200,0,True,
1788974032.4534402,26,1,137.93888300097024,128.605,0.0,1.714,200,0,True,
1788974032.466643,27,1,151.07480700135056,144.309,0.0,1.559,200,0,True,
1788974032.486433,28,1,170.80539500057057,160.829,0.0,4.816,200,0,True,
1788974032.4983935,29,1,182.32480400001805,176.492,0.0,1.139,200,0,True,
1788974032.514009,30,1,197.76689399986935,192.01,0.0,1.263,200,0,True,
1788974042.993368,31,2,13.029235000431072,0.0,0.0,5.264,200,0,True,
1788974043.3954628,32,2,414.836877000198,0.0,409.816,1.508,200,1,True,
1788974043.417829,33,2,437.1246410009917,0.0,430.231,2.343,200,1,True,
1788974043.007368,34,2,26.598158001434058,19.832,0.0,1.595,200,0,True,
1788974043.0231934,35,2,42.36150799988536,35.593,0.0,1.503,200,0,True,
1788974043.0428333,36,2,61.941760999616235,51.276,0.0,5.559,200,0,True,
1788974043.0545616,37,2,73.60975500159839,67.176,0.0,1.437,200,0,True,
1788974043.0705402,38,2,89.44621599948732,83.026,0.0,1.531,200,0,True,
1788974043.08938,39,2,108.14541099898634,99.542,0.0,1.817,200,0,True,
1788974043.1134112,40,2,132.08926299921586,119.764,0.0,5.14,200,0,True,
1788974043.1226575,41,2,141.26155600024504,135.153,0.0,1.496,200,0,True,
1788974043.1382751,42,2,156.80844500093372,150.883,0.0,1.411,200,0,True,
1788974043.157392,43,2,175.86291400039045,166.699,0.0,1.61,200,0,True,
1788974043.1700468,44,2,188.3037739989959,182.472,0.0,1.538,200,0,True,
1788974043.1897502,45,2,207.95214399913675,198.094,0.0,5.353,200,0,True,
1788974055.791941,46,3,9.3781770010537,0.0,0.0,3.784,200,0,True,
1788974056.2243147,47,3,441.4322689990513,0.0,436.82,1.42,200,1,True,
1788974056.2034137,48,3,420.43005300001823,0.0,414.195,2.08,200,1,True,
1788974055.8134375,49,3,30.379449000975,15.358,0.0,6.326,200,0,True,
1788974055.8203013,50,3,37.18031400057953,30.82,0.0,1.455,200,0,True,
1788974055.8378425,51,3,54.64237900014268,46.807,0.0,2.956,200,0,True,
1788974055.8537853,52,3,70.51925899941125,62.24,0.0,3.391,200,0,True,
1788974055.8714318,53,3,88.07209500082536,81.647,0.0,1.628,200,0,True,
1788974055.8898833,54,3,106.45059600028617,97.61,0.0,4.104,200,0,True,
1788974055.905698,55,3,122.16796800021257,113.117,0.0,4.466,200,0,True,
1788974055.9224968,56,3,138.88006499837502,128.974,0.0,4.993,200,0,True,
1788974055.934725,57,3,151.02543700049864,145.086,0.0,1.432,200,0,True,
1788974055.9510412,58,3,167.02250600064872,161.211,0.0,1.682,200,0,True,
1788974055.9671423,59,3,182.96561199895223,177.077,0.0,1.794,200,0,True,
1788974055.989906,60,3,205.6396579991997,193.849,0.0,7.851,200,0,True,
1788974060.6225386,61,4,6.269416999202804,0.0,0.0,1.988,200,0,True,
1788974060.6226048,62,4,6.0769629999413155,0.0,0.0,1.846,200,0,True,
1788974060.62269,63,4,6.088345999160083,0.0,0.0,2.628,200,0,True,
1788974060.6365356,64,4,19.868581999617163,15.4,0.0,1.444,200,0,True,
1788974060.6380298,65,4,21.3033620002534,15.405,0.0,2.876,200,0,True,
1788974060.6377282,66,4,20.826224999836995,15.405,0.0,2.426,200,0,True,
1788974060.6526554,67,4,35.67431299961754,30.854,0.0,1.495,200,0,True,
1788974060.6527007,68,4,35.65960900050413,30.869,0.0,1.47,200,0,True,
1788974060.652797,69,4,35.69824700025492,30.87,0.0,2.03,200,0,True,
1788974060.6692193,70,4,51.98790300164546,47.49,0.0,1.362,200,0,True,
1788974060.669269,71,4,51.97041500105115,47.499,0.0,1.396,200,0,True,
1788974060.6693344,72,4,51.97685500024818,47.501,0.0,1.933,200,0,True,
1788974060.6856966,73,4,68.2809330010059,63.2,0.0,3.004,200,0,True,
1788974060.6856012,74,4,68.00754699906975,63.209,0.0,1.181,200,0,True,
1788974060.6865246,75,4,68.86410199876991,62.991,0.0,3.495,200,0,True,
