t,request_id,cycle_id,latency_ms,queue_ms,cold_ms,service_ms,status,cold,ok,err
1788973027.2973957,1,0,576.4411330001167,0.0,567.129,2.904,200,1,True,
1788973027.448709,2,0,727.4232830004621,0.0,718.63,1.709,200,1,True,
1788973027.4917865,3,0,770.146441000179,0.0,760.029,1.535,200,1,True,
1788973027.3154979,4,0,593.6691679999058,574.182,0.0,10.087,200,0,True,
1788973027.322456,5,0,600.5021729997679,590.062,0.0,1.523,200,0,True,
1788973027.3390946,6,0,617.0090180003172,606.847,0.0,1.439,200,0,True,
1788973027.356881,7,0,634.6925790003297,623.18,0.0,2.712,200,0,True,
1788973027.378551,8,0,656.2640669999382,638.822,0.0,8.155,200,0,True,
1788973027.386543,9,0,663.8535729998694,654.085,0.0,1.636,200,0,True,
1788973027.4023993,10,0,679.5586930002173,670.118,0.0,1.497,200,0,True,
1788973027.418357,11,0,695.4108640002232,685.983,0.0,1.47,200,0,True,
1788973027.4341722,12,0,711.1277399999381,701.963,0.0,1.425,200,0,True,
1788973027.4499183,13,0,726.776951998545,717.713,0.0,1.552,200,0,True,
1788973027.4502041,14,0,726.9700490014657,717.718,0.0,1.698,200,0,True,
1788973027.466681,15,0,743.3507140012807,734.378,0.0,1.495,200,0,True,
1788973032.5169435,16,1,6.777070000680396,0.0,0.0,2.919,200,0,True,
1788973032.5175495,17,1,7.080219000272336,0.0,0.0,3.888,200,0,True,
1788973032.5170352,18,1,6.462026000008336,0.0,0.0,3.094,200,0,True,
1788973032.5303254,19,1,19.670140000016545,15.827,0.0,1.407,200,0,True,
1788973032.5302558,20,1,19.536711000910145,15.827,0.0,1.16,200,0,True,
1788973032.5313735,21,1,20.592703000147594,15.827,0.0,2.221,200,0,True,
1788973032.5478916,22,1,37.05157500007772,32.609,0.0,1.338,200,0,True,
1788973032.5480053,23,1,37.10884700012684,32.619,0.0,2.013,200,0,True,
1788973032.5479398,24,1,36.97586599992064,32.62,0.0,1.37,200,0,True,
1788973032.5646522,25,1,53.6265149985411,49.145,0.0,1.402,200,0,True,
1788973032.5648012,26,1,53.71380900032818,49.155,0.0,2.137,200,0,True,
1788973032.5647063,27,1,53.559969001071295,49.156,0.0,1.405,200,0,True,
1788973032.5812957,28,1,70.09152699902188,65.79,0.0,1.425,200,0,True,
1788973032.581423,29,1,70.02231700062111,65.255,0.0,2.123,200,0,True,
1788973032.581355,30,1,69.87275299979956,65.245,0.0,1.376,200,0,True,
1788973035.0884426,31,2,5.277690999719198,0.0,0.0,1.854,200,0,True,
1788973035.088489,32,2,5.042568000135361,0.0,0.0,1.827,200,0,True,
1788973035.0893042,33,2,5.735979000746738,0.0,0.0,2.54,200,0,True,
1788973035.1049454,34,2,21.28447599898209,15.365,0.0,1.857,200,0,True,
1788973035.1050005,35,2,21.272797999699833,15.381,0.0,1.842,200,0,True,
1788973035.1050692,36,2,21.25496600092447,15.381,0.0,2.724,200,0,True,
1788973035.1205697,37,2,36.69418999925256,31.2,0.0,1.993,200,0,True,
1788973035.1206422,38,2,36.70961200077727,31.217,0.0,1.956,200,0,True,
1788973035.1207304,39,2,36.73206600069534,31.22,0.0,2.49,200,0,True,
1788973035.1352694,40,2,51.12984100014728,46.646,0.0,2.009,200,0,True,
1788973035.136179,41,2,51.9448459999694,46.664,0.0,2.358,200,0,True,
1788973035.1363118,42,2,51.982188000692986,46.667,0.0,2.6,200,0,True,
1788973035.1516066,43,2,67.19619899922691,62.193,0.0,2.86,200,0,True,
1788973035.1510832,44,2,66.37895600033517,62.21,0.0,2.15,200,0,True,
1788973035.1506839,45,2,65.88145999921835,62.214,0.0,1.465,200,0,True,
1788973047.1367202,46,3,12.466459000279428,0.0,0.0,6.88,200,0,True,
1788973047.5566134,47,3,432.0365490002587,0.0,426.689,2.134,200,1,True,
1788973047.5767066,48,3,452.0362750008644,0.0,445.983,1.692,200,1,True,
1788973047.1534245,49,3,28.686157000265666,15.442,0.0,4.61,200,0,True,
