t,request_id,cycle_id,latency_ms,queue_ms,cold_ms,service_ms,status,cold,ok,err
1788970834.4641867,1,0,606.1856569995143,0.0,600.357,2.23,200,1,True,
1788970834.3813806,2,0,523.109948999263,0.0,512.792,1.537,200,1,True,
1788970834.464108,3,0,605.5021189986292,0.0,591.048,2.089,200,1,True,
1788970834.3900573,4,0,531.277301000955,517.894,0.0,1.148,200,0,True,
1788970834.4056053,5,0,546.6765869987285,533.612,0.0,1.277,200,0,True,
1788970834.42059,6,0,561.5335419988696,548.855,0.0,1.051,200,0,True,
1788970834.4375143,7,0,578.3058590004657,565.481,0.0,1.272,200,0,True,
1788970834.4530697,8,0,593.5067180016631,581.192,0.0,1.179,200,0,True,
1788970834.4686005,9,0,608.8737680001941,596.891,0.0,1.086,200,0,True,
1788970834.4695745,10,0,609.730866000973,596.896,0.0,1.977,200,0,True,
1788970834.469843,11,0,609.8556209999515,596.898,0.0,2.208,200,0,True,
1788970834.485849,12,0,625.7056330014166,613.614,0.0,1.537,200,0,True,
1788970834.486469,13,0,626.2067749994458,613.62,0.0,2.161,200,0,True,
1788970834.4862075,14,0,625.8204890000343,613.62,0.0,1.811,200,0,True,
1788970834.5022728,15,0,641.7539429985482,630.306,0.0,1.301,200,0,True,
1788970839.8807313,16,1,6.746881001163274,0.0,0.0,3.029,200,0,True,
1788970839.8808703,17,1,6.60942699869338,0.0,0.0,3.447,200,0,True,
1788970839.8814616,18,1,7.1170110004459275,0.0,0.0,3.818,200,0,True,
1788970839.8959801,19,1,21.561605999522726,16.058,0.0,1.825,200,0,True,
1788970839.8960557,20,1,21.568572999967728,16.07,0.0,1.755,200,0,True,
1788970839.8961334,21,1,21.578343999863137,16.072,0.0,2.603,200,0,True,
1788970839.9113836,22,1,36.75626200129045,31.512,0.0,1.936,200,0,True,
1788970839.911439,23,1,36.751319999893894,31.534,0.0,1.894,200,0,True,
1788970839.911507,24,1,36.760729000889114,31.535,0.0,2.601,200,0,True,
1788970839.926761,25,1,51.95720800111303,46.975,0.0,1.943,200,0,True,
1788970839.926851,26,1,51.9442450004135,46.991,0.0,2.036,200,0,True,
1788970839.9269333,27,1,51.96406899995054,46.991,0.0,2.43,200,0,True,
1788970839.9432428,28,1,68.21617800051172,64.254,0.0,2.083,200,0,True,
1788970839.9431527,29,1,67.90859799912141,63.787,0.0,1.533,200,0,True,
1788970839.944346,30,1,69.04379600018729,63.78,0.0,2.792,200,0,True,
1788970853.3473785,31,2,713.0636109995976,0.0,707.788,2.066,200,1,True,
1788970853.307331,32,2,672.6284000014857,0.0,665.877,2.681,200,1,True,
1788970853.2214286,33,2,586.5703079998639,0.0,577.135,2.035,200,1,True,
1788970853.2390974,34,2,604.1543339997588,586.847,0.0,5.041,200,0,True,
1788970853.2514799,35,2,616.4670699999988,602.9,0.0,1.761,200,0,True,
1788970853.271146,36,2,636.0703949994786,619.063,0.0,5.328,200,0,True,
1788970853.2833927,37,2,648.2586259990057,634.826,0.0,1.729,200,0,True,
1788970853.3007796,38,2,665.5806020007731,651.171,0.0,2.087,200,0,True,
1788970853.3158379,39,2,680.5801820009947,667.09,0.0,2.179,200,0,True,
1788970853.3153937,40,2,680.0799259999621,667.118,0.0,1.435,200,0,True,
1788970853.3322093,41,2,696.8409870005416,683.305,0.0,2.386,200,0,True,
1788970853.3317869,42,2,696.3533969992568,683.319,0.0,1.449,200,0,True,
1788970853.3473063,43,2,711.7119280010229,698.604,0.0,1.612,200,0,True,
1788970853.3482401,44,2,712.5349760008248,698.663,0.0,2.709,200,0,True,
1788970853.36313,45,2,727.3568229993543,714.095,0.0,2.136,200,0,True,
1788970856.7246342,46,3,5.468269999255426,0.0,0.0,2.216,200,0,True,
1788970856.7247088,47,3,5.266243999358267,0.0,0.0,2.089,200,0,True,
1788970856.725681,48,3,6.1609450003743405,0.0,0.0,2.973,200,0,True,
1788970856.7400672,49,3,20.480920999034424,15.872,0.0,1.798,200,0,True,
1788970856.7416868,50,3,21.958363999146968,15.879,0.0,3.223,200,0,True,
1788970856.7415354,51,3,21.74055100113037,15.881,0.0,2.705,200,0,True,
1788970856.7559495,52,3,36.077618000490475,31.795,0.0,1.683,200,0,True,
1788970856.756455,53,3,36.52170500026841,31.805,0.0,2.192,200,0,True,
1788970856.7571936,54,3,37.185064000368584,31.805,0.0,2.773,200,0,True,
