t,label,cpu_pct_sum,rss_mb_sum,n_procs
1788432711.466622,container:low:0,0.0,163.72,4
1788432711.6692972,container:low:0,4.9,163.74,4
1788432711.8715193,container:low:0,0.0,163.77,4
1788432712.0736475,container:low:0,4.9,163.77,4
1788432712.2756426,container:low:0,0.0,163.77,4
1788432712.4775422,container:low:0,0.0,163.77,4
1788432712.6795106,container:low:0,0.0,163.77,4
1788432712.881675,container:low:0,0.0,163.77,4
1788432713.083531,container:low:0,0.0,163.78,4
1788432713.2852466,container:low:0,10.0,163.78,4
1788432713.4887276,container:low:0,0.0,163.78,4
1788432713.6911473,container:low:0,4.9,163.78,4
1788432713.8941042,container:low:0,0.0,163.78,4
1788432714.0964515,container:low:0,0.0,163.79,4
1788432714.2988265,container:low:0,0.0,163.79,4
1788432714.5005755,container:low:0,5.0,163.8,4
1788432714.7031147,container:low:0,0.0,163.8,4
1788432714.9055572,container:low:0,0.0,163.8,4
1788432715.1081963,container:low:0,0.0,163.8,4
1788432715.3101492,container:low:0,5.0,163.81,4
1788432715.5124846,container:low:0,0.0,163.81,4
1788432715.7139866,container:low:0,0.0,163.82,4
1788432715.9164693,container:low:0,0.0,163.82,4
1788432716.1185853,container:low:0,4.9,163.82,4
1788432716.3221025,container:low:0,0.0,163.82,4
1788432716.5245292,container:low:0,0.0,163.82,4
1788432716.726766,container:low:0,4.9,163.82,4
1788432716.9293072,container:low:0,0.0,163.82,4
1788432717.1314213,container:low:0,4.9,163.82,4
1788432717.3335726,container:low:0,0.0,163.82,4
1788432717.536946,container:low:0,4.9,163.82,4
1788432717.7396734,container:low:0,0.0,163.82,4
1788432717.9415283,container:low:0,0.0,163.82,4
1788432718.1434488,container:low:0,0.0,163.82,4
1788432718.345223,container:low:0,0.0,163.82,4
1788432718.5478492,container:low:0,0.0,163.82,4
1788432718.7495017,container:low:0,0.0,163.82,4
1788432718.951072,container:low:0,0.0,163.82,4
1788432719.1527407,container:low:0,10.0,163.82,4
1788432719.3543813,container:low:0,0.0,163.82,4
1788432719.5561287,container:low:0,0.0,163.82,4
1788432719.7585814,container:low:0,4.9,163.82,4
1788432719.9603682,container:low:0,5.0,163.82,4
1788432720.1631145,container:low:0,4.9,163.82,4
1788432720.3659604,container:low:0,0.0,163.82,4
1788432720.567654,container:low:0,0.0,163.82,4
1788432720.7692425,container:low:0,0.0,163.82,4
1788432720.9711297,container:low:0,0.0,163.82,4
1788432721.1728926,container:low:0,0.0,163.82,4
1788432721.375309,container:low:0,0.0,163.82,4
1788432721.5771487,container:low:0,0.0,163.82,4
1788432721.779141,container:low:0,0.0,163.82,4
1788432721.9807825,container:low:0,0.0,163.82,4
1788432722.18251,container:low:0,10.0,163.82,4
1788432722.3846724,container:low:0,9.8,163.82,4
1788432722.5864756,container:low:0,0.0,163.82,4
1788432722.7884104,container:low:0,0.0,163.82,4
1788432722.990185,container:low:0,0.0,163.82,4
1788432723.1929681,container:low:0,0.0,163.82,4
1788432723.3955,container:low:0,4.9,163.82,4
1788432724.8701723,container:low:1,0.0,163.59,4
1788432725.0716093,container:low:1,5.0,163.61,4
1788432725.2755468,container:low:1,4.9,163.64,4
1788432725.477545,container:low:1,5.0,163.64,4
1788432725.679191,container:low:1,5.0,163.64,4
1788432725.8813481,container:low:1,0.0,163.64,4
1788432726.0832481,container:low:1,0.0,163.64,4
1788432726.2852657,container:low:1,0.0,163.65,4
1788432726.4875472,container:low:1,0.0,163.65,4
1788432726.6893835,container:low:1,0.0,163.65,4
1788432726.891572,container:low:1,0.0,163.65,4
1788432727.094113,container:low:1,4.9,163.65,4
1788432727.2956648,container:low:1,10.0,163.66,4
