scenario,policy,mean_cpu_pct_sum,max_cpu_pct_sum,mean_rss_mb_sum,max_rss_mb_sum,mean_n_procs
low,Container,1.7,10.0,163.77,163.91,4.0
low,Serverless (reactive),4.85,109.1,101.06,122.07,2.52
low,"Serverless (predictive, EWMA)",4.75,104.1,101.19,122.01,2.52
moderate,Container,3.75,15.0,163.83,164.0,4.0
moderate,Serverless (reactive),5.68,103.3,95.62,121.99,2.39
moderate,"Serverless (predictive, EWMA)",7.75,197.6,106.43,164.7,2.65
cyclical,Container,0.8,24.9,164.07,164.35,4.0
cyclical,Serverless (reactive),12.43,5729.0,111.17,165.17,2.81
cyclical,"Serverless (predictive, EWMA)",11.92,237.9,113.16,165.13,2.84
cyclical,"Serverless (predictive, last-gap)",13.52,7067.2,113.22,165.15,2.85
cyclical,"Serverless (predictive, moving avg.)",11.9,279.6,113.2,165.21,2.85
cyclical,"Serverless (predictive, fixed-schedule)",14.95,7315.5,115.28,165.14,2.89
