scenario,policy,n_trials,n_requests,n_ok,error_rate_pct,n_cold_starts,cold_start_rate_pct,p50_ms,p95_ms,p99_ms,mean_ms,std_ms
low,Container,5,300,300,0.0,0,0.0,2.57,3.63,4.95,2.74,0.57
low,Serverless (reactive),5,300,300,0.0,10,3.33,2.81,4.98,411.62,16.49,72.65
low,"Serverless (predictive, EWMA)",5,300,300,0.0,10,3.33,2.71,3.78,392.42,15.77,69.81
moderate,Container,5,1179,1179,0.0,0,0.0,2.6,3.42,4.23,2.69,0.92
moderate,Serverless (reactive),5,1180,1180,0.0,10,0.85,2.53,3.29,5.61,5.88,35.3
moderate,"Serverless (predictive, EWMA)",5,1178,1178,0.0,13,1.1,2.68,3.62,369.73,7.35,43.07
cyclical,Container,15,1125,1125,0.0,0,0.0,13.71,19.35,24.6,14.37,2.86
cyclical,Serverless (reactive),15,1125,1125,0.0,225,20.0,619.21,690.36,725.28,613.85,52.62
cyclical,"Serverless (predictive, EWMA)",15,1125,1125,0.0,189,16.8,597.02,749.4,788.88,456.61,270.15
cyclical,"Serverless (predictive, last-gap)",15,1125,1125,0.0,189,16.8,571.37,738.63,781.24,437.17,266.61
cyclical,"Serverless (predictive, moving avg.)",15,1125,1125,0.0,186,16.53,574.7,748.89,793.66,447.6,266.97
cyclical,"Serverless (predictive, fixed-schedule)",15,1125,1125,0.0,165,14.67,153.13,711.25,757.64,256.86,239.18
