scenario,policy,trial,n_requests,n_cold,median_latency_ms,p95_latency_ms,mean_queue_ms,mean_cold_ms
low,container,0,60,0,2.567788999954246,4.142987200043533,0.0,0.0
low,container,1,60,0,2.900978499951634,3.6678052499837555,0.0,0.0
low,container,2,60,0,2.584594000040852,3.671187399879724,0.0,0.0
low,container,3,60,0,2.4611969998886707,3.136518850010362,0.0,0.0
low,container,4,60,0,2.450368499921751,3.1049053498691137,0.0,0.0
low,serverless_reactive,0,60,2,2.520349499945951,3.0190908998633854,0.0,13.381733333333333
low,serverless_reactive,1,60,2,2.8754794999485966,5.572592850057758,0.0,13.60125
low,serverless_reactive,2,60,2,3.0648949999658726,6.740833399999244,0.0,13.321266666666668
low,serverless_reactive,3,60,2,2.9143914999849585,4.743363399973051,0.0,13.925183333333333
low,serverless_reactive,4,60,2,2.801246999979412,3.882221400124305,0.0,12.81415
low,serverless_predictive_ewma,0,60,2,2.8493584999296218,3.979808950055027,0.0,12.995849999999999
low,serverless_predictive_ewma,1,60,2,2.780851500006065,3.3158095499629776,0.0,12.846866666666667
low,serverless_predictive_ewma,2,60,2,2.648073999921507,3.9042988500455063,0.0,12.918499999999998
low,serverless_predictive_ewma,3,60,2,2.716417500096213,3.229071949908757,0.0,12.513833333333332
low,serverless_predictive_ewma,4,60,2,2.5572610001063367,4.474859349977504,0.0,13.156333333333333
moderate,container,0,236,0,2.3574470000085057,3.101401249921309,0.0,0.0
moderate,container,1,236,0,2.6927185000431564,3.465288000086275,0.0,0.0
moderate,container,2,236,0,2.886125000031825,3.5651457500307515,0.0,0.0
moderate,container,3,236,0,2.5184644999853845,3.536100500014072,0.0,0.0
moderate,container,4,235,0,2.4158710000392603,3.0446744999835573,0.0,0.0
moderate,serverless_reactive,0,236,2,2.506752500039511,3.5707865000063066,0.0,3.1798686440677963
moderate,serverless_reactive,1,236,2,2.745013500089044,3.4206120000703777,0.0,3.263118644067797
moderate,serverless_reactive,2,236,2,2.492264000011346,3.1484912501582585,0.0,3.259970338983051
moderate,serverless_reactive,3,236,2,2.3937709999017898,3.030287999877146,0.0,3.3020847457627114
moderate,serverless_reactive,4,236,2,2.519656499998746,3.1663265000361203,0.0,3.244830508474576
