policy,trial,median_latency_ms
container,0,16.055326999776298
container,1,14.224386000023514
container,2,14.29974599977868
container,3,13.722005999625251
container,4,14.051752999876044
container,5,15.422417000081625
container,6,17.419281999536906
container,7,14.817893999861552
container,8,19.0865059994394
container,9,14.85644400054298
container,10,17.581361000338802
container,11,15.489504000470331
container,12,14.09797799988155
container,13,14.33724899925437
container,14,13.26058899940108
serverless_reactive,0,1904.1002260000823
serverless_reactive,1,1882.39350799995
serverless_reactive,2,1910.3188760000196
serverless_reactive,3,1897.6472630001808
serverless_reactive,4,1810.0959839994173
serverless_reactive,5,1952.9445540001689
serverless_reactive,6,1979.7170350002489
serverless_reactive,7,1827.6840230000744
serverless_reactive,8,1956.674074000148
serverless_reactive,9,1959.265270999822
serverless_reactive,10,1823.2711560003736
serverless_reactive,11,1994.0259129998597
serverless_reactive,12,1869.1094499999963
serverless_reactive,13,1804.8308799998267
serverless_reactive,14,1999.0495889996964
serverless_predictive_ewma,0,1597.128141000212
serverless_predictive_ewma,1,1688.4906430004776
serverless_predictive_ewma,2,1725.3493799998978
serverless_predictive_ewma,3,1976.671548000013
serverless_predictive_ewma,4,1825.796354999511
serverless_predictive_ewma,5,1780.70323799966
serverless_predictive_ewma,6,1914.49382600058
serverless_predictive_ewma,7,1792.028500000015
serverless_predictive_ewma,8,1657.5480670007892
serverless_predictive_ewma,9,1616.104327999892
serverless_predictive_ewma,10,1968.662249999397
serverless_predictive_ewma,11,1616.458737999892
serverless_predictive_ewma,12,1941.7790910001715
serverless_predictive_ewma,13,1749.3325229997936
serverless_predictive_ewma,14,1742.2867719997157
serverless_predictive_lastgap,0,1698.171203000129
serverless_predictive_lastgap,1,1771.431770000163
serverless_predictive_lastgap,2,1710.303210999882
serverless_predictive_lastgap,3,1683.5671809994892
serverless_predictive_lastgap,4,1759.279122999942
serverless_predictive_lastgap,5,1817.829048999556
serverless_predictive_lastgap,6,1778.5452319994874
serverless_predictive_lastgap,7,1793.6255600006916
serverless_predictive_lastgap,8,1585.6240769999204
serverless_predictive_lastgap,9,1684.4047119993777
serverless_predictive_lastgap,10,1778.654302999712
serverless_predictive_lastgap,11,1746.2852150001709
serverless_predictive_lastgap,12,1816.308160000517
serverless_predictive_lastgap,13,1669.402505000107
serverless_predictive_lastgap,14,1855.8928970005584
serverless_predictive_movavg,0,1726.8239230006657
serverless_predictive_movavg,1,1734.6713930000988
serverless_predictive_movavg,2,1625.9471209996263
serverless_predictive_movavg,3,1819.0698910002536
serverless_predictive_movavg,4,1796.897410999918
serverless_predictive_movavg,5,1693.3773009986908
serverless_predictive_movavg,6,1877.505237998776
serverless_predictive_movavg,7,1888.5551690000284
serverless_predictive_movavg,8,1756.332195998766
serverless_predictive_movavg,9,1742.3858230013138
serverless_predictive_movavg,10,1818.3160939988736
serverless_predictive_movavg,11,1585.7243229984306
serverless_predictive_movavg,12,1891.2667209988283
serverless_predictive_movavg,13,1667.967202998625
serverless_predictive_movavg,14,1759.8336080009176
serverless_predictive_fixed,0,1632.6102389994048
serverless_predictive_fixed,1,1469.5429299990792
serverless_predictive_fixed,2,1545.8886199994597
serverless_predictive_fixed,3,1504.3136620006408
serverless_predictive_fixed,4,1489.1499470013514
serverless_predictive_fixed,5,1479.838834000475
serverless_predictive_fixed,6,1671.7747160000729
serverless_predictive_fixed,7,1539.046320000125
serverless_predictive_fixed,8,1622.258667001006
serverless_predictive_fixed,9,1629.965631000232
serverless_predictive_fixed,10,1650.4298359996028
serverless_predictive_fixed,11,1474.7204779996537
serverless_predictive_fixed,12,1566.1138969990134
serverless_predictive_fixed,13,1584.0167539990944
serverless_predictive_fixed,14,1533.382305000487
