policy,scenario,trial,seed,n_requests,n_ok,n_cold
container,low,0,490562052,60,60,0
container,low,1,584477066,60,60,0
container,low,2,898960012,60,60,0
container,low,3,3096035124,60,60,0
container,low,4,2356323390,60,60,0
serverless_reactive,low,0,490562052,60,60,2
serverless_reactive,low,1,584477066,60,60,2
serverless_reactive,low,2,898960012,60,60,2
serverless_reactive,low,3,3096035124,60,60,2
serverless_reactive,low,4,2356323390,60,60,2
serverless_predictive_ewma,low,0,490562052,60,60,2
serverless_predictive_ewma,low,1,584477066,60,60,2
serverless_predictive_ewma,low,2,898960012,60,60,2
serverless_predictive_ewma,low,3,3096035124,60,60,2
serverless_predictive_ewma,low,4,2356323390,60,60,2
container,moderate,0,2506692531,236,236,0
container,moderate,1,3266472886,236,236,0
container,moderate,2,810624190,236,236,0
container,moderate,3,3970575100,236,236,0
container,moderate,4,3001609977,235,235,0
serverless_reactive,moderate,0,2506692531,236,236,2
serverless_reactive,moderate,1,3266472886,236,236,2
serverless_reactive,moderate,2,810624190,236,236,2
serverless_reactive,moderate,3,3970575100,236,236,2
serverless_reactive,moderate,4,3001609977,236,236,2
serverless_predictive_ewma,moderate,0,2506692531,236,236,3
serverless_predictive_ewma,moderate,1,3266472886,236,236,3
serverless_predictive_ewma,moderate,2,810624190,235,235,2
serverless_predictive_ewma,moderate,3,3970575100,235,235,2
serverless_predictive_ewma,moderate,4,3001609977,236,236,3
container,cyclical,0,1564772627,75,75,0
container,cyclical,1,3598439793,75,75,0
container,cyclical,2,1631917179,75,75,0
container,cyclical,3,842756676,75,75,0
container,cyclical,4,3813025259,75,75,0
container,cyclical,5,963277328,75,75,0
container,cyclical,6,1638003887,75,75,0
container,cyclical,7,256795029,75,75,0
container,cyclical,8,214685358,75,75,0
container,cyclical,9,4245082356,75,75,0
container,cyclical,10,2575515336,75,75,0
container,cyclical,11,2861245625,75,75,0
container,cyclical,12,1509614922,75,75,0
container,cyclical,13,2702567642,75,75,0
container,cyclical,14,3208509222,75,75,0
serverless_reactive,cyclical,0,1564772627,75,75,15
serverless_reactive,cyclical,1,3598439793,75,75,15
serverless_reactive,cyclical,2,1631917179,75,75,15
serverless_reactive,cyclical,3,842756676,75,75,15
serverless_reactive,cyclical,4,3813025259,75,75,15
serverless_reactive,cyclical,5,963277328,75,75,15
serverless_reactive,cyclical,6,1638003887,75,75,15
serverless_reactive,cyclical,7,256795029,75,75,15
serverless_reactive,cyclical,8,214685358,75,75,15
serverless_reactive,cyclical,9,4245082356,75,75,15
serverless_reactive,cyclical,10,2575515336,75,75,15
serverless_reactive,cyclical,11,2861245625,75,75,15
serverless_reactive,cyclical,12,1509614922,75,75,15
serverless_reactive,cyclical,13,2702567642,75,75,15
serverless_reactive,cyclical,14,3208509222,75,75,15
serverless_predictive_ewma,cyclical,0,1564772627,75,75,12
serverless_predictive_ewma,cyclical,1,3598439793,75,75,13
serverless_predictive_ewma,cyclical,2,1631917179,75,75,12
serverless_predictive_ewma,cyclical,3,842756676,75,75,12
serverless_predictive_ewma,cyclical,4,3813025259,75,75,12
serverless_predictive_ewma,cyclical,5,963277328,75,75,13
serverless_predictive_ewma,cyclical,6,1638003887,75,75,15
serverless_predictive_ewma,cyclical,7,256795029,75,75,13
serverless_predictive_ewma,cyclical,8,214685358,75,75,12
serverless_predictive_ewma,cyclical,9,4245082356,75,75,12
serverless_predictive_ewma,cyclical,10,2575515336,75,75,13
serverless_predictive_ewma,cyclical,11,2861245625,75,75,12
serverless_predictive_ewma,cyclical,12,1509614922,75,75,14
serverless_predictive_ewma,cyclical,13,2702567642,75,75,12
serverless_predictive_ewma,cyclical,14,3208509222,75,75,12
serverless_predictive_lastgap,cyclical,0,1564772627,75,75,12
serverless_predictive_lastgap,cyclical,1,3598439793,75,75,13
serverless_predictive_lastgap,cyclical,2,1631917179,75,75,12
serverless_predictive_lastgap,cyclical,3,842756676,75,75,12
serverless_predictive_lastgap,cyclical,4,3813025259,75,75,13
serverless_predictive_lastgap,cyclical,5,963277328,75,75,13
serverless_predictive_lastgap,cyclical,6,1638003887,75,75,13
serverless_predictive_lastgap,cyclical,7,256795029,75,75,13
serverless_predictive_lastgap,cyclical,8,214685358,75,75,12
serverless_predictive_lastgap,cyclical,9,4245082356,75,75,12
serverless_predictive_lastgap,cyclical,10,2575515336,75,75,13
serverless_predictive_lastgap,cyclical,11,2861245625,75,75,12
serverless_predictive_lastgap,cyclical,12,1509614922,75,75,14
serverless_predictive_lastgap,cyclical,13,2702567642,75,75,12
serverless_predictive_lastgap,cyclical,14,3208509222,75,75,13
serverless_predictive_movavg,cyclical,0,1564772627,75,75,12
serverless_predictive_movavg,cyclical,1,3598439793,75,75,13
serverless_predictive_movavg,cyclical,2,1631917179,75,75,12
serverless_predictive_movavg,cyclical,3,842756676,75,75,12
serverless_predictive_movavg,cyclical,4,3813025259,75,75,12
serverless_predictive_movavg,cyclical,5,963277328,75,75,12
serverless_predictive_movavg,cyclical,6,1638003887,75,75,12
serverless_predictive_movavg,cyclical,7,256795029,75,75,13
serverless_predictive_movavg,cyclical,8,214685358,75,75,12
serverless_predictive_movavg,cyclical,9,4245082356,75,75,12
serverless_predictive_movavg,cyclical,10,2575515336,75,75,13
serverless_predictive_movavg,cyclical,11,2861245625,75,75,12
serverless_predictive_movavg,cyclical,12,1509614922,75,75,14
serverless_predictive_movavg,cyclical,13,2702567642,75,75,12
serverless_predictive_movavg,cyclical,14,3208509222,75,75,13
serverless_predictive_fixed,cyclical,0,1564772627,75,75,11
serverless_predictive_fixed,cyclical,1,3598439793,75,75,11
serverless_predictive_fixed,cyclical,2,1631917179,75,75,11
serverless_predictive_fixed,cyclical,3,842756676,75,75,11
serverless_predictive_fixed,cyclical,4,3813025259,75,75,11
serverless_predictive_fixed,cyclical,5,963277328,75,75,11
serverless_predictive_fixed,cyclical,6,1638003887,75,75,11
serverless_predictive_fixed,cyclical,7,256795029,75,75,11
serverless_predictive_fixed,cyclical,8,214685358,75,75,11
serverless_predictive_fixed,cyclical,9,4245082356,75,75,11
serverless_predictive_fixed,cyclical,10,2575515336,75,75,11
serverless_predictive_fixed,cyclical,11,2861245625,75,75,11
serverless_predictive_fixed,cyclical,12,1509614922,75,75,11
serverless_predictive_fixed,cyclical,13,2702567642,75,75,11
serverless_predictive_fixed,cyclical,14,3208509222,75,75,11
