policy,scenario,trial,seed,n_requests,n_ok,n_cold
container,cyclical,0,1564772627,75,75,0
container,cyclical,1,3598439793,75,75,0
container,cyclical,2,1631917179,75,75,0
container,cyclical,3,842756676,75,75,0
container,cyclical,4,3813025259,75,75,0
container,cyclical,5,963277328,75,75,0
container,cyclical,6,1638003887,75,75,0
container,cyclical,7,256795029,75,75,0
container,cyclical,8,214685358,75,75,0
container,cyclical,9,4245082356,75,75,0
container,cyclical,10,2575515336,75,75,0
container,cyclical,11,2861245625,75,75,0
container,cyclical,12,1509614922,75,75,0
container,cyclical,13,2702567642,75,75,0
container,cyclical,14,3208509222,75,75,0
serverless_reactive,cyclical,0,1564772627,75,75,40
serverless_reactive,cyclical,1,3598439793,75,75,40
serverless_reactive,cyclical,2,1631917179,75,75,40
serverless_reactive,cyclical,3,842756676,75,75,40
serverless_reactive,cyclical,4,3813025259,75,75,40
serverless_reactive,cyclical,5,963277328,75,75,40
serverless_reactive,cyclical,6,1638003887,75,75,40
serverless_reactive,cyclical,7,256795029,75,75,40
serverless_reactive,cyclical,8,214685358,75,75,40
serverless_reactive,cyclical,9,4245082356,75,75,40
serverless_reactive,cyclical,10,2575515336,75,75,40
serverless_reactive,cyclical,11,2861245625,75,75,40
serverless_reactive,cyclical,12,1509614922,75,75,40
serverless_reactive,cyclical,13,2702567642,75,75,40
serverless_reactive,cyclical,14,3208509222,75,75,40
serverless_predictive_ewma,cyclical,0,1564772627,75,75,37
serverless_predictive_ewma,cyclical,1,3598439793,75,75,38
serverless_predictive_ewma,cyclical,2,1631917179,75,75,37
serverless_predictive_ewma,cyclical,3,842756676,75,75,39
serverless_predictive_ewma,cyclical,4,3813025259,75,75,37
serverless_predictive_ewma,cyclical,5,963277328,75,75,37
serverless_predictive_ewma,cyclical,6,1638003887,75,75,39
serverless_predictive_ewma,cyclical,7,256795029,75,75,38
serverless_predictive_ewma,cyclical,8,214685358,75,75,37
serverless_predictive_ewma,cyclical,9,4245082356,75,75,37
serverless_predictive_ewma,cyclical,10,2575515336,75,75,38
serverless_predictive_ewma,cyclical,11,2861245625,75,75,37
serverless_predictive_ewma,cyclical,12,1509614922,75,75,39
serverless_predictive_ewma,cyclical,13,2702567642,75,75,37
serverless_predictive_ewma,cyclical,14,3208509222,75,75,37
serverless_predictive_lastgap,cyclical,0,1564772627,75,75,37
serverless_predictive_lastgap,cyclical,1,3598439793,75,75,37
serverless_predictive_lastgap,cyclical,2,1631917179,75,75,37
serverless_predictive_lastgap,cyclical,3,842756676,75,75,37
serverless_predictive_lastgap,cyclical,4,3813025259,75,75,37
serverless_predictive_lastgap,cyclical,5,963277328,75,75,39
serverless_predictive_lastgap,cyclical,6,1638003887,75,75,38
serverless_predictive_lastgap,cyclical,7,256795029,75,75,38
serverless_predictive_lastgap,cyclical,8,214685358,75,75,37
serverless_predictive_lastgap,cyclical,9,4245082356,75,75,37
serverless_predictive_lastgap,cyclical,10,2575515336,75,75,38
serverless_predictive_lastgap,cyclical,11,2861245625,75,75,37
serverless_predictive_lastgap,cyclical,12,1509614922,75,75,39
serverless_predictive_lastgap,cyclical,13,2702567642,75,75,37
serverless_predictive_lastgap,cyclical,14,3208509222,75,75,38
serverless_predictive_movavg,cyclical,0,1564772627,75,75,37
serverless_predictive_movavg,cyclical,1,3598439793,75,75,37
serverless_predictive_movavg,cyclical,2,1631917179,75,75,37
serverless_predictive_movavg,cyclical,3,842756676,75,75,37
serverless_predictive_movavg,cyclical,4,3813025259,75,75,38
serverless_predictive_movavg,cyclical,5,963277328,75,75,37
serverless_predictive_movavg,cyclical,6,1638003887,75,75,40
serverless_predictive_movavg,cyclical,7,256795029,75,75,38
serverless_predictive_movavg,cyclical,8,214685358,75,75,37
serverless_predictive_movavg,cyclical,9,4245082356,75,75,37
serverless_predictive_movavg,cyclical,10,2575515336,75,75,38
serverless_predictive_movavg,cyclical,11,2861245625,75,75,37
serverless_predictive_movavg,cyclical,12,1509614922,75,75,39
serverless_predictive_movavg,cyclical,13,2702567642,75,75,37
serverless_predictive_movavg,cyclical,14,3208509222,75,75,38
serverless_predictive_fixed,cyclical,0,1564772627,75,75,36
serverless_predictive_fixed,cyclical,1,3598439793,75,75,36
serverless_predictive_fixed,cyclical,2,1631917179,75,75,36
serverless_predictive_fixed,cyclical,3,842756676,75,75,36
serverless_predictive_fixed,cyclical,4,3813025259,75,75,36
serverless_predictive_fixed,cyclical,5,963277328,75,75,36
serverless_predictive_fixed,cyclical,6,1638003887,75,75,36
serverless_predictive_fixed,cyclical,7,256795029,75,75,36
serverless_predictive_fixed,cyclical,8,214685358,75,75,36
serverless_predictive_fixed,cyclical,9,4245082356,75,75,36
serverless_predictive_fixed,cyclical,10,2575515336,75,75,36
serverless_predictive_fixed,cyclical,11,2861245625,75,75,36
serverless_predictive_fixed,cyclical,12,1509614922,75,75,36
serverless_predictive_fixed,cyclical,13,2702567642,75,75,36
serverless_predictive_fixed,cyclical,14,3208509222,75,75,36
