policy,trial,n_opportunities,mae_s,median_ae_s,signed_bias_s,median_signed_error_s
serverless_predictive_ewma,0,3,0.4928,0.4261,-0.1808,0.0419
serverless_predictive_ewma,1,3,0.8596,1.0066,0.8596,1.0066
serverless_predictive_ewma,10,3,0.8597,0.9961,0.8597,0.9961
serverless_predictive_ewma,11,3,0.5107,0.4851,-0.5107,-0.4851
serverless_predictive_ewma,12,3,0.9162,0.8885,0.9162,0.8885
serverless_predictive_ewma,13,3,0.6929,0.5308,0.3391,0.4906
serverless_predictive_ewma,14,3,0.5144,0.3884,-0.2555,-0.3423
serverless_predictive_ewma,2,3,0.6639,0.7968,-0.1327,-0.3128
serverless_predictive_ewma,3,3,0.7042,0.7738,0.7042,0.7738
serverless_predictive_ewma,4,3,0.4177,0.4725,0.2878,0.4725
serverless_predictive_ewma,5,3,0.5782,0.4269,0.5782,0.4269
serverless_predictive_ewma,6,3,1.0979,1.0849,1.0979,1.0849
serverless_predictive_ewma,7,3,0.8519,0.836,-0.2946,-0.6974
serverless_predictive_ewma,8,3,0.5503,0.4416,0.5503,0.4416
serverless_predictive_ewma,9,3,0.2456,0.0761,-0.2456,-0.0761
serverless_predictive_lastgap,0,3,0.4614,0.2493,-0.2848,0.0155
serverless_predictive_lastgap,1,3,0.571,0.4853,0.571,0.4853
serverless_predictive_lastgap,10,3,0.5604,0.4834,0.4864,0.4834
serverless_predictive_lastgap,11,3,0.2583,0.0642,-0.2583,-0.0642
serverless_predictive_lastgap,12,3,0.5105,0.2172,0.5105,0.2172
serverless_predictive_lastgap,13,3,0.6722,0.8173,0.0208,-0.1598
serverless_predictive_lastgap,14,3,0.6932,0.7813,-0.1608,-0.4997
serverless_predictive_lastgap,2,3,0.7824,0.7745,-0.12,0.2192
serverless_predictive_lastgap,3,3,0.518,0.3742,0.5163,0.3742
serverless_predictive_lastgap,4,3,0.3946,0.2867,0.2034,0.1981
serverless_predictive_lastgap,5,3,0.48,0.2389,0.3319,0.2389
serverless_predictive_lastgap,6,3,0.6864,0.8661,0.6864,0.8661
serverless_predictive_lastgap,7,3,0.8311,1.1961,-0.0337,-0.0853
serverless_predictive_lastgap,8,3,0.3772,0.0784,0.2766,-0.0726
serverless_predictive_lastgap,9,3,0.2245,0.0624,-0.2147,-0.0624
serverless_predictive_movavg,0,3,0.478,0.404,-0.1762,0.0488
serverless_predictive_movavg,1,3,0.934,1.0669,0.934,1.0669
serverless_predictive_movavg,10,3,0.8672,1.0056,0.8672,1.0056
serverless_predictive_movavg,11,3,0.4657,0.4084,-0.4657,-0.4084
serverless_predictive_movavg,12,3,0.8775,0.7686,0.8775,0.7686
serverless_predictive_movavg,13,3,0.662,0.5775,0.277,0.3711
serverless_predictive_movavg,14,3,0.4445,0.342,-0.2165,-0.2053
serverless_predictive_movavg,2,3,0.7287,0.8158,-0.1848,-0.415
serverless_predictive_movavg,3,3,0.6969,0.5684,0.6969,0.5684
serverless_predictive_movavg,4,3,0.4557,0.5728,0.3302,0.5728
serverless_predictive_movavg,5,3,0.7381,0.7034,0.7381,0.7034
serverless_predictive_movavg,6,3,0.9124,0.9151,0.9124,0.9151
serverless_predictive_movavg,7,3,0.8009,0.7664,-0.29,-0.5902
serverless_predictive_movavg,8,3,0.5182,0.369,0.5182,0.369
serverless_predictive_movavg,9,3,0.2199,0.0527,-0.1599,0.0374
serverless_predictive_fixed,0,4,0.5036,0.5686,0.1096,0.2837
serverless_predictive_fixed,1,4,0.6398,0.6783,0.4428,0.6783
serverless_predictive_fixed,10,4,0.4907,0.5361,-0.125,-0.1704
serverless_predictive_fixed,11,4,0.6851,0.6903,-0.3465,-0.6704
serverless_predictive_fixed,12,4,0.4799,0.4407,-0.0392,0.0623
serverless_predictive_fixed,13,4,0.3505,0.4128,0.1133,0.2142
serverless_predictive_fixed,14,4,0.6196,0.6861,0.0665,0.1348
serverless_predictive_fixed,2,4,0.5643,0.5612,-0.0053,-0.0022
serverless_predictive_fixed,3,4,0.3551,0.4367,0.1282,0.2283
serverless_predictive_fixed,4,4,0.2792,0.089,-0.2792,-0.089
serverless_predictive_fixed,5,4,0.4238,0.4146,0.2654,0.2561
serverless_predictive_fixed,6,4,0.5669,0.6349,0.1086,0.2731
serverless_predictive_fixed,7,4,0.8723,0.8622,-0.0152,-0.0051
serverless_predictive_fixed,8,4,0.1723,0.1264,-0.104,-0.0815
serverless_predictive_fixed,9,4,0.4045,0.2944,0.2148,0.2072
