policy,cycle_index,n_cold_starts,n_requests
Reactive,1,3,15
Reactive,2,3,15
Reactive,3,3,15
Reactive,4,3,15
Reactive,5,3,15
Reactive,6,3,15
Reactive,7,3,15
Reactive,8,3,15
Reactive,9,3,15
Reactive,10,3,15
Reactive,11,3,15
Reactive,12,3,15
Reactive,13,3,15
Reactive,14,3,15
Reactive,15,3,15
Reactive,16,3,15
Reactive,17,3,15
Reactive,18,3,15
Reactive,19,3,15
Reactive,20,3,15
Reactive,21,3,15
Reactive,22,3,15
Reactive,23,3,15
Reactive,24,3,15
Reactive,25,3,15
EWMA,1,3,15
EWMA,2,3,15
EWMA,3,2,15
EWMA,4,3,15
EWMA,5,2,15
EWMA,6,2,15
EWMA,7,2,15
EWMA,8,2,15
EWMA,9,2,15
EWMA,10,2,15
EWMA,11,2,15
EWMA,12,2,15
EWMA,13,2,15
EWMA,14,2,15
EWMA,15,2,15
EWMA,16,2,15
EWMA,17,3,15
EWMA,18,2,15
EWMA,19,2,15
EWMA,20,2,15
EWMA,21,2,15
EWMA,22,2,15
EWMA,23,3,15
EWMA,24,2,15
EWMA,25,2,15
Last-gap,1,3,15
Last-gap,2,3,15
Last-gap,3,2,15
Last-gap,4,3,15
Last-gap,5,2,15
Last-gap,6,3,15
Last-gap,7,2,15
Last-gap,8,2,15
Last-gap,9,2,15
Last-gap,10,2,15
Last-gap,11,2,15
Last-gap,12,2,15
Last-gap,13,2,15
Last-gap,14,2,15
Last-gap,15,3,15
Last-gap,16,2,15
Last-gap,17,3,15
Last-gap,18,2,15
Last-gap,19,3,15
Last-gap,20,2,15
Last-gap,21,2,15
Last-gap,22,3,15
Last-gap,23,2,15
Last-gap,24,3,15
Last-gap,25,2,15
Moving-average,1,3,15
Moving-average,2,3,15
Moving-average,3,2,15
Moving-average,4,3,15
Moving-average,5,2,15
Moving-average,6,3,15
Moving-average,7,2,15
Moving-average,8,2,15
Moving-average,9,2,15
Moving-average,10,2,15
Moving-average,11,2,15
Moving-average,12,2,15
Moving-average,13,2,15
Moving-average,14,2,15
Moving-average,15,3,15
Moving-average,16,2,15
Moving-average,17,3,15
Moving-average,18,2,15
Moving-average,19,2,15
Moving-average,20,2,15
Moving-average,21,2,15
Moving-average,22,2,15
Moving-average,23,2,15
Moving-average,24,2,15
Moving-average,25,2,15
Fixed-schedule,1,3,15
Fixed-schedule,2,2,15
Fixed-schedule,3,2,15
Fixed-schedule,4,2,15
Fixed-schedule,5,2,15
Fixed-schedule,6,2,15
Fixed-schedule,7,2,15
Fixed-schedule,8,2,15
Fixed-schedule,9,2,15
Fixed-schedule,10,2,15
Fixed-schedule,11,2,15
Fixed-schedule,12,2,15
Fixed-schedule,13,2,15
Fixed-schedule,14,2,15
Fixed-schedule,15,2,15
Fixed-schedule,16,2,15
Fixed-schedule,17,2,15
Fixed-schedule,18,2,15
Fixed-schedule,19,2,15
Fixed-schedule,20,2,15
Fixed-schedule,21,2,15
Fixed-schedule,22,2,15
Fixed-schedule,23,2,15
Fixed-schedule,24,2,15
Fixed-schedule,25,2,15
