policy,margin,n_trials,mean_of_trial_median_ms,mean_p95_ms,mean_p99_ms,mean_cold_start_rate,policy_label
serverless_predictive_ewma,0.1,6,611.2390278334109,937.5363416165177,986.0877527362572,0.18666666666666668,EWMA
serverless_predictive_ewma,0.25,6,595.3414196665108,678.5532221999953,693.5214519531232,0.1822222222222222,EWMA
serverless_predictive_ewma,0.5,6,504.3840326661666,684.1365144163319,697.4322633935299,0.17777777777777778,EWMA
serverless_predictive_ewma,1.0,15,447.9591094666375,734.772693686626,756.1224062972972,0.168,EWMA
serverless_predictive_ewma,1.5,6,201.54201083399434,661.1855708002016,675.8433662468696,0.16,EWMA
serverless_predictive_fixed,0.1,6,457.2444394998456,661.0736621665031,677.2711633234454,0.16444444444444445,Fixed-schedule
serverless_predictive_fixed,0.25,6,382.95770766611287,650.2143720504137,669.7935747235898,0.15333333333333335,Fixed-schedule
serverless_predictive_fixed,0.5,6,242.5766968329602,631.8772086333107,653.0265643164361,0.14666666666666667,Fixed-schedule
serverless_predictive_fixed,1.0,15,152.61579659997247,698.1650968933172,723.2139893467552,0.14666666666666667,Fixed-schedule
serverless_predictive_fixed,1.5,6,150.11893849987246,651.8170252008227,669.8718084366192,0.14666666666666667,Fixed-schedule
serverless_predictive_lastgap,0.1,6,584.1630971672203,666.2756896999477,685.2307144933003,0.1822222222222222,Last-gap
serverless_predictive_lastgap,0.25,6,578.1101183332188,667.0620314999118,678.515750313145,0.1822222222222222,Last-gap
serverless_predictive_lastgap,0.5,6,580.1976808334075,685.6263353833128,701.6676213435009,0.17555555555555558,Last-gap
serverless_predictive_lastgap,1.0,15,458.1505317334025,729.134407206678,749.2740267012521,0.168,Last-gap
serverless_predictive_lastgap,1.5,6,197.12970049962072,659.5739980670866,680.6033991459482,0.16,Last-gap
serverless_predictive_movavg,0.1,6,556.4562393337837,661.5072317168597,675.4129273834589,0.18444444444444444,Moving-average
serverless_predictive_movavg,0.25,6,584.7918468331651,690.7034763832598,708.5884191031317,0.1822222222222222,Moving-average
serverless_predictive_movavg,0.5,6,565.2476044994424,665.6335831835349,678.0144981937761,0.17333333333333334,Moving-average
serverless_predictive_movavg,1.0,15,434.83279606668174,732.0463751066715,751.5554240693687,0.16533333333333333,Moving-average
serverless_predictive_movavg,1.5,6,196.55422433243075,657.980031933524,676.6451399170911,0.16,Moving-average
